Strain	ODf	ODr	ODf+ODr	%flocc	Rep
JB50	6.6	0.6	7.2	8.333333333	1
JB759	5	2.4	7.4	32.43243243	1
JB759	6.8	1	7.8	12.82051282	1
R1	6.8	0.6	7.4	8.108108108	1
R2	6.2	1.6	7.8	20.51282051	1
R3	6.8	0.6	7.4	8.108108108	1
R4	0.15	4.8	4.95	96.96969697	1
R5	4.4	3	7.4	40.54054054	1
R6	7.4	0.24	7.64	3.141361257	1
R7	0.2	5.2	5.4	96.2962963	1
R8	7	1.6	8.6	18.60465116	1
R9	6.4	0.14	6.54	2.140672783	1
R10	6.6	0.6	7.2	8.333333333	1
R11	7.8	0.32	8.12	3.9408867	1
R12	0.67	6.8	7.47	91.03078983	1
R13	6.4	0.19	6.59	2.883156297	1
R14	7.4	0.5	7.9	6.329113924	1
R15	6.4	0.31	6.71	4.619970194	1
R16	7.4	0.13	7.53	1.726427623	1
R17	6.6	1.6	8.2	19.51219512	1
R18	4.4	2.4	6.8	35.29411765	1
R19	6.4	0.27	6.67	4.047976012	1
R20	7.2	0.16	7.36	2.173913044	1
R21	7.4	0.4	7.8	5.128205128	1
R22	6.6	0.23	6.83	3.36749634	1
R23	8.4	0.23	8.63	2.665121669	1
R24	4	4	8	50	1
R25	7	0.2	7.2	2.777777778	1
R26	7	0.17	7.17	2.370990237	1
R27	8	0.5	8.5	5.882352941	1
R28	7.6	0.28	7.88	3.553299492	1
R29	8	0.43	8.43	5.100830368	1
R30	7	0.18	7.18	2.506963788	1
R31	7.2	0.28	7.48	3.743315508	1
R32	7	0.27	7.27	3.71389271	1
R33	7	0.19	7.19	2.64255911	1
R34	5.8	0.15	5.95	2.521008403	1
R35	8	0.41	8.41	4.875148633	1
R36	3.8	4.2	8	52.5	1
R37	6.6	0.34	6.94	4.899135447	1
R38	7	0.21	7.21	2.912621359	1
R39	7.6	2	9.6	20.83333333	1
R40	6.6	0.14	6.74	2.077151335	1
R41	5.8	0.16	5.96	2.684563758	1
R42	7	0.6	7.6	7.894736842	1
R43	7.6	0.8	8.4	9.523809524	1
R44	6.2	0.39	6.59	5.918057663	1
R45	0.03	2.8	2.83	98.93992933	1
R46	5.8	0.17	5.97	2.847571189	1
R47	7	0.8	7.8	10.25641026	1
R48	6.2	1	7.2	13.88888889	1
R49	6.8	1.2	8	15	1
R50	5	1.8	6.8	26.47058824	1
R51	6.4	1.6	8	20	1
R52	1.2	6.8	8	85	1
R53	5.6	0.8	6.4	12.5	1
R54	0.6	5.4	6	90	1
JB50	6.8	0.53	7.33	7.230559345	2
JB759	3	4.8	7.8	61.53846154	2
R1	5.6	1.2	6.8	17.64705882	2
R2	6	0.8	6.8	11.76470588	2
R3	6.6	0.25	6.85	3.649635037	2
R4	0.44	4.8	5.24	91.60305344	2
R5	6	0.6	6.6	9.090909091	2
R6	6.8	0.28	7.08	3.95480226	2
R7	0.28	5.4	5.68	95.07042254	2
R8	7.8	0.2	8	2.5	2
R9	6.4	0.26	6.66	3.903903904	2
R10	6.2	0.27	6.47	4.173106646	2
R11	7.8	0.32	8.12	3.9408867	2
R12	1.2	6.6	7.8	84.61538462	2
R13	6.8	0.14	6.94	2.017291066	2
R14	7.4	0.31	7.71	4.02075227	2
R15	6.4	0.14	6.54	2.140672783	2
R16	7.4	0.14	7.54	1.856763926	2
R17	7	0.8	7.8	10.25641026	2
R18	3.6	2.6	6.2	41.93548387	2
