,sample,strain,snp
0,sample_02,R1_2,0.0
1,sample_03,R1_4,1.0
2,sample_04,R1_3,0.0
3,sample_05,R1_5,1.0
4,sample_06,R1_6,0.0
5,sample_07,R1_7,1.0
6,sample_08,R1_8,0.0
7,sample_09,R1_9,0.0
8,sample_10,R1_10,1.0
9,sample_15,Y0036,1.0
10,sample_16,Y0036,1.0
11,sample_17,R1_11,0.0
12,sample_18,R1_12,1.0
13,sample_19,R1_13,0.0
14,sample_20,R1_15,0.0
15,sample_21,R1_16,0.0
16,sample_22,R1_17,1.0
17,sample_23,R1_18,1.0
18,sample_24,R1_23,0.0
19,sample_25,R1_24,1.0
20,sample_26,R1_25,0.0
21,sample_27,R1_26,0.0
22,sample_28,R1_27,0.0
23,sample_29,R1_29,0.0
24,sample_30,R1_30,0.0
25,sample_31,R1_31,0.0
26,sample_32,R1_32,0.0
27,sample_33,R1_35,0.0
28,sample_34,R1_36,0.0
29,sample_35,R1_37,0.0
30,sample_36,R1_38,0.0
31,sample_37,R1_39,0.0
32,sample_38,R1_40,1.0
33,sample_39,R1_41,0.0
34,sample_40,R1_43,0.0
35,sample_41,R1_46,0.0
36,sample_42,R1_47,0.0
37,sample_43,R1_28,0.0
38,sample_44,R1_33,0.0
39,sample_45,R1_42,0.0
40,sample_46,Y0036,1.0
41,sample_51,R1_19,0.0
42,sample_52,R1_20,0.0
43,sample_53,R1_21,0.0
44,sample_54,R1_22,0.0
45,sample_55,R1_14,0.0
46,sample_57,R1_3,0.0
47,sample_58,R1_3,0.0
48,sample_59,R1_4,1.0
49,sample_60,R1_5,1.0
50,sample_61,R1_6,0.0
51,sample_62,R1_7,1.0
52,sample_63,R1_8,0.0
53,sample_64,R1_9,0.0
54,sample_65,R1_10,1.0
