,gene,log2 fold change,p-value,p-value adj
3423,mbx2,1.3224420458942538,3.070357745191457e-06,0.020402527216797233
4726,sry1,-0.42642574485694446,3.665045727930836e-05,0.24354228862100408
506,mfs1,0.6838603492764842,4.691488519286472e-05,0.3117494121065861
2850,hop1,-0.8394514084286641,7.623555382613666e-05,0.5065852551746781
4038,pfl3,1.2881118047273443,0.000164332589569684,1.0919900576905501
2646,noc4,0.2925820280264627,0.00024008550956816245,1.5953682110804395
5263,rad2-antisense-1,0.7527504036479891,0.00027806470307192263,1.8477399519129258
4789,ipk1,0.5601592272544068,0.00035273374148052985,2.343915712138121
9,sgt1,-0.34707106592033776,0.000357628581793219,2.37644192601594
3817,caf5,1.091047430356727,0.0004072711989585705,2.706317117079701
959,ppk8,-0.27003379071076133,0.0005495260311890492,3.651600477251232
5879,SPBC21C3.09c-antisense-1,0.5520612775653436,0.000567956369439247,3.774070074923796
5906,SPNCRNA.1669,0.7198672042977192,0.0008581394880317584,5.702336897971034
6073,SPNCRNA.323,-1.4418311445217227,0.0009237328842488318,6.1382050158334875
4059,SPBC9B6.11c,0.36372703609080864,0.0010270770221248884,6.824926812019884
3173,ssn6,0.8180741956942448,0.0010287978372875463,6.836361628775745
2457,tgp1,0.5825133590690525,0.001050281982914078,6.979123776464048
3181,SPBC23G7.10c,-1.4780061267135212,0.0010912972980138577,7.251670545302084
2047,vps16,-0.2866133035582979,0.0013478626609570302,8.956547382059465
807,pfl8,1.4040181985789113,0.0015559622055086246,10.33936885560481
4025,SPBC8E4.02c,0.537618646656653,0.001569196518448108,10.427310865087676
804,str3,1.1547117100804625,0.0015902945830523947,10.567507504383162
4602,SPCC1884.01,0.4731216754263043,0.001661611213114465,11.04140651114562
1837,bdf2,-0.35047521089279,0.0017052549536408894,11.331419166943709
750,csk1,0.26133704342922787,0.00178491913106932,11.86078762595563
5790,SPNCRNA.1560,0.45561342649119735,0.001826954074430974,12.140109824593821
5713,mag2-antisense-1,-0.821155618103195,0.001852722290952806,12.311339623381395
309,azr1,-0.3448606472319246,0.0018549464626579427,12.32611924436203
5303,SPNCRNA.1115,-0.8150564396367612,0.002025407873980978,13.4588353226036
4029,ecl3,1.1738271202830786,0.0021241078946767082,14.114696960126727
4531,gsf2,1.2108287740738035,0.0021713407578755426,14.42855933608298
5344,vps5-antisense-1,1.3978468522684095,0.0022393805552704533,14.880683789772162
2833,emc3,-0.44501940995216716,0.0023254698416419104,15.452747097710494
5644,SPNCRNA.1423,0.5596926750914991,0.00255748416084177,16.994482248793563
6450,SPNCRNA.737,0.4804980475011708,0.0026021948020576923,17.291584459673366
512,SPAC17G6.03,-0.4364955590093481,0.0026405419597469995,17.54640132251881
2447,shy1,-0.25994325098489146,0.0026486432305448514,17.60023426697054
2042,ppa1,0.2627220910816573,0.002968664321364604,19.726774415467794
5807,taf73-antisense-1,1.3164289450066606,0.0030813430611992673,20.475524641669132
6380,rad15-antisense-1,1.1882884453527338,0.0031153604105625824,20.70156992818836
4421,SPCC1529.01,0.522552910951399,0.003134151320907921,20.826435527433134
6682,sut1-antisense-1,0.4559298271804742,0.0031432903524849284,20.88716439226235
3031,mcs6,0.3030212627291556,0.0032010203735402198,21.27078038217476
4126,fub2,1.253334378314917,0.003221208383840731,21.40492971062166
6081,SPNCRNA.332,0.7070548401751655,0.0035121239483616004,23.338063636862834
6423,cwf19-antisense-1,0.3319371013824428,0.0035613487396864737,23.665162375216617
4791,set9,0.3035746889706182,0.0036509136058969103,24.26032091118497
2947,elc1,-0.8974509752270989,0.0036924546403222023,24.536361084941035
1426,pac2,0.6696023027452546,0.0037145918534255977,24.683462866013098
3625,fnx2,-0.2771830413327114,0.0038631198805246262,25.67043160608614
1089,alp13,0.21439936219066663,0.003944478127940185,26.21105716016253
3534,pfl7,1.0977801706074262,0.004028586524497398,26.76995745528521
15,tna1,0.457392919448694,0.004081093158524472,27.118864038395117
2912,acr1,-0.23801209873556572,0.004250367088774701,28.243689304907885
5696,pof9-antisense-1,0.6264705702556299,0.004324770871184486,28.73810243902091
2187,SPAC9G1.14,0.8303761668992463,0.004385299502350614,29.14031519311983
2360,pre6,0.1929812900137255,0.004448879447947617,29.562803931611914
6333,ndk1-antisense-1,0.4866202084389409,0.004505263163431999,29.93747372100563
1606,pik3,-0.23262664539484784,0.004652437122321035,30.915444677823277
1407,apm4,-0.17733096545331956,0.004743419796581315,31.52002454828284
3818,pob3,0.2065424251054461,0.004844199590147806,32.18970627653217
3126,dpm2,-0.5616108573903625,0.004936871168623787,32.805508915505065
2813,SPBC1709.03,-0.25595830886959836,0.004954896946541968,32.92529020977138
6332,SPNCRNA.628,0.5565414255597932,0.00514141289868038,34.164688711731124
421,tfb1,-0.21271417036033724,0.005194423938020068,34.51694706814335
3582,SPBC3B8.08,0.255583454107859,0.005258010721771307,34.93948124617034
2892,spo6,1.0810259834987679,0.005354850969312557,35.58298469108194
3533,aat1,0.48255546368185964,0.00543498665775081,36.11548634075413
6229,SPNCRNA.510,-0.6320417243984978,0.005437446072503264,36.13182915178419
4953,pup3,0.30879161405656147,0.005831805577187418,38.7523480604104
6675,SPNCRNA.942,-0.585436803045806,0.005971182196849279,39.67850569806346
1693,chz1,-0.22735958090060868,0.0060152205529378526,39.97114057427203
3227,spt7,-0.16036366156050905,0.006202379841838414,41.21481404901626
4288,mug146,-0.7925812206579608,0.006241131378737104,41.472318011708055
3303,lam1,-0.5093236692775479,0.0062431546462725,41.48576262448076
2746,mug100,-0.3204530948497789,0.006281064932673392,41.73767647761469
1349,snf5,-0.2538988413076469,0.0064337291540514895,42.75213022867215
669,sst2,-0.2510916092066502,0.006521200806637478,43.333379360106036
4286,sec6,-0.2018145229618946,0.006558812664023257,43.58331015243454
574,SPAC1805.14,0.24916310779903098,0.006580886604772839,43.72999148871551
6410,mss1-antisense-1,0.5404182223444846,0.006689643982449948,44.45268426337991
4702,big1,-0.2326953036242426,0.0067306779130590355,44.72535473227729
6469,bst1-antisense-1,1.730823505163292,0.0067391067098921415,44.78136408723328
1470,gta2,-0.21168960023978864,0.006850922144270689,45.52437764867873
6479,sgt1-antisense-1,0.5216247342839269,0.007039355825529801,46.77651946064553
5058,SPCC794.04c,0.8802269055039692,0.007133846505749502,47.40441003070544
916,gmh3,-0.22704350646682164,0.007139449332012188,47.441640811220985
4312,pku70,-0.2473223741705387,0.007231642751311194,48.05426608246288
375,rfc4,0.2800148280449185,0.007589977092291125,50.43539777827452
5455,ams2-antisense-1,0.35050506367481016,0.007600700999421242,50.506658141154155
2584,meu17,0.550723498005855,0.007667516596859016,50.950647786128165
3451,rec14,0.2763204257961377,0.007877732993001886,52.347535738497534
6426,mug54-antisense-1,0.6691152993714224,0.007985641963473775,53.064590847283235
613,SPAC18G6.01c,-0.2770274297290226,0.008010456179866851,53.229481315215224
2796,mlh1,-0.2723646929040536,0.008250480493610123,54.824442880039264
1636,tif223,0.12179175943765896,0.008353382661068698,55.5082277828015
6186,SPNCRNA.458,0.4131821651598043,0.008360214174363667,55.55362318864657
3053,SPBC1A4.04,0.506532650349853,0.008485519463961026,56.38627683802102
2080,prr1,-0.27171828494793954,0.008686642108883733,57.72273681353241
1752,SPAC56F8.13,0.8199623618072467,0.008897076220325996,59.12107148406624
643,tbc13,-0.2198617661058791,0.009002176694480706,59.819464134824294
6270,prl56,-0.5308136027221275,0.009012362597673535,59.88714946154064
3905,pex5,-0.21794686332139904,0.009102859263442354,60.48849980557444
5268,SPNCRNA.1083,0.49194989300531794,0.009115952101771805,60.57550171627364
4006,hhf2,-0.3983304186827894,0.009134851024729149,60.701085059325194
6477,ucp7-antisense-1,0.26291683707300717,0.009230433995460455,61.336233899834724
3808,brc1,-0.2673875703187016,0.009309489029891382,61.86155460362823
6308,isp3-antisense-1,0.8880287309472582,0.009437594800004424,62.7128174460294
6431,SPNCRNA.72,0.8109064034203763,0.009684171852456784,64.35132195957533
2776,SPBC16G5.17,-0.3397446773207184,0.009699621449455277,64.45398453163031
3681,stn1,-0.27649949049179195,0.009757486123732145,64.83849529220011
4786,nro1,0.21674372793288782,0.00978654693273236,65.03160436800654
255,SPAC1420.01c,-0.2601465361006367,0.009805962878471196,65.1606233274411
5723,SPNCRNA.1497,-0.8603549162562767,0.009841920209610812,65.39955979286384
4999,wtf7,-0.44039353163921224,0.009888664639605178,65.71017653017641
6155,SPNCRNA.423,-1.1027847259239538,0.009949198056709447,66.11242108683427
2419,alg2,-0.25490558899876353,0.009957445863981862,66.16722776615947
4599,spn6,0.7429157579842661,0.00999420179365217,66.41147091881867
1934,sfc1,-0.17433280925288297,0.010223685118642868,67.93638761338185
4591,spc25,-0.2821091808144119,0.010355043828755241,68.80926624207858
2061,put4,0.28640885369925406,0.010458363985801272,69.49582868564946
370,hul5,-0.2987191880291294,0.010636122738896065,70.67703559996436
1071,gly1,0.2827886264492141,0.010637126870531194,70.68370805467978
1249,ani2,0.39268260646181796,0.010659430521882327,70.83191581790805
2237,ski7,-0.3020566058404806,0.010866715352723419,72.20932351884711
2406,dea2,0.3945165044932522,0.010969958519629328,72.89537436293688
4530,wtf21,-0.5614782522878631,0.011092536781154645,73.70990691077262
4637,wtf25,-0.6643768271083133,0.01112298497556327,73.91223516261793
5733,SPNCRNA.1506,0.5145265289195975,0.011327357275761127,75.2702890974327
1568,bet5,-0.23063828231565617,0.011409561748091407,75.8165378160674
3483,hen1,0.38160820342672674,0.01144082814325162,76.02430301190702
1797,mug86,0.5841093176560341,0.011479009634386873,76.27801902050076
265,gpn2,-0.22522804261228216,0.011480500216228368,76.2879239368375
5923,meu7-antisense-1,-0.32531497835965323,0.011605967255331534,77.12165241167804
5666,SPNCRNA.1443,0.34534862815183787,0.011714177701966899,77.84071082957004
5135,tho1,-0.2005066023023216,0.011742430275350699,78.02844917970539
1147,SPAC25B8.10,-0.27098763118998437,0.011771459270893576,78.22134685508782
2107,fml1,-0.21754227133447004,0.011895326940531883,79.04444751983436
2536,nup82,-0.26216958458664263,0.011929186084421903,79.26944153098354
3559,arp5,-0.14083966948036616,0.012052789501856091,80.09078623983372
2454,mug96,2.3596829288136565,0.012143627201251754,80.6944027523179
434,tif313,0.37870505594021575,0.012154349018339393,80.76564922686526
4313,pus1,0.23938561487779708,0.012195054767289326,81.03613892863757
2001,trx1,-0.6001348928578416,0.01226718808429738,81.51546482015608
3925,cog6,-0.21329042105109747,0.012384218557579825,82.29313231511793
1810,SPAC5H10.10,0.4555394950463506,0.012523705847996957,83.22002535993978
1754,SPAC56F8.15,0.4175802930022108,0.012649966993394372,84.0590306711056
3182,mag2,-1.0207550935691585,0.012728435032471863,84.58045079077553
71,psm3,-0.1611027708558109,0.01277392882153736,84.88275701911576
791,rho1,0.21416603114265523,0.012864187453519287,85.48252562863567
5977,SPNCRNA.217,-1.0793528487008734,0.012898863410211237,85.71294736085366
6398,tos1,0.30482127667682146,0.01301706526929893,86.49839871449139
597,SPAC186.04c,-1.0144183110030773,0.01312674808002385,87.22724099175848
4777,SPCC417.12,0.46586969751838364,0.01334718060348019,88.69201511012587
4684,trs130,-0.18429020685566458,0.013424279282383166,89.20433583143614
4150,nce103,0.48930760963136644,0.013663768073140858,90.795738846021
3418,naf1,0.1824200383275323,0.013714423217256423,91.13234227866893
4387,zta1,-0.22127869647502083,0.013787035170881283,91.61484871050612
251,sdh2,-0.3808240763713889,0.013866143123113316,92.14052105308798
5887,SPNCRNA.1651,-0.793903764124899,0.013908477673061487,92.42183413749359
2772,ptf2,-0.6795673004053912,0.013920752385921694,92.50339960444965
6169,SPNCRNA.440,-0.45237721585292445,0.013973569225871708,92.85436750591751
1153,pop100,-0.263589702139833,0.014181622086278808,94.23687876332268
3167,nta1,-0.40341788235368636,0.014229856792745138,94.55739838779144
3864,exo5,-0.3154694514291817,0.014237177052136077,94.60604151144423
4008,sfi1,-0.22695127778330493,0.014662528378706519,97.43250107650482
4860,SPCC569.05c,0.703316007761722,0.01473441821928146,97.91020906712531
479,ptr8,-0.1460362947821331,0.01486852755598144,98.80136560949666
3029,SPBC19F8.05,-0.2534856017298995,0.014939563483335888,99.27339934676698
2975,saf4,-0.3204693940322153,0.014979365290844326,99.53788235766055
5102,SPCC965.09,-0.31875780729536374,0.015060150722433078,100.07470155056781
2449,pof13,-0.31432985380934647,0.015103303749237748,100.36145341368484
4023,new15,0.3184098318429464,0.015105665440240296,100.37714685039677
5989,SPNCRNA.231,1.5557890320666259,0.015185737662690435,100.90922676857794
2005,sec39,-0.3767375041158211,0.01530378266058312,101.69363577957483
4645,bdp1,-0.3307920317380924,0.015480664523360202,102.86901575772855
621,lem2,-0.17926971239508846,0.015494313603660036,102.95971389632093
3211,SPBC25B2.10,-0.16738889831204204,0.015499144056597903,102.99181225609307
58,fig4,-0.2271239197746988,0.015543073213728803,103.2837215052279
6315,SPAC5H10.01-antisense-1,0.3427356701457423,0.015710886757561493,104.39884250399612
2589,SPBC14C8.11c,-0.49308873396390623,0.016001383130166493,106.32919089995634
4277,SPCC1235.01,-0.594978187243003,0.016062373645428157,106.7344728738701
5116,sec8,-0.23787263466967004,0.01629854940731084,108.30386081158053
6664,SPAC15E1.10-antisense-1,0.7158841357081396,0.016516633631400067,109.75303048065345
6540,SPNCRNA.819,-0.36652392977801895,0.016530160363319946,109.84291561426105
3324,isp4,0.7254936208233133,0.016647741197139698,110.6242402549933
6425,SPAC56F8.03-antisense-1,1.2197523739486105,0.01675733948766863,111.35252089555806
5019,ppn1,-0.23933529857827596,0.01680402080818194,111.662718270369
6644,mde1-antisense-1,-0.2681609714693513,0.01686085175678553,112.04035992383984
1124,cul3,-0.13766564238944673,0.01689016319771653,112.23513444882634
3885,prp17,-0.21920367449504102,0.016931491254231285,112.50975938436689
3768,bor1,-0.3553142628572147,0.017253640599349137,114.65044178267502
4852,spb70,0.416497020845909,0.017599725016856974,116.9501727370146
3729,tif306,0.3598999501553124,0.017870360248041887,118.74854384823834
4553,rsa4,0.3213393745312271,0.017969168943326286,119.40512762840316
5958,SPNCRNA.195,0.40621071582805396,0.01805156294712301,119.95263578363239
6234,SPNCRNA.515,-0.6409279789605515,0.018100437238355978,120.27740544887547
5337,SPNCRNA.1146,-0.2871857448861696,0.018268345336389012,121.39315476030498
1214,SPAC26H5.09c,-0.8911613512014772,0.01836210129841863,122.01616312799179
4058,cdc37,-0.17224058597099096,0.01841964134471056,122.39851673560166
2402,SPBC119.16c,-0.3178887224597252,0.01842459080754003,122.43140591610349
3230,mug16,-0.2877292381523618,0.018594204741788755,123.55849050918627
2768,kex1,-0.17959591966415095,0.018602886820875724,123.61618292471918
6581,SPACUNK4.17-antisense-1,0.3127381834944027,0.018628088776254336,123.78364991821006
704,wdr55,0.19410835247016112,0.018825987720479772,125.09868840258808
5613,SPBC713.14-antisense-1,0.5678727490256752,0.01883577237469346,125.16370742983804
98,mfs2,-0.6906225778953763,0.01889594038366082,125.56352384942613
654,irc6,-0.24766959888540777,0.01898326122682039,126.1437708522215
5059,SPCC794.06,0.4818217193568648,0.019077071699381564,126.7671414423905
4002,rft1,-0.3779859743862885,0.019177920928442893,127.43728456950302
837,SPAC20H4.09,-0.15371775344013,0.019244086206662514,127.8769528432724
4481,dim1,-0.38640026889333917,0.019386665433344313,128.82439180457297
981,apt1,0.3096948618186629,0.019725437881327353,131.07553472142027
3041,ulp1,-0.13736210636242766,0.019803283445531106,131.5928184955542
5378,SPCC23B6.02c-antisense-1,0.7228781573424544,0.01990599829932266,132.2753586989991
1482,kms1,-0.18176484557800804,0.019970230734592965,132.70218323137024
3914,res1,0.14073597527504592,0.020209371332769212,134.2912725062514
4826,dbl5,0.44338067004025117,0.020218004502137333,134.34863991670258
1242,SPAC27E2.12,2.052462357778617,0.020223497614819595,134.3851416504762
1824,SPAC630.04c,-0.4172147816179061,0.02023377606181753,134.45344193077747
4086,SPBP22H7.04,-0.38250471562197325,0.020254428677758996,134.59067856370854
2303,SPAPB24D3.02c,0.25759714744284967,0.02047802339367076,136.0764654509422
2487,srm1,0.364160226008141,0.020532843894855952,136.4407476813178
6145,SPNCRNA.410,1.497026805583149,0.02054959728271126,136.55207394361634
5519,tos2,0.29744793263958286,0.02064465935827326,137.1837614357258
5673,SPNCRNA.145,0.5055976100822676,0.020690134841546023,137.48594602207334
2415,reb1,-0.25484720755167733,0.020856359422425058,138.5905083620145
4433,SPCC1620.12c,-0.18747793751189779,0.020903299810530268,138.90242724097362
1454,mug8,-0.3555593947195101,0.020972566423994386,139.3627038874427
4101,SPBP23A10.11c,0.4991601466505664,0.0209883794698118,139.4677815768994
2852,sct1,-0.22440603390327232,0.02116985915729452,140.6737141002221
6182,SPNCRNA.454,-0.4236519132268287,0.021405826582307032,142.24171763943022
398,SPAC16A10.03c,-0.3768287732334775,0.02147875345366123,142.72631669957886
5688,SPNCRNA.1464,-0.5042254141163689,0.02148002556766831,142.73476989715593
322,knd1,-0.35814136111643025,0.021492261974824265,142.81608082270725
4965,mug117,-0.4170089327652691,0.021520518555565953,143.00384580173576
4219,dps1,-0.2542748547297012,0.021749699238286933,144.52675143841668
6564,SPAC823.17-antisense-1,-0.4658554366128779,0.02179975382904586,144.85936419400974
202,pdc202,0.3111528675700618,0.02184757911169396,145.17716319720637
5907,SPNCRNA.1670,1.2000073405274987,0.02191450908713939,145.62191288404125
4929,SPCC622.06c,-0.33469679721334045,0.021955974213246045,145.89744864701998
6330,SPNCRNA.626,0.6300018522584628,0.021976684728599996,146.03507002154697
5835,SPBC2G2.17c-antisense-1,-0.6538398649132646,0.02209989976596987,146.8538339448698
1443,rmp1,-0.3218000984183338,0.02214925439135042,147.18179543052355
5704,SPNCRNA.1479,0.9925003810224189,0.02232114099544623,148.3239819147402
3838,cut12,-0.2631220891429386,0.022635860024036978,150.41528985972573
4966,SPCC645.12c,-0.3159380424806961,0.02269107128644287,150.78216869841287
5129,puf6,0.2356255297152622,0.02271905755943786,150.96813748246458
4642,mug137,0.4442671694943091,0.02272526108527748,151.00935991166884
1712,srs2,-0.1997733196683296,0.022987651557778765,152.7529446014399
1235,cdc1,0.19614111604235512,0.02303781531202681,153.08628274841814
3354,clr1,-0.23762982865140556,0.023218029015429572,154.2838028075295
419,scd1,-0.24053465874779575,0.023574522402755163,156.65270136630807
5714,SPBC23G7.13c-antisense-1,-0.4199102837356685,0.023674130922503662,157.31459998003683
3506,gtr1,-0.23348178431857894,0.02377699299011365,157.9981184193052
163,gid8,-0.23411510737424274,0.02396964654610686,159.27830129888008
2780,uba2,-0.1997208738731999,0.023973013538640373,159.30067496426528
1067,swd1,0.13250271587984463,0.023977689919699747,159.3317495164048
3673,mis12,-0.34895175918521476,0.02437112550598845,161.94612898729324
814,fmp40,-0.20856095651795603,0.024400075469645666,162.13850149579545
