,gene,correlation,p-value,systematic_names,p-value adj,function,sense function
6076,SPNCRNA.326,0.5337183984585648,1.6012992555695344e-05,SPNCRNA.326,0.09258374772137071,non-coding RNA (predicted),non-coding RNA (predicted)
3043,tbf1,-0.5113968439509059,4.0871905865606446e-05,SPBC19G7.13,0.09258374772137071,DNA binding factor Trf1,DNA binding factor Trf1
3589,oms1,0.5108431511273802,4.179853170265043e-05,SPBC3B9.04,0.09258374772137071,mitochondrial methyltransferase Oms1,mitochondrial methyltransferase Oms1
4076,pgs1,0.5011842874280968,6.14218252673768e-05,SPBP18G5.02,0.1020370072254297,CDP-diacylglycerol-glycerol-3-phosphate3-phosph...,CDP-diacylglycerol-glycerol-3-phosphate3-phosph...
2223,SPAP27G11.14c,0.48832630963733126,0.0001007398399810206,SPAP27G11.14c,0.10602269254288418,Schizosaccharomyces pombe specific protein,Schizosaccharomyces pombe specific protein
3487,rrn7,0.4858654526438833,0.00011049936574856669,SPBC336.09c,0.10602269254288418,RNA polymerase I general transcription initiati...,RNA polymerase I general transcription initiati...
6529,SPNCRNA.809,0.4834045956504353,0.00012111954176875688,SPNCRNA.809,0.10602269254288418,intergenic RNA (predicted),intergenic RNA (predicted)
801,tam6,0.4819896028792027,0.0001276420677717191,SPAC1F7.14c,0.10602269254288418,"mitochondrial DUF4536, human DMAC1 ortholog, po...","mitochondrial DUF4536, human DMAC1 ortholog, po..."
1492,SPAC3A12.02,0.47657571749361716,0.00015568220806401513,SPAC3A12.02,0.11494536362059785,mitochondrial inorganic diphosphatase,mitochondrial inorganic diphosphatase
335,tca17,0.4706696607093421,0.0001926193239275183,SPAC15A10.12c,0.12313997533007279,TRAPP complex subunit 2-like Tca17,TRAPP complex subunit 2-like Tca17
2787,prp43,-0.46747054661785975,0.00021581741619491334,SPBC16H5.10c,0.12313997533007279,ATP-dependent RNA helicase Prp43,ATP-dependent RNA helicase Prp43
2239,SPAP8A3.07c,-0.4631640468793258,0.0002510772196580239,SPAP8A3.07c,0.12313997533007279,phospho-2-dehydro-3-deoxyheptonate aldolase,phospho-2-dehydro-3-deoxyheptonate aldolase
4429,lsc2,-0.46187209695776565,0.00026263637863472054,SPCC1620.08,0.12313997533007279,succinate-CoA ligase beta subunit Lsc2,succinate-CoA ligase beta subunit Lsc2
3777,SPBC557.05,0.460457104186533,0.00027585158852153367,SPBC557.05,0.12313997533007279,"arrestin, implicated in vesicle-mediated transp...","arrestin, implicated in vesicle-mediated transp..."
5670,uds1-antisense-1,0.4602110184871882,0.0002782108047086194,SPNCRNA.1447,0.12313997533007279,antisense RNA (predicted),septation protein Uds1
4541,ura6,-0.4583653757421023,0.000296499564376398,SPCC1795.05c,0.12313997533007279,uridylate kinase Ura6,uridylate kinase Ura6
5235,SPNCRNA.1053,0.4551047402257836,0.0003315065901451901,SPNCRNA.1053,0.12958007597145813,"intergenic RNA (predicted), possible alternativ...","intergenic RNA (predicted), possible alternativ..."
3193,put2,-0.4474760835460949,0.00042856579808214844,SPBC24C6.04,0.14414950887665284,delta-1-pyrroline-5-carboxylate dehydrogenase Put2,delta-1-pyrroline-5-carboxylate dehydrogenase Put2
1543,SPAC3G6.03c,-0.44722999784675016,0.0004320877524228182,SPAC3G6.03c,0.14414950887665284,"Maf-like protein, nucleoside-triphosphate dipho...","Maf-like protein, nucleoside-triphosphate dipho..."
2571,fan1,0.4471069549970778,0.00043385856697261953,SPBC146.06c,0.14414950887665284,DNA repair protein Fan1,DNA repair protein Fan1
1762,SPAC57A10.08c,0.44513826940231943,0.00046310240713490035,SPAC57A10.08c,0.14653883311482918,lipid particle hydrolase,lipid particle hydrolase
3423,mbx2,-0.43670983419976006,0.0006096092806037996,SPBC317.01,0.1647297853046549,"DNA-binding transcription factor, MADS-box Pvg4","DNA-binding transcription factor, MADS-box Pvg4"
