,Spearman,Spearman p-value,Bonferroni corrected p-value
smgrowth.LiCl.10.mM,-0.3664888978482865,6.250282733843308e-06,0.0015813215316623568
wb.Galactose2.Efficiency,0.4788047734349281,1.594023773109014e-05,0.004032880145965805
smgrowth.MgCl2.0.2.M,-0.38875815775738926,1.75824700640761e-05,0.004448364926211253
2percent_Glycerol_2.5g.l_NaAc,-0.5365079365079366,2.4193550806919718e-05,0.006120968354150689
wb.Maltose2.Efficiency,-0.4632593865447861,3.2334808022251545e-05,0.00818070642962964
20mM_Aspartate_20mM_Serine,-0.5164502164502166,5.429971756616349e-05,0.013737828544239362
aaconc.proline,-0.507778065854291,5.534410519021892e-05,0.014002058613125387
smgrowth.LiCl.5.mM,-0.3247848872627298,5.981223881552532e-05,0.015132496420327907
wb.Paraquat200.ug.ml.Efficiency,-0.4410900503444598,8.37110511682959e-05,0.021178895945578865
150mM_NaCl_200mM_MgCl2,-0.5012265512265514,9.703606032537058e-05,0.024550123262318757
2ug.ml_calcofluor,-0.49841269841269853,0.00010770705635242169,0.02724988525716269
2percent_Fructose,-0.4976911976911978,0.00011061114593946143,0.02798461992268374
2percent_Glycerol_2.5g.l_NaAc_20mM_Arginine,-0.4954545454545456,0.00012007568541745475,0.03037914841061605
wb.Paraquat200.ug.ml.Rate,-0.4273592444195593,0.00014612460144673017,0.036969524166022734
2percent_Maltose_2percent_Sucrose,-0.48917748917748927,0.0001507357640869116,0.038136148313988635
20mM_Glycine_20mM_Isoleucine,-0.4857864357864359,0.00017012965072182396,0.04304280163262146
