,measurement,mw,mw_val_adjusted,p-value,n_sticky,n_non_sticky,index,fdr
200mM_MgCl2,200mM_MgCl2,2.0,0.00980392156862745,2.3456627230212136e-05,4,51,1,0.0024864024864024864
2ug.ml_calcofluor_200mM_MgCl2,2ug.ml_calcofluor_200mM_MgCl2,7.0,0.03431372549019608,0.0002228379586870153,4,51,2,0.011810411810411812
antimycin,antimycin,13.0,0.06372549019607843,0.0011376464206652886,4,51,3,0.029961149961149958
5mM_LiCl_200mM_MgCl2,5mM_LiCl_200mM_MgCl2,13.0,0.06372549019607843,0.0011376464206652886,4,51,4,0.029961149961149958
10ug.ml_calcofluor_10mM_HU,10ug.ml_calcofluor_10mM_HU,14.0,0.06862745098039216,0.0014132617906202811,4,51,5,0.029961149961149958
oligomycin,oligomycin,16.0,0.0784313725490196,0.002105232293911539,4,51,6,0.037192437192437186
YES,YES,17.0,0.08333333333333333,0.0025274515840553575,4,51,7,0.03827283827283827
0.6M_KCl_200mM_MgCl2,0.6M_KCl_200mM_MgCl2,19.0,0.09313725490196079,0.0035712714957997975,4,51,8,0.04731934731934732
150mM_NaCl_200mM_MgCl2,150mM_NaCl_200mM_MgCl2,20.0,0.09803921568627451,0.004204600431015525,4,51,9,0.049520849520849515
20mM_Glycine_20mM_Isoleucine,20mM_Glycine_20mM_Isoleucine,22.0,0.10784313725490197,0.005705824573749101,4,51,10,0.05125229727451564
smgrowth.calcofluor.1.2.ug.ml,smgrowth.calcofluor.1.2.ug.ml,57.0,0.09375,0.005708742767159613,4,152,11,0.05125229727451564
0.0025percent_MMS,0.0025percent_MMS,23.0,0.11274509803921569,0.006585448094882056,4,51,12,0.05125229727451564
NaN3,NaN3,23.0,0.11274509803921569,0.006585448094882056,4,51,13,0.05125229727451564
smgrowth.calcofluor.2.ug.ml,smgrowth.calcofluor.2.ug.ml,62.0,0.10197368421052631,0.006769171338143575,4,152,14,0.05125229727451564
20mM_Proline,20mM_Proline,24.0,0.11764705882352941,0.0075764905953585185,4,51,15,0.05354053354053353
smgrowth.KCl.1.M,smgrowth.KCl.1.M,69.0,0.11348684210526316,0.008551073408776557,4,152,16,0.05665086133314469
JB889_7days_exhausted,JB889_7days_exhausted,26.0,0.12745098039215685,0.009869375907111753,4,51,17,0.05811965811965811
20mM_Serine_20mM_Arginine,20mM_Serine_20mM_Arginine,26.0,0.12745098039215685,0.009869375907111753,4,51,18,0.05811965811965811
smgrowth.MgCl2.0.1.M,smgrowth.MgCl2.0.1.M,34.0,0.09941520467836257,0.011232845115903587,3,114,19,0.0626674516992516
20mM_Isoleucine,20mM_Isoleucine,28.0,0.13725490196078433,0.012648986233891891,4,51,20,0.06384726384726383
150mM_NaCl_0.0075percent_MMS,150mM_NaCl_0.0075percent_MMS,28.0,0.13725490196078433,0.012648986233891891,4,51,21,0.06384726384726383
smgrowth.UV.62.4.J.m2,smgrowth.UV.62.4.J.m2,87.0,0.14309210526315788,0.01519652747849168,4,152,22,0.07036799555188195
20mM_Aspartate_20mM_Lysine,20mM_Aspartate_20mM_Lysine,30.0,0.14705882352941177,0.015973963143774462,4,51,23,0.07036799555188195
10ug.ml_calcofluor_200mM_MgCl2,10ug.ml_calcofluor_200mM_MgCl2,31.0,0.15196078431372548,0.017856357478998986,4,51,24,0.07036799555188195
10mM_HU_5mM_LiCl,10mM_HU_5mM_LiCl,31.0,0.15196078431372548,0.017856357478998986,4,51,25,0.07036799555188195
2percent_EtOH,2percent_EtOH,32.0,0.1568627450980392,0.0199146765184501,4,51,26,0.07036799555188195
10x_Antimycin,10x_Antimycin,32.0,0.1568627450980392,0.0199146765184501,4,51,27,0.07036799555188195
150mM_NaCl,150mM_NaCl,32.0,0.1568627450980392,0.0199146765184501,4,51,28,0.07036799555188195
20mM_Proline_20mM_Lysine,20mM_Proline_20mM_Lysine,32.0,0.1568627450980392,0.0199146765184501,4,51,29,0.07036799555188195
smgrowth.KCl.0.6.M,smgrowth.KCl.0.6.M,35.5,0.10380116959064327,0.019915470439211873,3,114,30,0.07036799555188195
2ug.ml_calcofluor,2ug.ml_calcofluor,33.0,0.16176470588235295,0.02213132779170515,4,51,31,0.07108850745214382
150mM_NaCl_0.0025percent_MMS,150mM_NaCl_0.0025percent_MMS,33.0,0.16176470588235295,0.02213132779170515,4,51,32,0.07108850745214382
0.6M_KCl,0.6M_KCl,33.0,0.16176470588235295,0.02213132779170515,4,51,33,0.07108850745214382
0.0075percent_MMS,0.0075percent_MMS,34.0,0.16666666666666666,0.024541496239609446,4,51,34,0.0765117235705471
