Category_Name	External_ID	GeneSet_Name	over_represented/under_represented	List_Frequency	Background_Frequency	Corrected_pvalue	Genes_In_Common/Interacting_Gene_Pair
GO Biological Process	GO:0009058;	biosynthetic process	Enriched	52.317880794702 (79/151)	27.456839309429 (827/3012)	1.93399e-07	SPAC24H6.07;SPAC22F3.09c;SPAC13D6.02c;SPAC1783.07c;SPCC736.11;SPAC6B12.02c;SPBC11B10.02c;SPAC959.08;SPCC188.07;SPCC736.07c;SPCC74.05;SPAC27E2.07;SPCC4B3.10c;SPAC23H4.10c;SPCC1840.09;SPAC959.04c;SPBC947.10;SPBC17G9.02c;SPBC2G2.13c;SPAC24C9.12c;SPCC364.03;SPCC1259.03;SPBP8B7.18c;SPBC21H7.07c;SPBC29A3.09c;SPCC962.04;SPBC409.10;SPBC1271.14;SPBC1289.13c;SPBC354.05c;SPAC5D6.05;SPAPB1E7.06c;SPAC1805.16c;SPCC1259.07;SPAC13D6.01;SPBC1711.06;SPBC16D10.11c;SPAC2F7.17;SPAC1B3.01c;SPCC1450.05c;SPBC1711.04;SPBC3B8.05;SPBC1539.03c;SPAC3G9.03;SPCC24B10.09;SPAC2F7.07c;SPCC306.09c;SPAC3H5.10;SPAC323.05c;SPBC16G5.15c;SPBC776.03;SPCC736.08;SPAC22A12.04c;SPAC6F12.10c;SPAC1D4.06c;SPAPB1E7.12;SPAC1783.04c;SPAC664.01c;SPAC10F6.01c;SPBC29A3.13;SPAC11G7.04;SPAC3H1.14;SPAC343.10;SPBC23G7.12c;SPBC725.01;SPAC26F1.03;SPAC3H5.12c;SPAC3G9.07c;SPBC405.07;SPCC825.04c;SPCC1223.05c;SPAC458.05;SPAC26A3.04;SPBC1198.11c;SPCC11E10.08;SPAC17H9.19c;SPCC1393.08;SPBC1709.18;SPAPB17E12.05;
GO Biological Process	GO:0044249;	cellular biosynthetic process	Enriched	51.6556291390728 (78/151)	26.8260292164675 (808/3012)	1.93399e-07	SPAC24H6.07;SPAC22F3.09c;SPAC13D6.02c;SPAC1783.07c;SPCC736.11;SPAC6B12.02c;SPBC11B10.02c;SPAC959.08;SPCC188.07;SPCC736.07c;SPCC74.05;SPAC27E2.07;SPAC23H4.10c;SPCC1840.09;SPAC959.04c;SPBC947.10;SPBC17G9.02c;SPBC2G2.13c;SPAC24C9.12c;SPCC364.03;SPCC1259.03;SPBP8B7.18c;SPBC21H7.07c;SPBC29A3.09c;SPCC962.04;SPBC409.10;SPBC1271.14;SPBC1289.13c;SPBC354.05c;SPAC5D6.05;SPAPB1E7.06c;SPAC1805.16c;SPCC1259.07;SPAC13D6.01;SPBC1711.06;SPBC16D10.11c;SPAC2F7.17;SPAC1B3.01c;SPCC1450.05c;SPBC1711.04;SPBC3B8.05;SPBC1539.03c;SPAC3G9.03;SPCC24B10.09;SPAC2F7.07c;SPCC306.09c;SPAC3H5.10;SPAC323.05c;SPBC16G5.15c;SPBC776.03;SPCC736.08;SPAC22A12.04c;SPAC6F12.10c;SPAC1D4.06c;SPAPB1E7.12;SPAC1783.04c;SPAC664.01c;SPAC10F6.01c;SPBC29A3.13;SPAC11G7.04;SPAC3H1.14;SPAC343.10;SPBC23G7.12c;SPBC725.01;SPAC26F1.03;SPAC3H5.12c;SPAC3G9.07c;SPBC405.07;SPCC825.04c;SPCC1223.05c;SPAC458.05;SPAC26A3.04;SPBC1198.11c;SPCC11E10.08;SPAC17H9.19c;SPCC1393.08;SPBC1709.18;SPAPB17E12.05;
GO Biological Process	GO:1901576;	organic substance biosynthetic process	Enriched	51.6556291390728 (78/151)	27.0252324037185 (814/3012)	1.93399e-07	SPAC24H6.07;SPAC22F3.09c;SPAC13D6.02c;SPAC1783.07c;SPCC736.11;SPAC6B12.02c;SPBC11B10.02c;SPAC959.08;SPCC188.07;SPCC736.07c;SPCC74.05;SPAC27E2.07;SPCC4B3.10c;SPAC23H4.10c;SPCC1840.09;SPAC959.04c;SPBC947.10;SPBC17G9.02c;SPBC2G2.13c;SPAC24C9.12c;SPCC364.03;SPCC1259.03;SPBP8B7.18c;SPBC21H7.07c;SPBC29A3.09c;SPCC962.04;SPBC409.10;SPBC1271.14;SPBC1289.13c;SPBC354.05c;SPAC5D6.05;SPAPB1E7.06c;SPAC1805.16c;SPCC1259.07;SPAC13D6.01;SPBC1711.06;SPBC16D10.11c;SPAC2F7.17;SPAC1B3.01c;SPCC1450.05c;SPBC1711.04;SPBC1539.03c;SPAC3G9.03;SPCC24B10.09;SPAC2F7.07c;SPCC306.09c;SPAC3H5.10;SPAC323.05c;SPBC16G5.15c;SPBC776.03;SPCC736.08;SPAC22A12.04c;SPAC6F12.10c;SPAC1D4.06c;SPAPB1E7.12;SPAC1783.04c;SPAC664.01c;SPAC10F6.01c;SPBC29A3.13;SPAC11G7.04;SPAC3H1.14;SPAC343.10;SPBC23G7.12c;SPBC725.01;SPAC26F1.03;SPAC3H5.12c;SPAC3G9.07c;SPBC405.07;SPCC825.04c;SPCC1223.05c;SPAC458.05;SPAC26A3.04;SPBC1198.11c;SPCC11E10.08;SPAC17H9.19c;SPCC1393.08;SPBC1709.18;SPAPB17E12.05;
GO Biological Process	GO:0010467;	gene expression	Enriched	43.046357615894 (65/151)	21.5139442231076 (648/3012)	3.85943e-06	SPAC24H6.07;SPAPB18E9.01;SPAC22F3.09c;SPAC13D6.02c;SPAC13C5.02;SPBC543.09;SPBC32F12.05c;SPAC1783.07c;SPCC1183.04c;SPCC736.11;SPAC959.08;SPCC736.07c;SPCC74.05;SPBC2D10.07c;SPBC947.10;SPBC17G9.02c;SPBC11C11.08;SPCC364.03;SPCC1259.03;SPBC29A3.09c;SPCC962.04;SPAC637.09;SPBC354.05c;SPAC5D6.05;SPCC1259.07;SPBC1711.06;SPBC691.04;SPBC16D10.11c;SPAC12G12.03;SPAC13G6.09;SPAC2F7.17;SPBC29A10.02;SPAC22F8.09;SPAC6G9.14;SPBC18H10.07;SPCC1450.05c;SPAC3G9.03;SPCC24B10.09;SPAC2F7.07c;SPAC3H5.10;SPAC323.05c;SPBC16G5.15c;SPCC736.08;SPAC22A12.04c;SPAC1D4.06c;SPAPB1E7.12;SPAC1783.04c;SPAC664.01c;SPBC336.13c;SPBC29A3.13;SPAC11G7.04;SPBC23G7.12c;SPAC3H5.12c;SPAC29A4.09;SPAC3G9.07c;SPBC405.07;SPCC825.04c;SPCC1223.05c;SPAC26A3.04;SPBC1198.11c;SPCC11E10.08;SPCC1393.08;SPBC1709.18;SPAPB17E12.05;SPAC637.11;
GO Biological Process	GO:0002181;	cytoplasmic translation	Enriched	14.5695364238411 (22/151)	3.91766268260292 (118/3012)	4.52177e-05	SPAC24H6.07;SPAC13D6.02c;SPAC959.08;SPCC74.05;SPCC364.03;SPBC29A3.09c;SPCC962.04;SPBC1711.06;SPBC16D10.11c;SPAC3G9.03;SPCC24B10.09;SPAC3H5.10;SPAC323.05c;SPAC22A12.04c;SPAPB1E7.12;SPAC11G7.04;SPAC3H5.12c;SPBC405.07;SPCC1223.05c;SPAC26A3.04;SPBC1709.18;SPAPB17E12.05;
GO Biological Process	GO:0044237;	cellular metabolic process	Enriched	74.1721854304636 (112/151)	54.8140770252324 (1651/3012)	0.000311727	SPAC24H6.07;SPAPB18E9.01;SPAC22F3.09c;SPAC13D6.02c;SPAC13C5.02;SPBC543.09;SPBC32F12.05c;SPAC1783.07c;SPCC1183.04c;SPCC736.11;SPAC6B12.02c;SPBC11B10.02c;SPAC23H3.03c;SPAC959.08;SPCC188.07;SPCC736.07c;SPCC74.05;SPAC27E2.07;SPCC4B3.10c;SPAC23H4.10c;SPAPB24D3.04c;SPBC2D10.07c;SPCC1840.09;SPAC959.04c;SPBC947.10;SPBC17G9.02c;SPBC2G2.13c;SPAC14C4.10c;SPBC11C11.08;SPBP8B7.05c;SPAC24C9.12c;SPCC364.03;SPCC1259.03;SPBP8B7.18c;SPBC21H7.07c;SPBC29A3.09c;SPCC962.04;SPBC409.10;SPAC637.09;SPBC1271.14;SPBC1289.13c;SPAC5D6.02c;SPBC354.05c;SPAC22E12.04;SPAC5D6.05;SPAPB1E7.06c;SPBC16H5.03c;SPAC1805.16c;SPCC1259.07;SPAC13D6.01;SPBC1711.06;SPBC691.04;SPBC16D10.11c;SPAC12G12.03;SPAC13G6.09;SPBC29A10.02;SPBC725.02;SPAC2F7.17;SPBC776.15c;SPAC1B3.01c;SPAC1B2.04;SPAC22F8.09;SPAC6G9.14;SPBC18H10.07;SPCC1450.05c;SPBC1711.04;SPBC3H7.15;SPBC3B8.05;SPAC22A12.03c;SPBC1539.03c;SPAC3G9.03;SPCC24B10.09;SPAC2F7.07c;SPCC306.09c;SPAC3H5.10;SPAC323.05c;SPBC16G5.15c;SPBC776.03;SPCC736.08;SPAC22A12.04c;SPAC6F12.10c;SPAC1D4.06c;SPAC664.07c;SPAPB1E7.12;SPAC1783.04c;SPAC664.01c;SPAC10F6.01c;SPBC336.13c;SPBC29A3.13;SPAC11G7.04;SPAC3H1.14;SPCC1322.16;SPAC343.10;SPBC23G7.12c;SPAC26F1.03;SPBC725.01;SPAC3H5.12c;SPAC29A4.09;SPAC3G9.07c;SPCC825.04c;SPBC405.07;SPCC1223.05c;SPAC458.05;SPAC26A3.04;SPBC1198.11c;SPCC132.04c;SPCC11E10.08;SPAC17H9.19c;SPBC1709.18;SPCC1393.08;SPAPB17E12.05;SPAC637.11;
GO Biological Process	GO:0034645;	cellular macromolecule biosynthetic process	Enriched	35.7615894039735 (54/151)	19.1567065073041 (577/3012)	0.000374479	SPAC24H6.07;SPAC22F3.09c;SPAC13D6.02c;SPAC1783.07c;SPCC736.11;SPAC6B12.02c;SPAC959.08;SPCC188.07;SPCC736.07c;SPCC74.05;SPAC27E2.07;SPAC959.04c;SPBC947.10;SPBC17G9.02c;SPCC364.03;SPCC1259.03;SPBC29A3.09c;SPCC962.04;SPBC1289.13c;SPBC354.05c;SPAC5D6.05;SPAPB1E7.06c;SPCC1259.07;SPBC1711.06;SPBC16D10.11c;SPAC2F7.17;SPCC1450.05c;SPAC3G9.03;SPCC24B10.09;SPAC2F7.07c;SPAC3H5.10;SPAC323.05c;SPBC16G5.15c;SPCC736.08;SPAC22A12.04c;SPAC1D4.06c;SPAPB1E7.12;SPAC1783.04c;SPAC664.01c;SPBC29A3.13;SPAC11G7.04;SPBC23G7.12c;SPAC3H5.12c;SPAC3G9.07c;SPCC825.04c;SPBC405.07;SPCC1223.05c;SPAC26A3.04;SPBC1198.11c;SPCC11E10.08;SPAC17H9.19c;SPBC1709.18;SPCC1393.08;SPAPB17E12.05;
GO Biological Process	GO:0006412;	translation	Enriched	15.8940397350993 (24/151)	5.37848605577689 (162/3012)	0.000393392	SPAC24H6.07;SPAC13D6.02c;SPAC959.08;SPCC736.07c;SPCC74.05;SPCC364.03;SPBC29A3.09c;SPCC962.04;SPBC1711.06;SPBC16D10.11c;SPAC2F7.17;SPAC3G9.03;SPCC24B10.09;SPAC3H5.10;SPAC323.05c;SPAC22A12.04c;SPAPB1E7.12;SPAC11G7.04;SPAC3H5.12c;SPBC405.07;SPCC1223.05c;SPAC26A3.04;SPBC1709.18;SPAPB17E12.05;
GO Biological Process	GO:0009059;	macromolecule biosynthetic process	Enriched	35.7615894039735 (54/151)	19.1899070385126 (578/3012)	0.000488568	SPAC24H6.07;SPAC22F3.09c;SPAC13D6.02c;SPAC1783.07c;SPCC736.11;SPAC6B12.02c;SPAC959.08;SPCC188.07;SPCC736.07c;SPCC74.05;SPAC27E2.07;SPAC959.04c;SPBC947.10;SPBC17G9.02c;SPCC364.03;SPCC1259.03;SPBC29A3.09c;SPCC962.04;SPBC1289.13c;SPBC354.05c;SPAC5D6.05;SPAPB1E7.06c;SPCC1259.07;SPBC1711.06;SPBC16D10.11c;SPAC2F7.17;SPCC1450.05c;SPAC3G9.03;SPCC24B10.09;SPAC2F7.07c;SPAC3H5.10;SPAC323.05c;SPBC16G5.15c;SPCC736.08;SPAC22A12.04c;SPAC1D4.06c;SPAPB1E7.12;SPAC1783.04c;SPAC664.01c;SPBC29A3.13;SPAC11G7.04;SPBC23G7.12c;SPAC3H5.12c;SPAC3G9.07c;SPCC825.04c;SPBC405.07;SPCC1223.05c;SPAC26A3.04;SPBC1198.11c;SPCC11E10.08;SPAC17H9.19c;SPBC1709.18;SPCC1393.08;SPAPB17E12.05;
GO Biological Process	GO:0044238;	primary metabolic process	Enriched	69.5364238410596 (105/151)	51.593625498008 (1554/3012)	0.00157793	SPAC24H6.07;SPAPB18E9.01;SPAC22F3.09c;SPAC13D6.02c;SPAC13C5.02;SPBC543.09;SPBC32F12.05c;SPAC1783.07c;SPCC1183.04c;SPCC736.11;SPAC6B12.02c;SPBC11B10.02c;SPAC959.08;SPCC188.07;SPCC736.07c;SPCC74.05;SPAC27E2.07;SPCC4B3.10c;SPAPB24D3.04c;SPBC2D10.07c;SPAC959.04c;SPBC947.10;SPBC17G9.02c;SPBC2G2.13c;SPAC14C4.10c;SPBC11C11.08;SPAC24C9.12c;SPCC364.03;SPCC1259.03;SPBC21H7.07c;SPBC29A3.09c;SPCC962.04;SPBC409.10;SPAC637.09;SPBC1271.14;SPBC1289.13c;SPAC5D6.02c;SPBC354.05c;SPAC5D6.05;SPBC16H5.03c;SPAPB1E7.06c;SPAC1805.16c;SPCC1259.07;SPAC13D6.01;SPBC1711.06;SPBC691.04;SPBC16D10.11c;SPAC12G12.03;SPAC13G6.09;SPBC29A10.02;SPBC725.02;SPAC2F7.17;SPBC776.15c;SPAC1B3.01c;SPAC1B2.04;SPAC22F8.09;SPAC6G9.14;SPBC18H10.07;SPCC1450.05c;SPBC1711.04;SPBC3H7.15;SPBC3B8.05;SPAC22A12.03c;SPBC1539.03c;SPAC3G9.03;SPCC24B10.09;SPAC2F7.07c;SPCC306.09c;SPAC3H5.10;SPAC323.05c;SPBC16G5.15c;SPBC776.03;SPCC736.08;SPAC22A12.04c;SPAC6F12.10c;SPAC1D4.06c;SPAC664.07c;SPAPB1E7.12;SPAC1783.04c;SPAC664.01c;SPAC10F6.01c;SPBC336.13c;SPBC29A3.13;SPAC11G7.04;SPAC3H1.14;SPCC1322.16;SPAC343.10;SPBC23G7.12c;SPBC725.01;SPAC3H5.12c;SPAC29A4.09;SPAC3G9.07c;SPCC825.04c;SPBC405.07;SPCC1223.05c;SPAC458.05;SPAC26A3.04;SPBC1198.11c;SPCC132.04c;SPCC11E10.08;SPAC17H9.19c;SPBC1709.18;SPCC1393.08;SPAPB17E12.05;SPAC637.11;
