Category_Name	External_ID	GeneSet_Name	over_represented/under_represented	List_Frequency	Background_Frequency	Corrected_pvalue	Genes_In_Common/Interacting_Gene_Pair
GO Biological Process	GO:0009058;	biosynthetic process	Enriched	53.6423841059603 (81/151)	27.5680997702658 (840/3047)	3.69641e-08	SPAC22F3.09c;SPAC1783.07c;SPCC736.11;SPAC6B12.02c;SPBC11B10.02c;SPAC959.08;SPCC188.07;SPCC736.07c;SPCC74.05;SPAC3F10.09;SPCC4B3.10c;SPAC23H4.10c;SPBC56F2.05c;SPCC1840.09;SPAC959.04c;SPBC947.10;SPBC17G9.02c;SPBC2G2.13c;SPAC24C9.12c;SPCC364.03;SPBC31F10.15c;SPBC28F2.10c;SPCC1259.03;SPBP8B7.18c;SPBC21H7.07c;SPAC22F8.11;SPBC29A3.09c;SPBC530.13;SPCC962.04;SPBC409.10;SPBC1271.14;SPBC354.05c;SPAC5D6.05;SPAPB1E7.06c;SPAC1805.16c;SPCC1259.07;SPAC13D6.01;SPCC576.11;SPAC1B3.01c;SPCC1450.05c;SPBC776.11;SPBC1711.04;SPBC3B8.05;SPAC3G9.03;SPCC24B10.09;SPAC4D7.03;SPAC2F7.07c;SPCC306.09c;SPAC3H5.10;SPAC323.05c;SPBC16G5.15c;SPBC776.03;SPCC736.08;SPAC6F12.10c;SPAC1D4.06c;SPAPB1E7.12;SPAC1783.04c;SPAC664.01c;SPAC10F6.01c;SPBC29A3.13;SPAC11G7.04;SPAC3H1.14;SPAC343.10;SPAC3H8.08c;SPBC23G7.12c;SPBC725.01;SPAC26F1.03;SPAC3H5.12c;SPAC3G9.07c;SPBC405.07;SPCC825.04c;SPCC1223.05c;SPAC458.05;SPAC26A3.04;SPBC1198.11c;SPCC11E10.08;SPAC17H9.19c;SPCC1393.08;SPBC1709.18;SPAPB17E12.05;SPCC330.14c;
GO Biological Process	GO:1901576;	organic substance biosynthetic process	Enriched	52.9801324503311 (80/151)	27.1414506071546 (827/3047)	3.69641e-08	SPAC22F3.09c;SPAC1783.07c;SPCC736.11;SPAC6B12.02c;SPBC11B10.02c;SPAC959.08;SPCC188.07;SPCC736.07c;SPCC74.05;SPAC3F10.09;SPCC4B3.10c;SPAC23H4.10c;SPBC56F2.05c;SPCC1840.09;SPAC959.04c;SPBC947.10;SPBC17G9.02c;SPBC2G2.13c;SPAC24C9.12c;SPCC364.03;SPBC31F10.15c;SPBC28F2.10c;SPCC1259.03;SPBP8B7.18c;SPBC21H7.07c;SPAC22F8.11;SPBC29A3.09c;SPBC530.13;SPCC962.04;SPBC409.10;SPBC1271.14;SPBC354.05c;SPAC5D6.05;SPAPB1E7.06c;SPAC1805.16c;SPCC1259.07;SPAC13D6.01;SPCC576.11;SPAC1B3.01c;SPCC1450.05c;SPBC776.11;SPBC1711.04;SPAC3G9.03;SPCC24B10.09;SPAC4D7.03;SPAC2F7.07c;SPCC306.09c;SPAC3H5.10;SPAC323.05c;SPBC16G5.15c;SPBC776.03;SPCC736.08;SPAC6F12.10c;SPAC1D4.06c;SPAPB1E7.12;SPAC1783.04c;SPAC664.01c;SPAC10F6.01c;SPBC29A3.13;SPAC11G7.04;SPAC3H1.14;SPAC343.10;SPAC3H8.08c;SPBC23G7.12c;SPBC725.01;SPAC26F1.03;SPAC3H5.12c;SPAC3G9.07c;SPBC405.07;SPCC825.04c;SPCC1223.05c;SPAC458.05;SPAC26A3.04;SPBC1198.11c;SPCC11E10.08;SPAC17H9.19c;SPCC1393.08;SPBC1709.18;SPAPB17E12.05;SPCC330.14c;
GO Biological Process	GO:0044249;	cellular biosynthetic process	Enriched	52.317880794702 (79/151)	26.9445356087955 (821/3047)	4.81049e-08	SPAC22F3.09c;SPAC1783.07c;SPCC736.11;SPAC6B12.02c;SPBC11B10.02c;SPAC959.08;SPCC188.07;SPCC736.07c;SPCC74.05;SPAC3F10.09;SPAC23H4.10c;SPBC56F2.05c;SPCC1840.09;SPAC959.04c;SPBC947.10;SPBC17G9.02c;SPBC2G2.13c;SPAC24C9.12c;SPCC364.03;SPBC31F10.15c;SPBC28F2.10c;SPCC1259.03;SPBP8B7.18c;SPBC21H7.07c;SPBC29A3.09c;SPBC530.13;SPCC962.04;SPBC409.10;SPBC1271.14;SPBC354.05c;SPAC5D6.05;SPAPB1E7.06c;SPAC1805.16c;SPCC1259.07;SPAC13D6.01;SPCC576.11;SPAC1B3.01c;SPCC1450.05c;SPBC776.11;SPBC1711.04;SPBC3B8.05;SPAC3G9.03;SPCC24B10.09;SPAC4D7.03;SPAC2F7.07c;SPCC306.09c;SPAC3H5.10;SPAC323.05c;SPBC16G5.15c;SPBC776.03;SPCC736.08;SPAC6F12.10c;SPAC1D4.06c;SPAPB1E7.12;SPAC1783.04c;SPAC10F6.01c;SPAC664.01c;SPBC29A3.13;SPAC11G7.04;SPAC3H1.14;SPAC343.10;SPAC3H8.08c;SPBC23G7.12c;SPBC725.01;SPAC26F1.03;SPAC3H5.12c;SPAC3G9.07c;SPBC405.07;SPCC825.04c;SPCC1223.05c;SPAC458.05;SPAC26A3.04;SPBC1198.11c;SPCC11E10.08;SPAC17H9.19c;SPCC1393.08;SPBC1709.18;SPAPB17E12.05;SPCC330.14c;
GO Biological Process	GO:0010467;	gene expression	Enriched	43.7086092715232 (66/151)	21.6278306531014 (659/3047)	1.21535e-06	SPAPB18E9.01;SPAC22F3.09c;SPAC13C5.02;SPBC543.09;SPBC32F12.05c;SPAC1783.07c;SPCC1183.04c;SPCC736.11;SPAC959.08;SPCC736.07c;SPCC74.05;SPBC1347.07;SPBC56F2.05c;SPBC2D10.07c;SPBC947.10;SPBC17G9.02c;SPBC11C11.08;SPCC364.03;SPBC28F2.10c;SPCC1259.03;SPBC29A3.09c;SPCC962.04;SPBC530.13;SPAC637.09;SPBC354.05c;SPAC5D6.05;SPCC1259.07;SPBC691.04;SPAC12G12.03;SPAC13G6.09;SPBC29A10.02;SPCC576.11;SPAC6G9.14;SPCC1450.05c;SPBC776.11;SPAC3G9.03;SPCC24B10.09;SPAC2F7.07c;SPAC3H5.10;SPAC323.05c;SPBC16G5.15c;SPCC736.08;SPAC27D7.08c;SPAC1D4.06c;SPAPB1E7.12;SPAC1783.04c;SPAC664.01c;SPBC29A3.13;SPAC11G7.04;SPAC3H8.08c;SPBC23G7.12c;SPAC3H5.12c;SPAC29A4.09;SPAC3G9.07c;SPBC405.07;SPCC825.04c;SPCC1223.05c;SPAC26A3.04;SPBC1198.11c;SPCC11E10.08;SPCC1393.08;SPBC1709.18;SPAPB17E12.05;SPCC330.14c;SPAC637.11;SPCC550.11;
GO Biological Process	GO:0019438;	aromatic compound biosynthetic process	Enriched	27.8145695364238 (42/151)	12.668198227765 (386/3047)	0.000174975	SPAC22F3.09c;SPAC1783.07c;SPCC736.11;SPBC11B10.02c;SPCC188.07;SPCC736.07c;SPAC3F10.09;SPAC23H4.10c;SPBC56F2.05c;SPBC947.10;SPBC17G9.02c;SPBC2G2.13c;SPBC28F2.10c;SPBC31F10.15c;SPCC1259.03;SPBP8B7.18c;SPBC21H7.07c;SPBC530.13;SPBC409.10;SPBC354.05c;SPAC5D6.05;SPAC1805.16c;SPCC1259.07;SPAC1B3.01c;SPCC1450.05c;SPBC1711.04;SPAC2F7.07c;SPCC306.09c;SPBC16G5.15c;SPCC736.08;SPAC6F12.10c;SPAC1D4.06c;SPAC1783.04c;SPAC664.01c;SPBC29A3.13;SPAC3H8.08c;SPBC23G7.12c;SPAC3G9.07c;SPCC825.04c;SPBC1198.11c;SPCC11E10.08;SPCC1393.08;
GO Biological Process	GO:0018130;	heterocycle biosynthetic process	Enriched	27.8145695364238 (42/151)	12.7010173941582 (387/3047)	0.00017651	SPAC22F3.09c;SPAC1783.07c;SPCC736.11;SPBC11B10.02c;SPCC188.07;SPCC736.07c;SPAC3F10.09;SPAC23H4.10c;SPBC56F2.05c;SPBC947.10;SPBC17G9.02c;SPBC2G2.13c;SPBC28F2.10c;SPBC31F10.15c;SPCC1259.03;SPBP8B7.18c;SPBC21H7.07c;SPBC530.13;SPBC409.10;SPBC354.05c;SPAC5D6.05;SPAC1805.16c;SPCC1259.07;SPAC1B3.01c;SPCC1450.05c;SPBC1711.04;SPAC2F7.07c;SPCC306.09c;SPBC16G5.15c;SPCC736.08;SPAC6F12.10c;SPAC1D4.06c;SPAC1783.04c;SPAC664.01c;SPBC29A3.13;SPAC3H8.08c;SPBC23G7.12c;SPAC3G9.07c;SPCC825.04c;SPBC1198.11c;SPCC11E10.08;SPCC1393.08;
GO Biological Process	GO:1901362;	organic cyclic compound biosynthetic process	Enriched	28.476821192053 (43/151)	13.423039054808 (409/3047)	0.000245169	SPAC22F3.09c;SPAC1783.07c;SPCC736.11;SPBC11B10.02c;SPCC188.07;SPCC736.07c;SPAC3F10.09;SPAC23H4.10c;SPBC56F2.05c;SPBC947.10;SPBC17G9.02c;SPBC2G2.13c;SPBC28F2.10c;SPBC31F10.15c;SPCC1259.03;SPBP8B7.18c;SPBC21H7.07c;SPBC530.13;SPBC409.10;SPBC354.05c;SPAC5D6.05;SPAC1805.16c;SPCC1259.07;SPAC13D6.01;SPAC1B3.01c;SPCC1450.05c;SPBC1711.04;SPAC2F7.07c;SPCC306.09c;SPBC16G5.15c;SPCC736.08;SPAC6F12.10c;SPAC1D4.06c;SPAC1783.04c;SPAC664.01c;SPBC29A3.13;SPAC3H8.08c;SPBC23G7.12c;SPAC3G9.07c;SPCC825.04c;SPBC1198.11c;SPCC11E10.08;SPCC1393.08;
GO Biological Process	GO:0044237;	cellular metabolic process	Enriched	74.1721854304636 (112/151)	54.8080078765999 (1670/3047)	0.000275785	SPAPB18E9.01;SPAC22F3.09c;SPAC13C5.02;SPBC543.09;SPBC32F12.05c;SPAC1783.07c;SPCC1183.04c;SPCC736.11;SPAC6B12.02c;SPBC11B10.02c;SPAC23H3.03c;SPAC959.08;SPCC188.07;SPCC736.07c;SPCC74.05;SPBC1347.07;SPAC3F10.09;SPCC4B3.10c;SPAC23H4.10c;SPBC56F2.05c;SPBC2D10.07c;SPCC1840.09;SPAC959.04c;SPBC947.10;SPBC17G9.02c;SPBC2G2.13c;SPBC11C11.08;SPBP8B7.05c;SPAC24C9.12c;SPCC364.03;SPBC31F10.15c;SPBC28F2.10c;SPCC1259.03;SPBP8B7.18c;SPBC21H7.07c;SPAC22F8.11;SPBC29A3.09c;SPBC530.13;SPCC962.04;SPBC409.10;SPAC637.09;SPBC1271.14;SPAC5D6.02c;SPBC354.05c;SPAC2C4.15c;SPAC5D6.05;SPAPB1E7.06c;SPBC16H5.03c;SPAC1805.16c;SPCC1259.07;SPAC13D6.01;SPBC691.04;SPCC16C4.10;SPAC12G12.03;SPAC13G6.09;SPBC29A10.02;SPBC725.02;SPBC776.15c;SPCC576.11;SPAC1B3.01c;SPAC1B2.04;SPAC6G9.14;SPCC1450.05c;SPBC776.11;SPBC1711.04;SPBC3B8.05;SPAC22A12.03c;SPAC3G9.03;SPCC24B10.09;SPAC4D7.03;SPAC4F8.01;SPAC2F7.07c;SPCC306.09c;SPAC3H5.10;SPAC323.05c;SPBC16G5.15c;SPBC776.03;SPCC736.08;SPAC27D7.08c;SPAC6F12.10c;SPAC1D4.06c;SPAC664.07c;SPAPB1E7.12;SPAC1783.04c;SPAC664.01c;SPAC10F6.01c;SPBC29A3.13;SPAC11G7.04;SPAC3H1.14;SPAC343.10;SPAC3H8.08c;SPBC23G7.12c;SPAC26F1.03;SPBC725.01;SPAC3H5.12c;SPAC29A4.09;SPAC3G9.07c;SPCC825.04c;SPBC405.07;SPCC1223.05c;SPAC458.05;SPAC26A3.04;SPBC1198.11c;SPCC132.04c;SPCC11E10.08;SPAC17H9.19c;SPBC1709.18;SPCC1393.08;SPAPB17E12.05;SPCC330.14c;SPAC637.11;SPAC18G6.09c;
GO Biological Process	GO:0002181;	cytoplasmic translation	Enriched	13.2450331125828 (20/151)	3.97111913357401 (121/3047)	0.000416444	SPAC959.08;SPCC74.05;SPCC364.03;SPBC29A3.09c;SPCC962.04;SPCC576.11;SPBC776.11;SPAC3G9.03;SPCC24B10.09;SPAC3H5.10;SPAC323.05c;SPAPB1E7.12;SPAC11G7.04;SPAC3H5.12c;SPBC405.07;SPCC1223.05c;SPAC26A3.04;SPBC1709.18;SPAPB17E12.05;SPCC330.14c;
GO Biological Process	GO:0006725;	cellular aromatic compound metabolic process	Enriched	45.0331125827815 (68/151)	27.0101739415819 (823/3047)	0.000416444	SPAPB18E9.01;SPAC22F3.09c;SPAC13C5.02;SPBC32F12.05c;SPAC1783.07c;SPCC1183.04c;SPCC736.11;SPAC6B12.02c;SPBC11B10.02c;SPCC188.07;SPCC736.07c;SPBC1347.07;SPAC3F10.09;SPAC23H4.10c;SPBC56F2.05c;SPBC947.10;SPBC17G9.02c;SPBC2G2.13c;SPBC11C11.08;SPAC24C9.12c;SPBC28F2.10c;SPBC31F10.15c;SPCC1259.03;SPBP8B7.18c;SPBC21H7.07c;SPBC530.13;SPBC409.10;SPAC637.09;SPBC354.05c;SPAC5D6.05;SPAPB1E7.06c;SPAC1805.16c;SPCC1259.07;SPBC691.04;SPCC16C4.10;SPAC12G12.03;SPAC13G6.09;SPBC29A10.02;SPAC1B3.01c;SPAC1B2.04;SPAC6G9.14;SPCC1450.05c;SPBC1711.04;SPAC4D7.03;SPAC2F7.07c;SPCC306.09c;SPBC16G5.15c;SPCC736.08;SPAC27D7.08c;SPAC6F12.10c;SPAC1D4.06c;SPAC664.07c;SPAC1783.04c;SPAC664.01c;SPBC29A3.13;SPAC343.10;SPAC3H8.08c;SPBC23G7.12c;SPAC29A4.09;SPAC3G9.07c;SPCC825.04c;SPBC1198.11c;SPCC11E10.08;SPAC17H9.19c;SPCC1393.08;SPBC1709.18;SPAC637.11;SPAC18G6.09c;
