Category_Name	External_ID	GeneSet_Name	over_represented/under_represented	List_Frequency	Background_Frequency	Corrected_pvalue	Genes_In_Common/Interacting_Gene_Pair
GO Biological Process	GO:0000128;	flocculation	Enriched	3.6231884057971 (5/138)	0.234787712776365 (12/5111)	0.0178131	SPBC359.04c;SPCC1742.01;SPBC947.04;SPBC317.01;SPAC1F8.06;
GO Biological Process	GO:0015696;	ammonium transport	Enriched	4.34782608695652 (6/138)	0.371747211895911 (19/5111)	0.0178131	SPCC569.05c;SPAC17A2.01;SPBPB8B6.02c;SPBC36.02c;SPBC36.03c;SPAC17C9.16c;
GO Biological Process	GO:0015846;	polyamine transport	Enriched	3.6231884057971 (5/138)	0.254353355507728 (13/5111)	0.0242743	SPCC569.05c;SPBPB8B6.02c;SPBC36.02c;SPBC36.03c;SPAC17C9.16c;
GO Biological Process	GO:0098630;	aggregation of unicellular organisms	Enriched	3.6231884057971 (5/138)	0.273918998239092 (14/5111)	0.0258605	SPBC359.04c;SPCC1742.01;SPBC947.04;SPBC317.01;SPAC1F8.06;
GO Biological Process	GO:0098743;	cell aggregation	Enriched	3.6231884057971 (5/138)	0.273918998239092 (14/5111)	0.0258605	SPBC359.04c;SPCC1742.01;SPBC947.04;SPBC317.01;SPAC1F8.06;
GO Biological Process	GO:0015695;	organic cation transport	Enriched	3.6231884057971 (5/138)	0.293484640970456 (15/5111)	0.0291941	SPCC569.05c;SPAC17A2.01;SPBPB8B6.02c;SPBC36.02c;SPBC36.03c;
GO Biological Process	GO:0072488;	ammonium transmembrane transport	Enriched	3.6231884057971 (5/138)	0.293484640970456 (15/5111)	0.0291941	SPCC569.05c;SPAC17A2.01;SPBC36.02c;SPBC36.03c;SPAC17C9.16c;
GO Biological Process	GO:0000296;	spermine transport	Enriched	2.89855072463768 (4/138)	0.176090784582274 (9/5111)	0.0377526	SPCC569.05c;SPBC36.02c;SPBC36.03c;SPAC17C9.16c;
GO Biological Process	GO:0015848;	spermidine transport	Enriched	2.89855072463768 (4/138)	0.176090784582274 (9/5111)	0.0377526	SPCC569.05c;SPBPB8B6.02c;SPBC36.02c;SPBC36.03c;
GO Biological Process	GO:1903710;	spermine transmembrane transport	Enriched	2.89855072463768 (4/138)	0.176090784582274 (9/5111)	0.0377526	SPCC569.05c;SPBC36.02c;SPBC36.03c;SPAC17C9.16c;
GO Biological Process	GO:0006979;	response to oxidative stress	Enriched	5.79710144927536 (8/138)	1.05654470749364 (54/5111)	0.0430361	SPAC3H1.11;SPAC1783.07c;SPBC3F6.03;SPCC1442.16c;SPAC7D4.07c;SPAC1D4.12;SPBC106.11c;SPAC8C9.14;
GO Biological Process	GO:0015698;	inorganic anion transport	Enriched	5.07246376811594 (7/138)	0.782625709254549 (40/5111)	0.0430361	SPCC569.05c;SPBC8E4.01c;SPAC17A2.01;SPBPB8B6.02c;SPBC36.02c;SPBC36.03c;SPAC17C9.16c;
GO Biological Process	GO:1902047;	polyamine transmembrane transport	Enriched	2.89855072463768 (4/138)	0.195656427313637 (10/5111)	0.0462038	SPCC569.05c;SPBC36.02c;SPBC36.03c;SPAC17C9.16c;
GO Biological Process	GO:0042221;	response to chemical	Enriched	12.3188405797101 (17/138)	4.44140090001957 (227/5111)	0.0518957	SPAC1D4.13;SPAC3H1.11;SPAC1783.07c;SPBC3F6.03;SPCC1442.16c;SPAC31G5.09c;SPCC569.05c;SPAC7D4.07c;SPAC17A2.01;SPBC32C12.02;SPCC1753.02c;SPBC106.11c;SPAC8C9.14;SPCC1827.04;SPBC36.02c;SPBC36.03c;SPAC17C9.16c;
GO Biological Process	GO:0006855;	drug transmembrane transport	Enriched	3.6231884057971 (5/138)	0.391312854627274 (20/5111)	0.0627473	SPCC569.05c;SPAC17A2.01;SPBC36.02c;SPBC36.03c;SPAC17C9.16c;
GO Biological Process	GO:0015893;	drug transport	Enriched	3.6231884057971 (5/138)	0.391312854627274 (20/5111)	0.0627473	SPCC569.05c;SPAC17A2.01;SPBC36.02c;SPBC36.03c;SPAC17C9.16c;
GO Biological Process	GO:0044764;	multi-organism cellular process	Enriched	7.97101449275362 (11/138)	2.15222070045001 (110/5111)	0.0657323	SPAC1D4.13;SPBC359.04c;SPCC1742.01;SPAC31G5.09c;SPBC32C12.02;SPCC1753.02c;SPBC947.04;SPBC317.01;SPAC31G5.11;SPAC8C9.14;SPAC1F8.06;
GO Biological Process	GO:0098661;	inorganic anion transmembrane transport	Enriched	4.34782608695652 (6/138)	0.626100567403639 (32/5111)	0.0681136	SPCC569.05c;SPBC8E4.01c;SPAC17A2.01;SPBC36.02c;SPBC36.03c;SPAC17C9.16c;
