,SPAC31G5.09c
0,SPBC428.06c
1,SPBC409.21
2,SPAC2F7.08c
3,SPAC694.03
4,SPBC21H7.03c
5,SPBC428.03c
6,SPBP4G3.02
7,SPCC1753.02c
8,SPAC1D4.13
9,SPAC11E3.09
10,SPBC1105.08
11,SPAC3G6.02
12,SPCC61.02
13,SPCC74.03c
14,SPBC713.03
15,SPAC23H3.13c
16,SPCC1919.03c
17,SPAP8A3.04c
18,SPAC31G5.19
19,SPBP22H7.05c
20,SPBC1604.14c
21,SPBC119.08
22,SPAC23H4.01c
23,SPAC2G11.10c
24,SPCC548.04
25,SPAC631.01c
26,SPAC110.03
27,SPBC1D7.05
28,SPAC6B12.15
29,SPAC3H1.03
30,SPAC19B12.02c
31,SPAC27F1.02c
32,SPAC3G9.08
33,SPBC1709.11c
34,SPBC19C2.13c
35,SPCC16C4.07
36,SPCC320.07c
37,SPBC146.01
38,SPAC513.07
39,SPBC1773.04
40,SPCC338.16
41,SPAC29A4.11
42,SPBC28E12.03
43,SPBC32H8.07
44,SPAC2G11.05c
45,SPAC1250.01
46,SPCC1620.14c
47,SPBC317.01
48,SPBC106.10
49,SPAC1556.08c
50,SPAC18B11.10
51,SPAC630.14c
52,SPAC140.02
53,SPAC15E1.09
54,SPAC4F10.20
55,SPCC970.04c
56,SPAC57A10.05c
57,SPBC365.14c
58,SPBPB2B2.12c
59,SPAC1556.07
60,SPAC12B10.11
61,SPBC1105.05
62,SPAC1705.03c
63,SPCC1223.12c
64,SPAC19G12.15c
65,SPAC3G6.09c
66,SPBC1703.10
67,SPAC32A11.01
68,SPAC13G7.02c
69,SPCC1739.13
70,SPBC776.09
71,SPBC887.09c
72,SPBC30D10.17c
73,SPAC4A8.15c
74,SPAC1B3.05
75,SPBC2G5.05
76,SPCC13B11.01
77,SPBC1815.01
78,SPBPB21E7.01c
79,SPAC3H8.06
80,SPBC1685.01
81,SPAC1751.01c
82,SPAC31G5.11
83,SPAC1039.11c
84,SPAC821.12
85,SPAC26A3.11
86,SPCC965.09
87,SPCC24B10.08c
88,SPBC23E6.06c
89,SPCC338.05c
90,SPAC17A5.14
91,SPCC1739.13
92,SPAC24H6.01c
93,SPAC31A2.11c
94,SPCC584.02
95,SPCC1259.09c
96,SPBC660.16
97,SPBC887.10
98,SPAC589.04
99,SPAC23A1.03
100,SPAC589.02c
101,SPAC23C11.13c
102,SPCC569.08c
103,SPAC19D5.04
104,SPAC26F1.06
105,SPAC27E2.09
106,SPBC3B9.18c
107,SPAC19D5.07
108,SPAC22H12.02
109,SPAC1D4.06c
110,SPAC637.11
111,SPAC16C9.07
112,SPAC2F7.03c
113,SPAC823.03
114,SPBC17F3.02
115,SPBC32H8.10
116,SPBC16C6.09
117,SPACUNK4.07c
118,SPAC30C2.02
119,SPAC664.11
120,SPBC21C3.19
121,SPBC337.13c
122,SPBC30B4.03c
123,SPAC23C11.05
124,SPBC2D10.03c
125,SPAC17H9.09c
126,SPAC22F3.03c
127,SPAC922.05c
128,SPAC1071.10c
129,SPAC24H6.05
130,SPCC330.05c
131,SPBP19A11.04c
132,SPBC16H5.09c
133,SPBC19C7.12c
134,SPCC777.07
135,SPBC19C7.12c
136,SPCC777.07
137,SPBC27B12.12c
138,SPAC11D3.13
139,SPAC1F7.06
140,SPAC5H10.02c
141,SPBC947.09
142,SPCC757.03c
143,SPAC26A3.01
144,SPCC1795.09
145,SPAC222.11
146,SPBC17G9.04c
147,SPBC428.16c
148,SPAPB24D3.09c
149,SPCC18B5.01c
150,SPAC4G8.13c
151,SPBP8B7.25
152,SPAC8F11.06
153,SPBC32F12.11
154,SPBC354.12
155,SPAPB1E7.09
156,SPAC513.02
157,SPAC5H10.03
158,SPBC21.05c
159,SPAC26F1.07
160,SPBC8E4.04
161,SPCC24B10.21
162,SPBC1711.13
163,SPBC29A3.02c
164,SPBC30B4.04c
165,SPCPB1C11.01
166,SPCC306.08c
167,SPAC26H5.08c
168,SPAC17G8.05
169,SPAC25G10.03
170,SPCP31B10.03c
171,SPAC13A11.06
172,SPAC3G9.11c
173,SPAC31A2.05c
174,SPAC631.02
175,SPCC1450.02
176,SPAC2E12.02
177,SPAC8C9.14
178,SPAC24B11.12c
179,SPAC4F10.16c
180,SPAC6B12.07c
181,SPAC767.01c
182,SPAC22E12.16c
183,SPBC1271.12
184,SPBC354.07c
185,SPBC646.08c
186,SPCC23B6.01c
187,SPBC646.04
188,SPBC16E9.10c
189,SPAC9E9.06c
190,SPAPYUG7.03c
191,SPCC4B3.15
192,SPBC3F6.03
193,SPBC31E1.04
194,SPAC806.07
195,SPBC1198.05
196,SPBC8D2.18c
197,SPBC1198.08
198,SPAC3H1.07
199,SPBP26C9.02c
200,SPBC14F5.04c
201,SPAC1002.13c
202,SPBC2G2.17c
203,SPAC23C4.12
204,SPBC3H7.15
205,SPCC338.14
206,SPBC2D10.04
207,SPBC839.02
208,SPBC2D10.20
209,SPBC1289.10c
210,SPCC1494.10
211,SPBC1A4.02c
212,SPAC16E8.14c
213,SPAC16C9.05
214,SPAC2F7.07c
215,SPBC28F2.03
216,SPBC839.17c
217,SPAC22A12.07c
218,SPBC19C7.03
219,SPBC365.20c
220,SPAC186.01
221,SPAC1D4.11c
222,SPAC1F8.06
223,SPAC23H4.17c
224,SPAC4G8.03c
225,SPAC4H3.03c
226,SPAC688.08
227,SPAC6F12.02
228,SPAC977.07c
229,SPAP11E10.02c
230,SPAPB15E9.01c
231,SPAPB2C8.01
232,SPBC1289.15
233,SPBC1348.08c
234,SPBC15D4.02
235,SPBC21B10.13c
236,SPBC21D10.06c
237,SPBC29A10.08
238,SPBC354.05c
239,SPBC359.04c
240,SPBC646.06c
241,SPBC947.04
242,SPBPJ4664.02
243,SPCC1223.13
244,SPCC1672.06c
245,SPCC1742.01
246,SPCC188.09c
247,SPCC736.08
