strain,ratio_mean,systematic_name,gene,ratio
mmp1,0.5300566434763155,SPBC2D10.07c,,
dcd1,0.460073666780039,SPBC2G2.13c,,
rpl3602,0.43129395288203864,SPBC405.07,,
rpl2102,0.38575337805409654,SPAC959.08,,
shm1,0.35416172414763386,SPAC24C9.12c,,
SPBP8B7.18c,0.33135208502166685,SPBP8B7.18c,,
SPNCRNA.1234,0.3126980437772852,SPNCRNA.1234,,
fkh2,0.2726901843409493,SPBC16G5.15c,,
SPNCRNA.900,0.2616511329694283,SPNCRNA.900,,
rrp17,0.25207011620279396,SPAC29A4.09,,
tom70,0.2183777051665944,SPAC6B12.12,,
csk1,0.21784377878067984,SPAC1D4.06c,,
rpl2702,0.21441436079683257,SPCC74.05,,
hst4,0.19378283784541903,SPAC1783.04c,,
SPAC607.02c,0.19187403824453148,SPAC607.02c,,
puf4,0.17015704370683182,SPAC6G9.14,,
yta12,0.15946012232256812,SPBC543.09,,
mug165,0.1508378600628834,SPAC5D6.02c,,
trs402,0.1500919286613625,SPAC13G6.09,,
res2,0.1483949554392699,SPAC22F3.09c,,
rpl3702,0.13935886402585615,SPCC1223.05c,,
med18,0.13575783400249616,SPAC5D6.05,,
sre2,0.13544097282192302,SPBC354.05c,,
reb1,0.133675077445437,SPBC1198.11c,,
rpt6,0.12105675338219692,SPBC23G7.12c,,
SPNCRNA.781,0.11408067108596578,SPNCRNA.781,,
ipk1,0.10873056784765263,SPCC4B3.10c,,
cdc73,0.1004433450960516,SPBC17G9.02c,,
,,SPBC30B4.01c,wsc1,0.10774711815469598
,,SPAC959.05c,pdi4,0.014170098681965808
,,SPAC630.15,mug177,0.018621176704853033
,,SPBC21D10.11c,nfs1,0.03690986879045984
,,SPAC5H10.05c,,0.034972685253499634
,,SPCC1840.02c,bgs4,0.041307265286655424
,,SPBC15D4.01c,klp9,0.0030211765729581566
,,SPAC1399.06,,0.02736533304611291
,,SPAC23A1.07,rnf170,0.056612335351642576
,,SPAPB8E5.05,mfm1,0.01807853166242036
,,SPBC530.11c,,0.044475066894400055
,,SPAC977.05c,,0.1376103054033049
,,SPAC1B3.15c,,0.08206640440766658
,,SPCC895.05,for3,0.1388526460420687
,,SPBPB2B2.11,tgd1,0.023134911271987267
,,SPBC409.03,swi5,0.02222896929801647
,,SPAC1B3.07c,vps28,0.05852758999239741
,,SPCC11E10.05c,ynd1,0.04119405767066486
,,SPAC4H3.13,pcc1,0.04675362263021982
,,SPCC1682.12c,ubp16,0.05727606906072845
,,SPBC32F12.01c,css1,0.0008216027144311945
,,SPAC20H4.10,ufd2,0.04148203769187008
,,SPAC17H9.01,cid16,0.005014339103537121
,,SPBC21C3.13,rps1901,0.011942170443384258
,,SPAC1805.04,nup132,0.039272523307620474
,,SPCP20C8.02c,,0.02800972537356692
,,SPBC557.05,,0.011332233167226794
,,SPCC1442.16c,zta1,0.02133846833939811
,,SPAC1F12.04c,,0.018466741265164538
,,SPBC9B6.03,pib2,0.008869788136352436
,,SPCC4G3.11,nur1,0.049143773963906456
,,SPAC15F9.01c,glm1,0.020766561407009256
,,SPBC4.06,,0.07412947092378812
,,SPAC1420.03,rpn501,0.04381502081055792
,,SPAPB8E5.08,,0.06122971155412512
,,SPCC1259.10,pgp1,0.02587602955012653
,,SPACUNK4.11c,mpp6,0.02291893325449254
,,SPBC12C2.07c,srm1,0.0729152147381106
,,SPBP22H7.08,rps1002,0.021361600241218023
,,SPAC21E11.03c,pcr1,0.0044221593583125595
,,SPAC110.05,SPAC110.05,0.03744263932452085
,,SPCC16A11.01,sfk1,0.05648883545415871
,,SPAC1782.08c,rex3,0.050899426599581916
,,SPAC323.04,,0.018411181816087172
,,SPAC1687.23c,,0.026938483869723955
,,SPAC1F3.02c,mkh1,0.019545456389205428
,,SPBC1A4.04,,0.04780383812236951
,,SPAC1B1.04c,pan3,0.0022882929039082125
,,SPAC1B3.05,not3,0.01846438268368372
,,SPAC1486.11,fmc1,0.04528569500706526
,,SPAC26A3.09c,rga2,0.010595551546063507
,,SPBC713.11c,pmp3,0.039663508435684
,,SPAC23D3.01,pdp3,0.03403343162826537
,,SPAC24H6.08,,0.078315371150436
,,SPAC11E3.11c,syt22,0.18099404369164582
,,SPBC30B4.09,,0.018915149622091447
,,SPBC354.04,,0.04125229924796626
,,SPBP22H7.05c,abo2,0.004414910448705744
,,SPBC31F10.16,bch1,0.07484116648592823
,,SPBC1347.03,meu14,0.05071039553503517
,,SPAC22A12.04c,rps2201,0.16857318187528023
,,SPAC30.04c,abc4,0.009162698929794868
,,SPBC4C3.09,otg3,0.011980275243558167
,,SPAC17A2.07c,,0.018859845002016307
,,SPBP8B7.31,,0.010159211957044688
,,SPBC16E9.02c,,0.1248871093650273
,,SPBC23E6.01c,cxr1,0.04600426964040112
,,SPAC14C4.13,rad17,0.01521228705036064
,,SPBC21C3.09c,oaa1,0.010452748833717093
,,SPCP31B10.04,psg2,0.06740407177248527
,,SPAC23H4.14,vam6,0.08156689512438743
,,SPBC2D10.05,exg3,0.008074853373361382
