strain,ratio,before_wash,after_wash,filtered_all_ratio_vals,n,sem,EMM/YES
med10/nut2,0.044208247198634906,0.2746372135960816,0.011873330364868779,"[0.06196836323407389, 0.06298633779132003, 0.016326362636176026, 0.02422362549650924, 0.04879262309068866, 0.031611302821917875, 0.04050895484550042, 0.053188952720232795, 0.05993898268078504, 0.0425369666691451]",10,0.004867349958835603,EMM
med10/nut2,0.04389011737633177,0.28123568986337105,0.01278770160365858,"[0.0214939697376155, 0.021687694971669044, 0.05951966835097129, 0.09838355986155876, 0.025651054688102817, 0.036604756648073215]",6,0.011296623163012331,YES
med13,0.152157326044215,0.4010525651908803,0.05779364717963721,"[0.2650711710226278, 0.21984692732002015, 0.2793935522831793, 0.23744850664787195, 0.2515036962380975, 0.18942831495720291, 0.14686918687953904, 0.10284536852483063, 0.22117064790745244, 0.18661996376564094, 0.21037184419356803, 0.10973108564544778, 0.09679263374336172, 0.09278542501726504, 0.0962341577639857, 0.06819702447410451, 0.07168681527451631, 0.0685629707355601, 0.07375310649694142, 0.05483412199308653]",20,0.01669599521737723,EMM
med13,0.03713134933147131,0.4624534683672037,0.01728450269568664,"[0.046807014912950404, 0.04426780524612332, 0.03248749206538183, 0.02500987557456129, 0.01784586690179945, 0.05283442160905557, 0.048152326633031345, 0.04945664390071419, 0.007775453285660169, 0.005136403885639499, 0.06205610080528235, 0.05374678715745627]",12,0.005262350129251921,YES
med18,0.12232338542353179,0.5164568634300977,0.06276080710896084,"[0.09263690078287015, 0.10360865884291252, 0.1510982621711392, 0.14344701326861437, 0.15418596134662169, 0.12431750919643002, 0.16489646309353653, 0.10295782133862359, 0.0754392720764522, 0.11064599211811756]",10,0.008970453407679853,EMM
med18,0.02317145072915003,0.5396346655220272,0.012562240900821505,"[0.025320758161498872, 0.01442544772018918, 0.03205916778138739, 0.04092477767816536, 0.01045363016494952, 0.015844922868709872]",6,0.004380211796070845,YES
med19/rox3,0.11846911485335943,0.41139737789495134,0.0467870332734633,"[0.2033627656459543, 0.16562007289876807, 0.1700490689931545, 0.10180727282998818, 0.1441839528175354, 0.1449365180438628, 0.06378519500142425, 0.07715521019096541, 0.05749327885470313, 0.05629781325723828]",10,0.016127778175576354,EMM
med19/rox3,0.028578134605976756,0.4864415172919038,0.014059718613200592,"[0.04586899889411569, 0.03098696693163001, 0.010998889535191183, 0.03165207926388774, 0.008078545178658206, 0.0438833278323777]",6,0.005957575850239128,YES
med27/pmc3,0.03857434003268555,0.49695897598714484,0.019082203050740987,"[0.032028680788018495, 0.03677988082756224, 0.05078640828969334, 0.04892125599920019, 0.04436855326278592, 0.02304540403520803, 0.041978925161436156, 0.043679044573881005, 0.028752419805164388, 0.03540282758390574]",10,0.0026854377606045335,EMM
med27/pmc3,0.02497466565734316,0.5226170648300965,0.0131079273955773,"[0.0349966519587266, 0.0239775471434445, 0.015285105952497616, 0.03500765427390283, 0.005514440532422377, 0.03506659408306503]",6,0.004644382101804258,YES
srb10,0.6131079009664469,0.39280702823900915,0.23426396811526767,"[0.848035326782834, 0.36336344777758434, 0.8759009475652583, 0.38705659845228596, 0.8455559069292334, 0.23105996846049512, 0.862387230334562, 0.2223789106034945, 0.8754029977126664, 0.32547598962511337, 0.9514211401916242, 0.7338570626962819, 0.9582380208160336, 0.5476958326990036, 0.777025201389334, 0.33665799500354593, 0.5904865406945762, 0.24406869858399485, 0.9460896970873688, 0.34000050592364794]",20,0.0608675773106479,EMM
srb10,0.08757665690033774,0.3767528371251357,0.032372931162527395,"[0.0912432400894641, 0.05550609163245824, 0.09771292268430537, 0.08091278237671645, 0.12127050562526485, 0.08966985577277337, 0.14872802762135032, 0.11658566883858919, 0.061659500099464, 0.04019204063014072, 0.08639110785523063, 0.061048139578295725]",12,0.008552109294829944,YES
srb11,0.6762408091251478,0.40413201723084785,0.2743805365410368,"[0.8424033809429062, 0.7401769761299236, 0.7166548866682916, 0.6900304157839184, 0.6377133691145803, 0.5730192568618548, 0.6004923439787088, 0.5065054534539233, 0.7656619588183726, 0.5955733470441146, 0.9513410021728637, 0.8988847038196804, 0.9623415945552961, 0.8906629268639698, 0.8115755943026682, 0.5714159368900777, 0.5854746091638069, 0.4282982830615231, 0.7299209177512749, 0.648087506752298, 0.5048801593285493, 0.5112187334242347, 0.4981181408165455, 0.5074522386914514, 0.5222331282258889, 0.5264679373583698, 0.5604873275949679, 0.5113900637386827, 0.5397168211932823, 0.5239779825789981, 0.7483110000323696, 0.6768847026647772, 0.910882583051203, 0.8783449445671966, 0.8763292675952975, 0.7976903824764023, 0.5770588519995156, 0.7044246177758232, 0.7507144525977854, 0.7768145651645181]",40,0.02342570360700658,EMM
srb11,0.061710749524592046,0.447398264912414,0.027414474464541996,"[0.07480873204297885, 0.07514874798580316, 0.057816309703078106, 0.0738968454375806, 0.08259127965472181, 0.07492050384139459, 0.11085699602801989, 0.10848452578387399, 0.04074524771051064, 0.04696110114033267, 0.0731338828817038, 0.07956666604694933, 0.040984935454334646, 0.0446075124938133, 0.05912234661581091, 0.04486991688165733, 0.017528233951198815, 0.036405180395271144, 0.06307956627170086, 0.0798023935922877, 0.0498937945415073, 0.04881207841346926]",22,0.004776890224687094,YES
