strain,ratio,before_wash,after_wash,sem,filtered_all_ratio_vals,n
rpl15,0.9500986114229578,0.2218292888841146,0.2108582535202353,0.008896442291028013,"[0.9415872090411951, 0.9564926180315504, 0.8933112749064109, 0.93811317610828, 0.9812688569447696, 0.9744927850521334, 0.9542646242726351, 0.9390364344765448, 0.9321567871378882, 0.990262348258171]",10
rpa12,0.6526751005286027,0.23238109923599842,0.1509233988668214,0.054275269939583794,"[0.6760871836064274, 0.5944712860293276, 0.75918851051497, 0.4711846942629123, 0.8339975485684055, 0.8387674460575077, 0.8277863621694719, 0.7014823725548656, 0.39781741523846126, 0.4259681862836773]",10
mus7,0.6208377526628273,0.17784729422955053,0.10776964661123523,0.06738691875548827,"[0.7193131551108431, 0.7077206290061436, 0.614885491607811, 0.500647208271562, 0.8156036379990329, 0.8875492961359628, 0.8660723750836615, 0.45572666457438227, 0.3213766743173129, 0.31948239452155963]",10
kgd2,0.591065165937726,0.1357359355363277,0.07941852794872549,0.048590489532308156,"[0.6618445688897889, 0.683509237323936, 0.7411764027128139, 0.3805549293177769, 0.6569251619967924, 0.49684465810945083, 0.5166012032135221]",7
tlg2,0.5306669263693866,0.1695782456211797,0.08847379576807753,0.05490640305605392,"[0.46148463260628325, 0.3812301880209838, 0.419980512456618, 0.43564536414271315, 0.6247885084725112, 0.7722855515156106, 0.7319055123086389, 0.4180151414317337]",8
mmp1,0.5300591037558527,0.1523987554845211,0.08193812925332512,0.05475525413601476,"[0.48305914162637087, 0.3106681800796304, 0.45710426954959876, 0.7453145953889962, 0.764816985000282, 0.5211182534294126, 0.42660464442668217, 0.5317867605458493]",8
dcd1,0.45532793877761313,0.29531535879375415,0.12918106588185171,0.03571281507835353,"[0.3361451308261328, 0.46292929690470686, 0.7390995537085805, 0.5332763209278905, 0.5323418003469421, 0.43911497425167606, 0.3011966888468636, 0.42574776238658757, 0.47593060848878616, 0.32650124418514925, 0.4013775951346993, 0.69826823270509, 0.50693768635715, 0.427587447650916, 0.22346473894302568]",15
rpl3602,0.4326676465743231,0.3052937713252405,0.13431179639466564,0.041341667493308434,"[0.13840432796963356, 0.19192662742182343, 0.46110034409243916, 0.3729560755171822, 0.44503248592576766, 0.398399357564693, 0.25491368711223084, 0.38998722580761036, 0.40773636524947915, 0.6032658247635092, 0.5706361218572291, 0.7091515731920468, 0.6476175135804806, 0.48994931294254823, 0.4089378556181729]",15
rps1201,0.40244136090620286,0.24631711048601007,0.09846628177327599,0.05253341144354892,"[0.3498949199012451, 0.25175414306803595, 0.2941049643988315, 0.2294005466477558, 0.5743503097400694, 0.6180891349950173, 0.6815253675886326, 0.44551978112065843, 0.2830489761864042, 0.29672546541537853]",10
rpl2102,0.387553686970983,0.3101463992437908,0.11815737294443014,0.048604388839402025,"[0.08659645963321685, 0.16893334439257515, 0.32051654413584796, 0.16444282600049936, 0.20814581026448406, 0.4000361540543283, 0.312205516631187, 0.41229866554842987, 0.4470699480130302, 0.681067121558175, 0.3495802208450541, 0.7012664468171671, 0.6341835227362213, 0.5016892631624643, 0.42527346077206507]",15
shm1,0.3538110202447037,0.16101780744918254,0.059696783206432666,0.05619784176739165,"[0.20113290417440308, 0.27696956060527284, 0.2586941040898166, 0.32876101131215457, 0.8167922337195278, 0.4166749049600517, 0.3548369989873491, 0.30343862088827345, 0.3811387530970894, 0.19967111061309853]",10
meu27,0.34961128430729155,0.2493519660643758,0.08576142769678223,0.03812046212154209,"[0.33484132685295886, 0.26672960382490607, 0.32386638285924596, 0.2174759197626906, 0.48188405025009134, 0.4663666878189567, 0.5089138012495568, 0.46179701912555615, 0.19088974112440768, 0.24334831020454542]",10
SPNCRNA.1234,0.27899633428975346,0.28161660700538754,0.06732691431373379,0.03216666023565055,"[0.5882913208617071, 0.41188771685595665, 0.2261662468799392, 0.13337524314816193, 0.3767202151500091, 0.07807985167519559, 0.08498305950953176, 0.1226483338839587, 0.14837422421183719, 0.11884613667972646, 0.622539427813557, 0.4837172072279835, 0.18945121271447019, 0.06670601336726178, 0.394599591143825, 0.09762051224046564, 0.08105852504060156, 0.25743464069339655, 0.29026712798986276, 0.26251097870245227, 0.6276520909383424, 0.5519468195747288, 0.2601550447641732, 0.07556389228518101, 0.4721193231533703, 0.13197594562704967, 0.09325006377860243, 0.7232159615727911, 0.6155997005435646, 0.25850742888094963, 0.06590157521836364, 0.5349331263961064, 0.14597124703139253, 0.07065270484156683, 0.20365552660892716, 0.23198979235204073, 0.22449653936382843]",37
for3,0.27486857819634086,0.2326636372390154,0.06386904839020562,0.031023920575411347,"[0.27489178336215603, 0.20879143890962543, 0.2540860669306952, 0.256285058151962, 0.41356131623402437, 0.34925137058728833, 0.3946782486371694, 0.07029994945079103, 0.25231181509070105, 0.2745287346089959]",10
