gene,before_wash,plate,color,position,ratio,source,ecdf,common name,384_row,384_col
SPCC576.11,0.616822429906542,10,green,G_9_,0.9182086350227944,bioneer,1.0,rpl15,[14],[18]
SPAC3F10.09,0.5934579439252337,10,green,B_11_,0.7381367152114835,bioneer,0.999032570138665,his6,[4],[22]
SPBC4F6.10,0.699530516431925,10,yellow,H_12_,0.5718120805369127,bioneer,0.9983876168977749,vps901,[16],[23]
SPBP8B7.05c,0.6728971962616822,10,green,H_5_,0.3945427728613569,bioneer,0.9954853273137697,nce103,[16],[10]
SPBC409.10,0.5066666666666666,7,green,C_12_,0.18178670360110813,bioneer,0.9854885520799742,ade7,[6],[24]
SPAC11G7.04,0.3070175438596491,4,green,E_11_,0.17142857142857146,bioneer,0.9848435988390841,ubi1,[10],[22]
SPBC16C6.03c,0.47058823529411764,4,yellow,A_8_,0.1670305676855895,bioneer,0.9841986455981941,rsa1,[2],[15]
SPCC550.11,0.6682242990654206,10,green,A_3_,0.16554242217959034,bioneer,0.9838761689777491,nmd5,[2],[6]
SPCC1259.03,0.3893805309734513,2,green,A_9_,0.15700674870980552,bioneer,0.981618832634634,rpa12,[2],[18]
SPAC57A7.08,0.4690265486725664,3,green,D_2_,0.15094339622641512,bioneer,0.980651402773299,pzh1,[8],[4]
SPBC29A10.02,0.4484304932735426,9,green,F_1_,0.14671052631578949,bioneer,0.9796839729119639,spo5,[12],[2]
SPCC895.05,0.26991150442477874,2,green,D_8_,0.14560813229293434,bioneer,0.9790390196710739,for3,[8],[16]
SPCC962.04,0.46288209606986896,6,blue,H_11_,0.14213008937437932,bioneer,0.9783940664301838,rps1201,[15],[22]
SPAC343.10,0.40707964601769914,3,green,C_3_,0.14130434782608692,bioneer,0.9777491131892938,met11,[6],[6]
SPBC409.19c,0.2149122807017544,2,yellow,D_3_,0.13919413919413923,bioneer,0.9771041599484037,mtx1,[8],[5]
SPCP1E11.10,0.4557522123893805,2,green,E_2_,0.13414168821808628,bioneer,0.9767816833279587,dhm1,[10],[4]
SPCC736.07c,0.528888888888889,7,green,B_8_,0.13268465280849184,bioneer,0.9761367300870687,uri1,[4],[16]
SPBP8B7.05c,0.4727272727272727,8,yellow,C_2_,0.13221153846153846,bioneer,0.9758142534666236,nce103,[6],[3]
SPAC688.11,0.33628318584070793,3,green,D_5_,0.13157894736842107,bioneer,0.9751693002257337,end4,[8],[10]
SPBC21C3.12c,0.6181818181818182,8,yellow,H_1_,0.1299894957983193,bioneer,0.9745243469848436,,[16],[1]
SPCC364.03,0.2763157894736842,8,red,D_6_,0.12698412698412698,bioneer,0.9742018703643985,rpl1702,[7],[11]
SPAC6B12.02c,0.21145374449339208,2,red,C_12_,0.1266741071428571,bioneer,0.9738793937439536,mus7,[5],[23]
SPAC823.05c,0.5570175438596492,4,green,H_1_,0.1259842519685039,bioneer,0.9735569171235086,tlg2,[16],[2]
SPAC637.11,0.4254385964912281,3,red,A_4_,0.12317111601314544,bioneer,0.9729119638826185,rpm2,[1],[7]
SPAC3G9.03,0.5065502183406114,6,blue,F_1_,0.12121899576527523,bioneer,0.9725894872621735,rpl2301,[11],[2]
SPBC11B10.02c,0.4380530973451327,3,green,E_4_,0.12121212121212126,bioneer,0.9722670106417285,his3,[10],[8]
SPBPB10D8.04c,0.5866666666666667,7,green,H_1_,0.11961722488038282,bioneer,0.9719445340212834,,[16],[2]
SPCC1259.14c,0.25791855203619907,4,yellow,D_6_,0.11851681605761125,bioneer,0.9709771041599484,meu27,[8],[11]
SPBC1709.18,0.5663716814159292,1,blue,B_11_,0.11823381696428571,bioneer,0.9706546275395034,tif452,[3],[22]
SPBC725.01,0.40350877192982454,2,yellow,F_4_,0.11649944258639912,bioneer,0.9700096742986134,maa1,[12],[7]
SPCC825.04c,0.6088888888888888,7,green,H_6_,0.11525163273146374,bioneer,0.9696871976781684,naa40,[16],[12]
SPAC12G12.03,0.5304347826086957,7,blue,G_3_,0.11425732737208147,bioneer,0.9693647210577233,cip2,[13],[6]
SPBC776.15c,0.39090909090909093,8,yellow,F_1_,0.11420265780730891,bioneer,0.9690422444372783,kgd2,[12],[1]
SPBC725.02,0.3449781659388646,7,red,F_8_,0.11293769521617628,bioneer,0.9687197678168333,mpr1,[11],[15]
SPBC11C11.08,0.5109170305676856,6,blue,D_8_,0.11159844054580895,bioneer,0.9680748145759432,srp1,[7],[16]
SPAC3H5.12c,0.5201793721973094,1,green,H_8_,0.11107279693486594,bioneer,0.9677523379554982,rpl501,[16],[16]
SPCC736.08,0.47345132743362833,2,green,D_4_,0.11068032485818062,bioneer,0.9674298613350532,cbf11,[8],[8]
SPCC1884.02,0.5688888888888888,7,green,G_1_,0.10793585526315791,bioneer,0.9661399548532731,nic1,[14],[2]
SPBC16H5.03c,0.44978165938864634,2,blue,C_5_,0.10679611650485436,bioneer,0.9658174782328282,uba2,[5],[10]
SPBC12C2.01c,0.5350877192982456,4,green,H_9_,0.1065573770491803,bioneer,0.9654950016123831,,[16],[18]
SPBC460.03,0.5504201680672269,10,blue,G_1_,0.10597964376590327,bioneer,0.9651725249919381,vba2,[13],[2]
SPAPB17E12.05,0.4646017699115044,1,red,H_4_,0.10569727891156461,bioneer,0.964850048371493,rpl3703,[15],[7]
SPCC306.09c,0.5405405405405406,6,yellow,G_5_,0.10548245614035089,bioneer,0.9645275717510481,cap1,[14],[9]
SPAC1B3.01c,0.5955555555555556,7,green,H_9_,0.1031029065200314,bioneer,0.963882618510158,,[16],[18]
SPAC13C5.02,0.554585152838428,6,blue,A_3_,0.10281116176267435,bioneer,0.963560141889713,dre4,[1],[6]
SPCC736.11,0.39090909090909093,8,yellow,D_12_,0.10278239202657806,bioneer,0.963237665269268,ago1,[8],[23]
SPAC890.02c,0.5086956521739131,7,blue,A_3_,0.10212010212010209,bioneer,0.962915188648823,alp7,[1],[6]
SPAC959.04c,0.5272727272727273,8,yellow,F_6_,0.10160098522167482,bioneer,0.9625927120283779,omh6,[12],[11]
SPAC3H8.08c,0.5657894736842105,4,green,G_1_,0.10077519379844958,bioneer,0.9616252821670429,,[14],[2]
SPAC17A2.01,0.6635514018691588,10,green,C_1_,0.10002492833104823,bioneer,0.9613028055465979,bsu1,[6],[2]
