strain,ratio
JB1117,0.5496602437943953
JB1154,0.17253286133084567
JB1171,0.1710958771890544
JB1174,0.18998706328744844
JB1180,0.15608554389704613
JB1197,0.12053041349351985
JB1205,0.05765898349796036
JB1206,0.050661548119929345
JB1207,0.036576223042227324
JB22,0.09963953623226358
JB4,0.15372454629008522
JB50,0.09350579226613502
JB758,0.05132023089485166
JB759,0.33775879145797777
JB760,0.014246360929890997
JB762,0.04399308721907356
JB837,0.06348807174318215
JB838,0.12428620143560669
JB840,0.09774648003526126
JB841,0.0901625204722015
JB842,0.12662404855714002
JB845,0.0422738647680251
JB846,0.1156933459393616
JB848,0.3384144271873259
JB852,0.18529344818523022
JB853,0.07420724028990329
JB854,0.05886879120627816
JB858,0.16170984842854383
JB862,0.043539449589958666
JB864,0.25543024878362214
JB869,0.34089087078448427
JB870,0.19692026553519001
JB872,0.5778509179601486
JB873,0.04012079283856837
JB874,0.13011319227510723
JB875,0.13926899522446634
JB878,0.021316411695165804
JB879,0.07005692183693912
JB884,0.04127060407575859
JB899,0.20989230933858852
JB900,0.22496643748099118
JB902,0.18999905772103934
JB910,0.39439351481913115
JB913,0.19009026233624318
JB914,0.9364083687840986
JB916,0.14302304767390558
JB917,0.11525798482495679
JB918,0.050187029419965966
JB929,0.05533035102407893
JB930,0.09525332841865662
JB931,0.18479034706146993
JB934,0.6088185345729847
JB938,0.271835103298191
JB939,0.2416501146677893
JB942,0.0671463213512145
JB943,0.07957023248947327
JB953,0.3268133316425865
TYPO,0.18493487642153103
