,strain,ratio,before_wash,after_wash,sem,filtered_all_ratio_vals,n
0,JB22,0.07637012637023849,0.4183709995822366,0.03165417498318575,0.00621776343848807,"[0.06930021515326082, 0.07365587207037434, 0.04497485933257432, 0.04645595248550025, 0.09408260628834003, 0.09453624114080486, 0.0910723226055782, 0.08308461295452048, 0.06681624449538502, 0.09972233717604656]",10
1,JB50,0.05874134010673728,0.44901304841377865,0.026218349754253013,0.006494169446202715,"[0.07141149524809001, 0.0380942380636818, 0.02826759625251558, 0.03385580936512009, 0.09028654507287528, 0.0658775401429893, 0.06754652383623949, 0.08140951762642949, 0.05497301578131348, 0.05569111967811825]",10
2,JB759,0.20407319902767734,0.42789653745899364,0.0826973233034003,0.024255753039920887,"[0.25638049945273517, 0.14965851154233306, 0.1244027679364868, 0.07423728108298808, 0.09390874380612958, 0.07272960402277233, 0.1875565352597439, 0.07440045172266625, 0.33065379214386365, 0.16654580548039563, 0.3173799584780411, 0.17596989258253656, 0.4065245223666354, 0.1959908473831868, 0.42935890276628447, 0.18822621309558596, 0.3332033901879896, 0.16027455177120434, 0.2190984045715188, 0.12496330490044934]",20
3,JB869,0.13411908235884779,0.41334338093701517,0.0544546426616203,0.011550673997176002,"[0.15582166041086395, 0.11241846476216158, 0.07521033410925974, 0.09386687852123077, 0.15062692341510595, 0.14777307329558403, 0.18898236040014543, 0.17875063890376902, 0.11390649840603657, 0.12383399136432073]",10
4,R1,0.0498278553694717,0.4744109231211735,0.02363268373024468,0.0035378178338172288,"[0.06257769811931344, 0.04742088120091089, 0.032037349977634834, 0.046595341544668656, 0.07051263205139056, 0.05381338770533527, 0.04954552844833631, 0.04912051533300151, 0.050480225553166794, 0.03617499376095878]",10
5,R10,0.021806230560217552,0.47271452535532654,0.010218621919387013,0.0024071531296632363,"[0.03331306947460987, 0.01946389427448803, 0.008749968276676255, 0.02398248103373853, 0.0331250235401705, 0.01570078408706412, 0.01931749423185293, 0.024726319115531865, 0.023048447513687863, 0.01663482405435554]",10
6,R11,0.05840228061062229,0.26885423235834305,0.013206129047637571,0.010990273325694473,"[0.039473802937663095, 0.044758187263396844, 0.015131242008160862, 0.027532922557187256, 0.05837258341334208, 0.050427053983925364, 0.08635173167261626, 0.06739382393055418, 0.13942594870565417, 0.05515550963372277]",10
7,R12,0.4913324141814838,0.3432477553037521,0.15759792645179932,0.055057523483379237,"[0.1924340641668085, 0.6569098624619657, 0.31314304370165585, 0.4530985213840445, 0.6634301385386066, 0.6371781836737553, 0.5432799777022775, 0.5825004566005086, 0.6011380833001064, 0.27021181028510977]",10
8,R13,0.03235478683136143,0.5285331901157113,0.017091257512187624,0.003242236386266452,"[0.04186186404701563, 0.04641310323189483, 0.01701135597138543, 0.0262442016118088, 0.04151157464210581, 0.029550342877155078, 0.03167775559532836, 0.03069766658431957, 0.04094345436395352, 0.017636549388647265]",10
9,R14,0.056325726835933884,0.3889567115651538,0.02143705093027765,0.00643504268410927,"[0.045941282479782464, 0.04372844259760636, 0.02085050244693752, 0.03282432712878817, 0.0633130985832971, 0.07356400275750478, 0.07004107240788969, 0.08515703532178845, 0.05472909897924219, 0.07310840565650213]",10
10,R15,0.03412884269017843,0.35990785616631416,0.011436902438236168,0.005193491847562393,"[0.048837328098361533, 0.014768967565653778, 0.0075581199912480145, 0.021717816950966033, 0.06210052712250857, 0.0328113364738438, 0.03737748831704223, 0.041032983611538544, 0.0449803725833228, 0.03010348618729896]",10
