,strain,ratio,before_wash,after_wash,sem,filtered_all_ratio_vals,n
0,JB22,0.10982027623597593,0.3188343710799808,0.035302940700388766,0.010233909658556795,"[0.07564933472822273, 0.1369443066698589, 0.09308566232890349, 0.14132032277892725, 0.08606491188891015, 0.1518785160313063, 0.09384252027316779, 0.0997766351885108]",8
1,X968,0.5053283670508376,0.28556022687803556,0.14432499597027035,0.04899042768287504,"[0.41716394708749177, 0.6155303427974378, 0.2550576054953615, 0.5438291875267577, 0.4380860374719954, 0.6687575983019465, 0.6380145575024794, 0.46618766022323127]",8
2,Y0036,0.12539382668177906,0.3066060371197058,0.03829138807622372,0.009436256362133705,"[0.09596625420102207, 0.07186926285295449, 0.09026087543402098, 0.10636803836239558, 0.09454376237974914, 0.10268339925797713, 0.12064146938355183, 0.12734219693239218, 0.20171360631733826, 0.16317317325818584, 0.13527578490526465, 0.14328369380913328, 0.18831757810729408, 0.16419345063891921, 0.09142327763381823, 0.10924540343444804]",16
3,JB869,0.11990915302134798,0.31512809686178583,0.03780952437850523,0.010598830074786549,"[0.06550281052920204, 0.1118969398315639, 0.09413541436043463, 0.14401769189568264, 0.13453806820058442, 0.15521961982244217, 0.14214960187631487, 0.11181307765455921]",8
4,R1_1,0.03923788758519503,0.3263991081659784,0.012901757151372215,0.0060863707047867565,"[0.021677524798001543, 0.02613892373988775, 0.02747207330566718, 0.05018653690186534, 0.06441849792804251, 0.05211534287174729, 0.05198848166682513, 0.01990571946952351]",8
5,R1_10,0.044030584152060355,0.3249756886673547,0.014495065642756587,0.006839645880577283,"[0.01900117932661743, 0.06061529102226897, 0.019877905548021713, 0.0677919729401788, 0.031897832992824414, 0.06351360746693172, 0.04017193618380163, 0.04937494773583815]",8
6,R1_11,0.12988029566246398,0.1627850555885734,0.019878573610655013,0.023889153356924132,"[0.061327925440309884, 0.10871091726040681, 0.06327924469491338, 0.22377479930904468, 0.19881370536433282, 0.10666993147717078, 0.1465855460910694]",7
7,R1_12,0.34801899371540684,0.138222273617884,0.04834581307686931,0.01732989841212064,"[0.2524044139345155, 0.3419885821956512, 0.2987153843950468, 0.375857941724713, 0.36201575850855794, 0.3965480841656811, 0.3831932216657967, 0.3734285631332926]",8
8,R1_13,0.016376011056261165,0.41135295514332165,0.006822320181342389,0.004002305944337065,"[0.0068377800061980515, 0.003677545314838337, 0.010309054545413383, 0.022149997427708158, 0.034270373193403224, 0.029125474818539127, 0.01774943738450671, 0.006888425759482335]",8
9,R1_14,0.12021103028102789,0.20077573116700184,0.02416562817775341,0.010391302662931671,"[0.08193169754745838, 0.1421325426010845, 0.09205280785751194, 0.14240979419203956, 0.12187592257279797, 0.16927850904346517, 0.10677965523594268, 0.10522731319792294]",8
