,strain,ratio,before_wash,after_wash,sem,filtered_all_ratio_vals,n
0,JB1110,0.07053929445482565,0.18025909149928412,0.011723332589888592,0.01282922918360039,"[0.04840254331014328, 0.050932153527501065, 0.11909588306004085, 0.09630224766295793, 0.0382649223684653, 0.07023801679984551]",6
1,JB1117,0.5511758376842529,0.41856424467577125,0.21923581069532108,0.07394955951165187,"[0.8235594165542443, 0.2393587998651804, 0.22792583316516793, 0.23877386535468736, 0.7897174963720225, 0.5097960825903584, 0.6598924583206585, 0.6441251107108382, 0.7160226787918477, 0.6625866351175242]",10
2,JB1154,0.1001475172674577,0.3843393920257388,0.034356054548560555,0.05068791366178822,"[0.5552307072019596, 0.03438858803310515, 0.04042614826680716, 0.05158399738552033, 0.06627169530967938, 0.050011987287666385, 0.058065805460135234, 0.04516233245784321, 0.035464701860783446, 0.06486920941107702]",10
3,JB1171,0.09893431737443763,0.379073125421642,0.031265724785956225,0.058699883198452964,"[0.626116642555209, 0.03494921771275881, 0.049230233473354944, 0.04873200210491985, 0.061862434732697105, 0.024572166186417957, 0.040609147446180265, 0.029918291943886625, 0.02476765012136621, 0.04858538746758553]",10
4,JB1174,0.0882190282890633,0.4010184345434763,0.030715489924920257,0.04505462223417591,"[0.485830656090683, 0.031195400825644086, 0.11561380898577453, 0.05277889264204693, 0.05513198506946606, 0.021898128869514703, 0.03321366242216347, 0.022201965162147067, 0.022731752736764463, 0.04159403008642877]",10
5,JB1180,0.17359422712055583,0.4767920569081201,0.07964834367605007,0.038188190946325924,"[0.09118228833722705, 0.061602879902092296, 0.047579801712413196, 0.18842630013110873, 0.40197681454955403, 0.2152366607506191, 0.12566914334131016, 0.08822527056020918, 0.3531101450820719, 0.16293296683895275]",10
6,JB1197,0.0786257289186281,0.27582167114962386,0.019629955395052554,0.014297601964861205,"[0.13139705050542208, 0.08849541387529622, 0.12209435690732659, 0.13754153264644148, 0.10909662369283203, 0.02646461096879703, 0.0471273475587652, 0.02884544063829344, 0.024037732472396472, 0.07115717992071052]",10
7,JB1205,0.040930858904030545,0.39182478238170615,0.01552106573733134,0.009953166322223546,"[0.12653077155309378, 0.025628802294447514, 0.032454978850862765, 0.046910374667434154, 0.04724261011266467, 0.02553987567322158, 0.02666075157599799, 0.01797151454051851, 0.028141757107028657, 0.03222715266503579]",10
8,JB1206,0.01996862596419825,0.39195326328814495,0.007744797877591389,0.0029742632071427778,"[0.01134895038754443, 0.024364536803303048, 0.01641322308978543, 0.02917893372600638, 0.029286106391510972, 0.005810680022200266, 0.012481716069942929, 0.013851268333880565, 0.022166764944401902, 0.034784079873406586]",10
9,JB1207,0.019597626316809023,0.39088070671390757,0.007763817032088666,0.005027075892503607,"[0.04948282243579307, 0.008132379630340735, 0.03564385029463901, 0.03558707115177701, 0.003584202745142941, 0.013707156069683948, 0.021349053965705137, 0.015002436112472197, 0.0, 0.013487290762536167]",10
10,JB22,0.04125728151926892,0.3725340410046819,0.014800331762768657,0.008317493062417403,"[0.07717438162174506, 0.03061145550000609, 0.04537837119970048, 0.03748810171769812, 0.09889331558782576, 0.018651293212490552, 0.02756669659627063, 0.022900386358054643, 0.023404400659063285, 0.030504412739834598]",10
11,JB4,0.12491460769905331,0.4847092124451808,0.05753991793640136,0.023117121816442796,"[0.1328832564049509, 0.07869310550024353, 0.06975198718844684, 0.27969397884160846, 0.23496393252826483, 0.10087838253895658, 0.10198635918653398, 0.07031794688999075, 0.10143130852359153, 0.07854581938794572]",10
12,JB50,0.07531356288320616,0.43328350534548676,0.031897756159029275,0.021903028499515396,"[0.029047099446346054, 0.05074147997095305, 0.07907433433547242, 0.057775862806507684, 0.2686137792339586, 0.04164224416936156, 0.06534611973243785, 0.046496897952036154, 0.05359412518037921, 0.06080368600460903]",10
13,JB758,0.04268515441766204,0.4768205806537698,0.020144181973240312,0.004985978724535491,"[0.06633540590530307, 0.043346980592844114, 0.05978775165939444, 0.053530687948865736, 0.0480022978975795, 0.03845868006897095, 0.026933488941912626, 0.011880577001522263, 0.03849849526708132, 0.04007717889314636]",10
14,JB759,0.31477354421254167,0.369049382302101,0.11623190916106452,0.01561114493398287,"[0.2593742116939677, 0.31613551935444584, 0.4082721689143266, 0.37052397657937, 0.334260601180076, 0.2860527006868471, 0.3265430993879011, 0.25114160582373446, 0.32050337081423824, 0.27492818769050964]",10
15,JB760,0.022424908038430495,0.29777787726272276,0.006632207938617847,0.00758489653139364,"[0.021030847950724574, 0.00319961060148657, 0.08599137316626641, 0.03382347105987912, 0.013007717170700338, 0.007567892393921804, 0.020496318494939495, 0.013604795544567642, 0.007379848631550578, 0.018147205370268392]",10
16,JB762,0.02194140273147049,0.3732623001918527,0.008007824450934727,0.004792556935029687,"[0.023180847905024293, 0.009801704020386775, 0.057141679309931574, 0.017451173394306872, 0.007021373202260406, 0.007425756793879803, 0.035049762074498315, 0.023730323887745326, 0.015015619801514895, 0.02359578692515666]",10
17,JB837,0.02986805224299082,0.4689647424496973,0.013576903253770728,0.005985006197924717,"[0.06061519914824642, 0.018525821078738337, 0.04876640193932994, 0.05401028656607187, 0.039015736227081425, 0.02417626644577769, 0.012633839897755697, 0.011454763131961232, 0.014688133491287038, 0.014794074503658577]",10
18,JB838,0.10954017455642055,0.35788072691045336,0.03885590618337781,0.003007780662749484,"[0.11089009921630885, 0.09639775899231763, 0.11636750881871051, 0.09703577676116029, 0.11160850968559129, 0.09761545128882985, 0.1152423228391786, 0.1128212353764947, 0.11243841051203163, 0.12498467207358228]",10
19,JB840,0.03121511877278037,0.44826523255801537,0.014368028153298832,0.0067632620598777286,"[0.016621124503742337, 0.03059066483501677, 0.06483240997478835, 0.0704885266125718, 0.03404648126471996, 0.03233274203772552, 0.018176698304565402, 0.0017340352720930552, 0.021568578555355482, 0.021759926367225037]",10
20,JB841,0.07841326375454047,0.4465366997953081,0.03440882129004652,0.006609425252541047,"[0.09240809855697044, 0.048428599965069104, 0.0710577055089312, 0.06848515561138188, 0.1090290240395477, 0.09701524104575279, 0.10342362634028752, 0.05387109550792832, 0.07457279459643548, 0.06584129637310028]",10
21,JB842,0.09807844555295873,0.4879619062977255,0.04726813353159072,0.01048053491684277,"[0.1390702341697752, 0.04976664387342915, 0.10058590596096154, 0.12026603020179927, 0.1307302586358252, 0.10731168185577879, 0.13258074737577807, 0.05876298418322878, 0.06961595788937515, 0.07209401138363626]",10
22,JB845,0.03289298655168863,0.43181756743097893,0.013898777203608607,0.005648431173747131,"[0.023887581698594368, 0.017589741960539355, 0.03548049403085699, 0.03297134628776264, 0.08061908047199472, 0.03214504780916335, 0.03414158389964731, 0.021170896165562923, 0.022168250186949973, 0.028755843005814657]",10
23,JB846,0.02709822380318198,0.4285798957438661,0.01165093340564934,0.002019979433187739,"[0.023937551459782002, 0.019601161143427772, 0.034187868217090155, 0.034476460413981724, 0.03311049123967656, 0.03293043939259744, 0.028295749874538558, 0.017222381943639835, 0.02241248680536206, 0.02480764754172372]",10
24,JB848,0.3202929387195673,0.44525518285703525,0.1477978868200423,0.09682009879339018,"[0.22389103872524277, 0.07389115032831263, 0.4426230315907608, 0.9659035351473512, 0.15515882256067756, 0.6496731365156907, 0.06640367592513911, 0.010749917468928116, 0.45817015543237927, 0.15646492350119084]",10
25,JB852,0.11807892885369597,0.4191961755134087,0.05461884706244495,0.07139782476277766,"[0.025795394826945147, 0.02008431449171894, 0.09777548691084426, 0.7458846500982876, 0.03414601870287803, 0.03392151275595571, 0.02171378539712608, 0.009121114310359777, 0.16643035693695626, 0.025916654105887903]",10
26,JB853,0.06192069809119619,0.4495250650773589,0.02724849823515395,0.0062260004399042335,"[0.053878908978349044, 0.053798270747762986, 0.0918901664787619, 0.05232721517394017, 0.10377482860077056, 0.061491425004088156, 0.054907531068974454, 0.0424730608188689, 0.05385355727356066, 0.05081201676688504]",10
27,JB854,0.036308527447180564,0.42440827773249923,0.015479558298940616,0.0034111858828177128,"[0.041933714419098496, 0.033546755973678004, 0.04576563027497478, 0.054266252386732765, 0.038551367502345585, 0.04106264992492535, 0.030134267234366345, 0.015059917924753136, 0.027491404417705048, 0.03527331441322613]",10
28,JB858,0.13775571076263443,0.3584376883858975,0.049785098114058554,0.02954566482030005,"[0.12375137664726385, 0.09877382428440766, 0.13989218196078, 0.3947759566609718, 0.09943114780628666, 0.150875071068325, 0.11310848140415032, 0.07034068107948681, 0.09780147199311964, 0.08880691472155239]",10
29,JB862,0.0127184885707538,0.38617407260163883,0.004851985849400995,0.003528743199435212,"[0.02839538942673823, 0.009979968291929764, 0.010901596487020979, 0.033537711933066594, 0.020087747673148824, 0.0, 0.006902021274161348, 0.0011042258721536645, 0.006736562201070002, 0.0095396625482486]",10
30,JB864,0.1389281869074504,0.22727609666618126,0.027162034132489566,0.019738274070754798,"[0.17838659886464042, 0.1572270770496394, 0.19744430872879734, 0.189837432422068, 0.24215388224659254, 0.11057803745101334, 0.09615517439787333, 0.05205671501577265, 0.08380907607761524, 0.08163356682049196]",10
31,JB869,0.213131504119219,0.3875989125390767,0.08165877389093182,0.01840041828629717,"[0.2973472384864363, 0.20241757156568316, 0.28372380174050177, 0.22952063752400015, 0.27521988297304895, 0.1497115598365689, 0.20841965123589049, 0.12551318840157033, 0.18982143927206774, 0.16962007015642241]",10
32,JB870,0.11526594522222929,0.44089672262962526,0.05558496258483697,0.06110925688740982,"[0.1038614472608557, 0.024696064320372926, 0.21919666687616923, 0.6343795177059702, 0.06960582759867617, 0.02475381069457065, 0.026263618627805407, 0.015607838852693708, 0.023940069882074044, 0.010354590403104803]",10
33,JB871,0.972890067222848,0.16704259584573594,0.1639022493630155,0.014717167528698095,"[0.9324787161170367, 0.9710953449992225, 1.0, 0.9879862077751331]",4
34,JB872,0.3644751552577229,0.47858645463965227,0.17191537533617798,0.1041548684100698,"[0.5312375757826113, 0.2340811381983884, 0.8064966354743175, 0.9697769933950632, 0.4196779927367161, 0.1793045506617982, 0.024466072102076953, 0.020906260634584745, 0.4058745356387997, 0.052929797952872955]",10
35,JB873,0.018357266550231482,0.43176393374771305,0.007995569377926063,0.003792246923453621,"[0.03237084327351942, 0.0, 0.03069714817375407, 0.03547323674312554, 0.020060638935184383, 0.018437874275540184, 0.018546767166713708, 0.00935948187817232, 0.0034732046200242664, 0.015153470436280927]",10
36,JB874,0.04126221736967957,0.476996303286504,0.01968171708530307,0.003222245490637242,"[0.04934605491699274, 0.03863637590559304, 0.049609992864387796, 0.05353356693435385, 0.04704448361529095, 0.04565696589425985, 0.034249463619908875, 0.018477215683085475, 0.03812685080523797, 0.03794120345768513]",10
37,JB875,0.0922754710108312,0.33283190854203976,0.033534235275089856,0.024377870153047584,"[0.08317215258572405, 0.06342619159104007, 0.09864881056082826, 0.2956771665251323, 0.13029303645867782, 0.06348274314891576, 0.06203329892097926, 0.02679610975312929, 0.045112822398866055, 0.05411237816501905]",10
38,JB878,0.012853055383451712,0.46645687041429074,0.006086867872413926,0.004638798960264391,"[0.035152506800096794, 0.013806847850239477, 0.02282822876042796, 0.037265869339824724, 0.015593166712161691, 0.0009982513279376908, 0.0, 0.0, 0.0028856830438287896, 0.0]",10
