,strain,ratio,before_wash,after_wash,sem,filtered_all_ratio_vals,n
0,JB1110,0.04315944513805384,0.18822720381199914,0.008123781676413255,,[0.04315944513805384],1
1,JB1117,0.09126951677413285,0.3679276986010471,0.03217762618743761,0.02038662397463464,"[0.11079780227485579, 0.07682094327313733, 0.06488607978741746, 0.086152449492604, 0.1779884792283763, 0.030971346588406133]",6
2,JB1154,0.03987895235443328,0.39893297977559855,0.015182291465604967,0.008147417166253421,"[0.06453754219181082, 0.050181417104594735, 0.029856577136341364, 0.03130714554911782, 0.05371101318289565, 0.00968001896183924]",6
3,JB1171,0.03377430930889809,0.4139851616579107,0.014002860514430662,0.007249642765815369,"[0.056510959770567505, 0.03643082589245232, 0.024131532508697727, 0.027231775325551034, 0.05008122822658678, 0.00825953412953318]",6
4,JB1174,0.03167924703235495,0.4417877987031918,0.014126824109620082,0.006795171129471107,"[0.05293627824912213, 0.03742922651734276, 0.021761323526150584, 0.02341496208320145, 0.04590423709456376, 0.00862945472374905]",6
5,JB1180,0.07709660633685096,0.4371406448032535,0.03349897169771684,0.010329763269722372,"[0.08065403487653088, 0.06978303142901612, 0.03654211434531803, 0.06899070110627138, 0.10834754901327726, 0.09826220725069214]",6
6,JB1197,0.05441278963033181,0.3506280867097005,0.018577318416485866,0.009387169068720093,"[0.06308841315681096, 0.04818646200483861, 0.026371300072268816, 0.031513021239809307, 0.08329962046216419, 0.07401792084609898]",6
7,JB1205,0.19588111149793033,0.23879298447861008,0.047969262657453125,0.04880545171282412,"[0.1537447762146297, 0.1401818485025212, 0.137509649658102, 0.11077169248672625, 0.2007515655543232, 0.43232713657127986]",6
8,JB1206,0.048146620978403436,0.342162682765394,0.015646303536873615,0.01092390733057094,"[0.07489777867312146, 0.06724844242153237, 0.03819259279443046, 0.043497306514948424, 0.06326655698570922, 0.001777048480678689]",6
9,JB1207,0.4670877324688622,0.4158718257665624,0.19055199096736306,0.04790571203084391,"[0.5469423770114503, 0.3868344481631397, 0.4371966689936789, 0.5417790095959003, 0.6007287740272227, 0.28904511702178115]",6
10,JB22,0.023748792563747793,0.4150867433542973,0.00987216064320138,0.002765949522765468,"[0.030944027415143568, 0.028946900851960253, 0.022685684299589073, 0.011972769466089776, 0.026297443087768546, 0.021645930261935543]",6
11,JB4,0.018765724910735037,0.4991532709223662,0.009421447253551346,0.0029486922292138538,"[0.028135517116935585, 0.023922915045599503, 0.01764041255151331, 0.009463818200858716, 0.021728733360127518, 0.011702953189375597]",6
12,JB50,0.029921742019292912,0.41621045593281836,0.012397026200469,0.004874693463478586,"[0.039302925775135576, 0.03478656045632456, 0.029758001913321168, 0.018879717049061263, 0.04380667744774927, 0.012996569474165626]",6
