,SPAC31G5.09c
0,SPBC428.06c
1,SPBC409.21
2,SPAC2F7.08c
3,SPAC694.03
4,SPBC21H7.03c
5,SPBC428.03c
6,SPBP4G3.02
7,SPCC1753.02c
8,SPAC1D4.13
9,SPAC11E3.09
10,SPBC1105.08
11,SPAC3G6.02
12,SPCC61.02
13,SPCC74.03c
14,SPBC713.03
15,SPAC23H3.13c
16,SPCC1919.03c
17,SPBC1289.10c
18,SPCC1494.10
19,SPAP8A3.04c
20,SPAC31G5.19
21,SPBP22H7.05c
22,SPBC1604.14c
23,SPBC119.08
24,SPAC23H4.01c
25,SPAC2G11.10c
26,SPCC548.04
27,SPAC631.01c
28,SPAC25B8.02
29,SPAC110.03
30,SPBC1D7.05
31,SPAC6B12.15
32,SPAC3H1.03
33,SPAC19B12.02c
34,SPAC27F1.02c
35,SPAC3G9.08
36,SPBC1709.11c
37,SPBC19C2.13c
38,SPCC16C4.07
39,SPCC320.07c
40,SPBC146.01
41,SPAC513.07
42,SPBC1773.04
43,SPCC338.16
44,SPAC29A4.11
45,SPBC28E12.03
46,SPBC32H8.07
47,SPAC2G11.05c
48,SPAC1250.01
49,SPCC1620.14c
50,SPBC317.01
51,SPBC106.10
52,SPAC1556.08c
53,SPAC18B11.10
54,SPAC630.14c
55,SPBC337.05c
56,SPAC6G10.02c
57,SPCC1223.06
58,SPAC140.02
59,SPAC23A1.11
60,SPBC2G2.05
61,SPBC839.13c
62,SPAC15E1.09
63,SPAC4F10.20
64,SPAC25B8.03
65,SPBC16E9.18
66,SPCC970.04c
67,SPAC1142.07c
68,SPBP4H10.04
69,SPAC23C11.15
70,SPBC12C2.10c
71,SPBC1734.16c
72,SPAC23C11.16
73,SPCC306.04c
74,SPAC57A10.05c
75,SPBC19C2.05
76,SPBC365.14c
77,SPBPB2B2.12c
78,SPCC622.14
79,SPAC1556.07
80,SPBC13G1.11
81,SPBC17G9.02c
82,SPAC12B10.11
83,SPBC1105.05
84,SPCC622.18
85,SPAC1705.03c
86,SPCC1223.12c
87,SPAC17A2.13c
88,SPAC8E11.02c
89,SPAC19G12.15c
90,SPAC3G6.09c
91,SPBC1703.10
92,SPAC32A11.01
93,SPAC2E1P5.01c
94,SPAC13G7.02c
95,SPCC1739.13
96,SPCC1739.12
97,SPCC16C4.03
98,SPCC16C4.11
99,SPAC824.05
100,SPAC1687.16c
101,SPBC27B12.03c
102,SPAC13G6.03
103,SPBC23G7.08c
104,SPAC458.05
105,SPCC757.07c
106,SPBC776.09
107,SPBC887.09c
108,SPBC30D10.17c
109,SPBC405.01
110,SPAC4A8.15c
111,SPAC9.07c
112,SPCC31H12.08c
113,SPBC3D6.12
114,SPAC1B3.05
115,SPBC2G5.05
116,SPCC13B11.01
117,SPCC1281.06c
118,SPBC1815.01
119,SPBPB21E7.01c
120,SPBC713.12
121,SPAC22E12.09c
122,SPAC3H8.06
123,SPCC4F11.02
124,SPAC890.04c
125,SPBC887.04c
126,SPAP27G11.05c
127,SPBC1685.01
128,SPAC1751.01c
129,SPAC31G5.11
130,SPAC1F5.09c
131,SPAC1039.11c
132,SPAC821.12
133,SPAC26A3.11
134,SPCC965.09
135,SPBC1683.03c
136,SPAC11H11.01
137,SPCC306.06c
138,SPCC24B10.08c
139,SPBC244.02c
140,SPBC19C2.08
141,SPCC1442.12
142,SPAC57A10.02
143,SPAC644.06c
144,SPAC2F7.16c
145,SPAC1834.07
146,SPAC22E12.19
147,SPBC800.06
148,SPBC23E6.06c
149,SPAC3G9.05
150,SPCC338.05c
151,SPAC1F5.04c
152,SPAC23C4.10
153,SPAC17A5.14
154,SPCC1739.13
155,SPAC24H6.01c
156,SPAC31A2.11c
157,SPCC584.02
158,SPBC2D10.14c
159,SPCC1919.10c
160,SPCC1259.09c
161,SPBC660.16
162,SPBC887.10
163,SPBC2G2.06c
164,SPAC22E12.11c
165,SPAC6B12.13
166,SPAC589.04
167,SPBC3D6.09
168,SPAC27D7.04
169,SPBC1198.06c
170,SPBC1198.07c
171,SPAC8C9.03
172,SPBC582.05c
173,SPAPB2B4.03
174,SPBC582.03
175,SPAC23A1.03
176,SPAC589.02c
177,SPAC23C4.19
178,SPBC3E7.01
179,SPAC23C11.14
180,SPAC19A8.10
181,SPAC343.18
182,SPBC609.05
183,SPAC23C11.13c
184,SPCC1183.05c
185,SPCC569.08c
186,SPAC1F7.05
187,SPAC19D5.04
188,SPAC26F1.06
189,SPBC215.14c
190,SPAC27E2.09
191,SPAC24B11.06c
192,SPAC1B9.02c
193,SPAC22E12.14c
194,SPBC3B9.18c
195,SPAC19D5.07
196,SPAC22H12.02
197,SPAC1834.06c
198,SPBC3B9.09
199,SPAC1D4.06c
200,SPAC637.11
201,SPBC337.14
202,SPAC16C9.07
203,SPAC2F7.03c
204,SPAC823.03
205,SPBC17F3.02
206,SPBC32H8.10
207,SPAC22A12.13
208,SPAC4H3.10c
209,SPBC16C6.09
210,SPBC2F12.14c
211,SPACUNK4.07c
212,SPAPB1A10.10c
213,SPBC405.04c
214,SPAC23A1.06c
215,SPCC1322.08
216,SPAC30C2.02
217,SPAC664.11
218,SPBC21C3.19
219,SPBC13E7.09
220,SPBC409.12c
221,SPBC337.13c
222,SPBC30B4.03c
223,SPAC23C11.05
224,SPAC1B3.07c
225,SPAC23H3.15c
226,SPBC19F5.05c
227,SPAC3A11.14c
228,SPAC664.10
229,SPBC2D10.03c
230,SPBC577.13
231,SPBC1778.02
232,SPAC17H9.09c
233,SPBC1709.11c
234,SPAC2G11.12
235,SPAC22F3.03c
236,SPAC2F7.02c
237,SPBC1271.03c
238,SPAC922.05c
239,SPBC16G5.15c
240,SPAC1071.10c
241,SPAC3G9.07c
242,SPAC24H6.05
243,SPCC330.05c
244,SPBP19A11.04c
245,SPAC17G6.12
246,SPBC16H5.09c
247,SPBC19C7.12c
248,SPCC777.07
249,SPBC19C7.12c
250,SPCC777.07
251,SPAC12G12.15
252,SPCC16C4.01
253,SPBC27B12.12c
254,SPAC11D3.13
255,SPAC1F7.06
256,SPAC5H10.02c
257,SPBC947.09
258,SPCC757.03c
259,SPBPJ4664.06
260,SPAC1687.09
261,SPBC1683.10c
262,SPCC18B5.11c
263,SPAC26A3.01
264,SPCC1795.09
265,SPAC4G9.13c
266,SPBC336.03
267,SPCC1442.01
268,SPAC222.11
269,SPBC17G9.04c
270,SPBC4F6.18c
271,SPAC6F12.06
272,SPAC1486.02c
273,SPBC428.16c
274,SPAC1093.06c
275,SPAPB24D3.09c
276,SPCC18B5.01c
277,SPBC1683.13c
278,SPCC757.04
279,SPCC777.02
280,SPAC4G8.13c
281,SPAC4F10.10c
282,SPBC409.07c
283,SPAC1006.05c
284,SPAC824.08
285,SPCC576.03c
286,SPBP8B7.25
287,SPAC8F11.06
288,SPBC32F12.11
289,SPBC354.12
290,SPAPB1E7.09
291,SPAC513.02
292,SPAC5H10.03
293,SPBC23E6.09
294,SPAC1782.01
295,SPBC337.08c
296,SPBC21.05c
297,SPAC26F1.07
298,SPBC8E4.04
299,SPCC24B10.21
300,SPBC31F10.14c
301,SPBC1711.13
302,SPBC29A3.02c
303,SPBC30B4.04c
304,SPAC17G6.08
305,SPCPB1C11.01
306,SPAC22H10.07
307,SPCC306.08c
308,SPCC1620.09c
309,SPAC26H5.08c
310,SPAC821.10c
311,SPCC1450.15
312,SPAC6F12.02
313,SPCC320.03
314,SPAC17G8.05
315,SPAC15A10.11
316,SPBC19C7.02
317,SPBC409.20c
318,SPBC3B9.04
319,SPAC25G10.03
320,SPCP31B10.03c
321,SPBP8B7.13
322,SPAC823.09c
323,SPBC146.13c
324,SPBC354.14c
325,SPBC18E5.11c
326,SPAC16A10.03c
327,SPAC823.12
328,SPAC6G10.09
329,SPAC17G8.12
330,SPAC13A11.06
331,SPAC3G9.11c
332,SPBC1A4.03c
333,SPAC31A2.05c
334,SPAC631.02
335,SPCC1450.02
336,SPCC1919.15
337,SPCC970.10c
338,SPAC1002.03c
339,SPAC2E12.02
340,SPAC8C9.14
341,SPAC24B11.12c
342,SPAC4F10.16c
343,SPBC3B8.02
344,SPAC6B12.07c
345,SPAC767.01c
346,SPAC1783.04c
347,SPBC651.05c
348,SPAC22E12.16c
349,SPBC1271.12
350,SPBC354.07c
351,SPBC646.08c
352,SPCC23B6.01c
353,SPBC646.04
354,SPAC16E8.09
355,SPBC16E9.10c
356,SPAC9E9.06c
357,SPCC285.09c
358,SPAPYUG7.03c
359,SPCC4B3.15
360,SPBC3F6.03
361,SPBC31E1.04
362,SPAC869.11
363,SPAP7G5.06
364,SPAC644.06c
365,SPAC806.07
366,SPAC2G11.06
367,SPBC1198.05
368,SPBC13A2.03
369,SPBC8D2.18c
370,SPBC1198.08
371,SPAC3H1.07
372,SPBP26C9.02c
373,SPAC19E9.03
374,SPAC23H3.07c
375,SPBP16F5.07
376,SPBC1685.14c
377,SPAC23G3.06
378,SPAC30D11.10
379,SPBC119.14
380,SPAC1782.09c
381,SPBC14F5.04c
382,SPAC1002.13c
