strain,ratio
JB1110,0.018648353908621837
JB1117,0.8754471749217343
JB1154,0.07320530919662108
JB1171,0.016960540090509273
JB1174,0.015454096426341228
JB1180,0.07184177153978799
JB1197,0.01844274575772982
JB1205,0.012158993179099388
JB1206,0.011528137611044646
JB1207,0.0
JB22,0.05903908636714893
JB4,0.1118629062290514
JB758,0.04110716852437618
JB760,0.03504955413589987
JB762,0.04982595328433341
JB837,0.03368348633334843
JB838,0.1071967223252607
JB840,0.03976352486437859
JB841,0.06237740566434754
JB842,0.11665491123316474
JB845,0.03755536021996895
JB846,0.032686099767837276
JB848,0.09899216468448352
JB852,0.08480209095453986
JB853,0.040506532131419776
JB854,0.02848765954470811
JB858,0.07716033306005206
JB862,0.016164827220069063
JB864,0.053502180421374584
JB869,0.16208948728390707
JB870,0.022216220576341504
JB872,0.2481741645401796
JB873,0.01967179332779648
JB874,0.21617482430674195
JB875,0.13565149851898717
JB878,0.012833831828710422
JB879,0.01909230216396391
JB884,0.014281348256189035
JB899,0.028692079812531576
JB900,0.021728043161714033
JB902,0.021607651363907698
JB910,0.09551575536757076
JB913,0.024107133700212734
JB914,1.0
JB916,0.09955988222567518
JB917,0.0658281068212942
JB918,0.0233752801716455
JB929,0.021320306852720457
JB930,0.015122310802619863
JB931,0.010488357451533425
JB934,0.19105948050992677
JB938,0.05720511791765519
JB939,0.03204603335093185
JB942,0.023738199361037687
JB943,0.017904503826328168
JB953,0.30446212464862055
R1_4,0.8624162132978347
