strain,ratio,before_wash,sem,ratio_mimi,ratio_cris
JB1110,0.07176054639723085,0.17709706832059913,0.012782882992627302,0.014690984078932039,0.018648353908621837
JB1117,0.6235604067774297,0.40262722057954525,0.07601137929562016,0.7019604819952996,0.8754471749217343
JB1154,0.10056679196473439,0.3691353046041112,0.05080499326932141,0.05851291192313122,0.07320530919662108
JB1171,0.1094368967987673,0.3630926809850848,0.05861101103888599,0.019208438458442813,0.016960540090509273
JB1174,0.0987189139417823,0.38107514033908446,0.04427845031701706,0.020558333901276676,0.015454096426341228
JB1180,0.17165775691420354,0.45621513082346005,0.037196037141707876,0.0685115170036045,0.07184177153978799
JB1197,0.09226229445892824,0.26048029084989416,0.016175292466431613,0.013976254340432037,0.01844274575772982
JB1205,0.053887912930290584,0.37181196794423815,0.013733154019101915,0.012482447327724137,0.012158993179099388
JB1206,0.029799290497439665,0.3747750667659865,0.009012273810146765,0.025556400277733815,0.011528137611044646
JB1207,0.03225935333729373,0.36909435230407356,0.012000707067455147,0.0,0.0
JB22,0.05873328358286352,0.34866699593862316,0.01654741200987845,0.05458507793309596,0.05903908636714893
JB4,0.13343881834814286,0.4572367408024977,0.02297289454923625,0.05377274827856489,0.1118629062290514
JB758,0.050197143972605156,0.44602372148958236,0.006525942662917759,0.03857363492922992,0.04110716852437618
JB760,0.02519452576750904,0.2952336783012392,0.009515124119791447,0.044803892272982884,0.03504955413589987
JB762,0.0386042809708738,0.35498051254215324,0.015895869366462187,0.04714335822914522,0.04982595328433341
JB837,0.04646681885550799,0.42944422721627284,0.014226381507494341,0.039693394445036355,0.03368348633334843
JB838,0.13357437716823164,0.34611419323288484,0.016475131363405584,0.113610636780523,0.1071967223252607
JB840,0.04670932717239917,0.4190491481838545,0.01470998410721742,0.042743270179891074,0.03976352486437859
JB841,0.08394694348069165,0.4458956163191695,0.006770853081200132,0.06957562542979537,0.06237740566434754
JB842,0.12374431175748056,0.45970923354724336,0.02154182238079971,0.17063966408268577,0.11665491123316474
JB845,0.04486113480681686,0.4068883588193556,0.010948389162554462,0.02979634232114399,0.03755536021996895
JB846,0.04600299709067275,0.4022742266583153,0.016877021180674846,0.03428175954196847,0.032686099767837276
JB848,0.3226447275266355,0.4157536934270701,0.09504606484660885,0.04355593484426689,0.09899216468448352
JB852,0.1295670162634482,0.39303507224742923,0.0702258103459944,0.07457862180017805,0.08480209095453986
JB853,0.07743013472731618,0.4122822283074256,0.00998225739414013,0.08485742365300483,0.040506532131419776
JB854,0.04718144186206312,0.3990288732639991,0.008558017436594895,0.024299577785206833,0.02848765954470811
JB858,0.14749239918442997,0.3443037217248905,0.02949772534513599,0.09520966178057239,0.07716033306005206
JB862,0.020448574882635375,0.3638529749797534,0.007686977039093744,0.01942029522956248,0.016164827220069063
JB864,0.16890235083987634,0.22084524118550936,0.02641020617074274,0.07872899827088103,0.053502180421374584
JB869,0.22406017223594213,0.3678612718437373,0.023086729415861585,0.15942942505260718,0.16208948728390707
JB870,0.12974644075945507,0.4182972133519057,0.06202931803437953,0.022134338299959526,0.022216220576341504
JB872,0.4369132801872926,0.4401732445384461,0.11048580536172038,0.18764418073822262,0.2481741645401796
JB873,0.03701988430940873,0.40809536924589424,0.01662774246356304,0.02736784397435043,0.01967179332779648
JB874,0.10035221183650365,0.45007232498876026,0.05536969272065645,0.42094650510831955,0.21617482430674195
JB875,0.10820822116439674,0.31843316889843515,0.02553194175429258,0.06590077701094874,0.13565149851898717
JB878,0.01854507293940646,0.4381689799450426,0.006289582896628827,0.016613917987194946,0.012833831828710422
JB879,0.026602333503663467,0.39490069369294073,0.008426073692349483,0.029157498222425495,0.01909230216396391
JB884,0.036084008304905386,0.4093494212305926,0.007216555189460128,0.02255161024882494,0.014281348256189035
JB899,0.11693412086314173,0.37536252769214185,0.06857155729298774,0.03127033667067186,0.028692079812531576
JB900,0.13223159983945396,0.3690220178252844,0.07499768122833333,0.028668483689128787,0.021728043161714033
JB902,0.09548177544386997,0.3418772937765217,0.04750822915055411,0.034298208039436805,0.021607651363907698
JB910,0.2720024102704387,0.29760843968838846,0.09283112587688848,0.08858285089338638,0.09551575536757076
JB913,0.07601989051147694,0.38603401467159304,0.021274180246504765,0.04978571980726035,0.024107133700212734
JB914,0.9691547635738034,0.3752166620985586,0.012741238459437147,0.7790187264528652,1.0
JB917,0.06936988285915327,0.43972652437266935,0.02649045491886835,0.04267466797647652,0.0658281068212942
JB918,0.02844862735186871,0.46516734594583037,0.007457202739631719,0.018108790448817292,0.0233752801716455
JB929,0.05241736540659887,0.39924646474822223,0.011583803780197794,0.024295183728061956,0.021320306852720457
JB930,0.06139705865642489,0.3909798165951528,0.029771944034941933,0.023858595772475514,0.015122310802619863
JB931,0.0782239274970949,0.4387170898574691,0.04716798019000798,0.012661425374781734,0.010488357451533425
JB934,0.3567625915855684,0.3533117917966175,0.10221629957520423,0.11597655266854417,0.19105948050992677
JB938,0.19029149479406254,0.4014322767931049,0.05620657711481651,0.03854342029839765,0.05720511791765519
JB939,0.165279438237261,0.4087766274437293,0.0712364675435723,0.05025021378175976,0.03204603335093185
JB942,0.05417635849630903,0.3573119767076943,0.012781389162478148,0.038764205748577245,0.023738199361037687
JB943,0.035459134069554255,0.4190791641387444,0.008815261413140912,0.01604357216571229,0.017904503826328168
JB953,0.26886816417066495,0.4176519854198366,0.05602395528727553,0.3327749883761635,0.30446212464862055
