strain,ratio
JB1110,0.014690984078932039
JB1117,0.7019604819952996
JB1154,0.05851291192313122
JB1171,0.019208438458442813
JB1174,0.020558333901276676
JB1180,0.0685115170036045
JB1197,0.013976254340432037
JB1205,0.012482447327724137
JB1206,0.025556400277733815
JB1207,0.0
JB22,0.05458507793309596
JB4,0.05377274827856489
JB758,0.03857363492922992
JB760,0.044803892272982884
JB762,0.04714335822914522
JB837,0.039693394445036355
JB838,0.113610636780523
JB840,0.042743270179891074
JB841,0.06957562542979537
JB842,0.17063966408268577
JB845,0.02979634232114399
JB846,0.03428175954196847
JB848,0.04355593484426689
JB852,0.07457862180017805
JB853,0.08485742365300483
JB854,0.024299577785206833
JB858,0.09520966178057239
JB862,0.01942029522956248
JB864,0.07872899827088103
JB869,0.15942942505260718
JB870,0.022134338299959526
JB872,0.18764418073822262
JB873,0.02736784397435043
JB874,0.42094650510831955
JB875,0.06590077701094874
JB878,0.016613917987194946
JB879,0.029157498222425495
JB884,0.02255161024882494
JB899,0.03127033667067186
JB900,0.028668483689128787
JB902,0.034298208039436805
JB910,0.08858285089338638
JB913,0.04978571980726035
JB914,0.7790187264528652
JB917,0.04267466797647652
JB918,0.018108790448817292
JB929,0.024295183728061956
JB930,0.023858595772475514
JB931,0.012661425374781734
JB934,0.11597655266854417
JB938,0.03854342029839765
JB939,0.05025021378175976
JB942,0.038764205748577245
JB943,0.01604357216571229
JB953,0.3327749883761635
R1_4,0.9735722074051347
