strain,ratio
X968,0.03828761604709055
Y0036,0.04415980704507217
R1_1,0.04425325007065402
R1_2,0.03484854721828773
R1_3,0.033113698600583545
R1_4,0.06625361147975539
R1_5,0.027489104558887686
R1_6,0.026693819737777943
R1_7,0.07547838925733166
R1_8,0.045066814554594076
R1_9,0.031769133917645416
R1_10,0.02760257577812556
R1_11,0.014829983303463263
R1_12,0.06268107174376106
R1_13,0.0439756062224885
R1_14,0.03635812909736008
R1_15,0.0220151878119781
R1_16,0.04726134150763076
R1_17,0.01805692581807433
R1_18,0.018401014100343026
R1_19,0.06647475928916849
R1_20,0.058653744399202505
R1_21,0.03521439871409961
R1_22,0.026204829693422686
R1_23,0.015754848535181866
R1_24,0.017952804246627718
R1_25,0.04984568887425132
R1_26,0.026617103033301857
R1_27,0.0200931103363071
R1_28,0.018155994328823283
R1_29,0.014031071508546898
R1_30,0.018226645515323985
R1_31,0.047743604973471354
R1_32,0.03261878664140318
R1_33,0.03063236379395552
R1_34,0.02105590725714999
R1_35,0.01742800964417105
R1_36,0.02224519337765064
R1_37,0.029953010496173608
R1_38,0.044034238432395734
R1_39,0.0369342640487453
R1_40,0.005648770860576924
R1_41,0.011987929216315953
R1_42,0.00859199061368727
R1_43,0.03644647223863737
R1_44,0.023840246630276795
R1_45,0.04313993688525984
R1_46,0.00464583714602333
R1_47,0.005768517258132275
R1_48,0.014036406365346032
R1_49,0.07060068450254581
R1_50,0.029141004972574422
R1_51,0.041676105749427095
R1_52,0.028788188722703528
R1_53,0.009557451627744159
R1_54,0.024252958578538937
ø,1.0
