strain,ratio
JB1117,0.12946281222064163
JB1154,0.06458952607008638
JB1171,0.05372469030699791
JB1174,0.06007699145033017
JB1180,0.09495918311121129
JB1197,0.08891078873484781
JB1205,0.22013581466920443
JB1206,0.07940323538032598
JB1207,0.5363153090772445
JB22,0.030654387798350936
JB4,0.027015541965077428
JB50,0.06455777966755077
JB758,0.04100562011289578
JB759,0.17788364424601216
JB760,0.05819854175105784
JB762,0.04881986636764228
JB837,0.062109253754987506
JB838,0.16063077785261565
JB840,0.03303824894188486
JB841,0.12789465779496617
JB842,0.16149790973228745
JB845,0.01951404443011484
JB846,0.025952247555108214
JB848,0.03632907774065545
JB852,0.052178641836294726
JB853,0.08985886515008219
JB854,0.04511522483543481
JB858,0.08478453988683834
JB862,0.027008647043732282
JB864,0.09397141759012081
JB869,0.020553881851446333
JB870,0.05116193577213192
JB872,0.026536973308733874
JB873,0.032440601624177556
JB874,0.05628932922164396
JB875,0.013423363192294225
JB878,0.01907002801428724
JB879,0.012942770578126563
JB884,0.008718929590427154
JB899,0.00951446979659064
JB900,0.005736254499642339
JB902,0.024823859054890846
JB910,0.11283776462855517
JB913,0.5704170859035094
JB914,0.9304525784686086
JB916,0.01395276983418885
JB917,0.012812644802549514
JB918,0.01287740330404225
JB929,0.03571177570938882
JB930,0.019373771021270803
JB931,0.006189815268777143
JB934,0.0097907408246526
JB938,0.020899921569224197
JB939,0.024402172612103885
JB942,0.03408899446218515
JB943,0.08165504987803787
JB953,0.4182650730524678
