,Strain,Mean,SEM
0,JB1110,0.42307641208687924,0.07461463998126845
1,JB1117,0.6619951669375117,0.008777592565049317
2,JB1154,0.427692335725058,0.07823630048237025
3,JB1171,0.33738829138327026,0.07438291290756996
4,JB1174,0.39891413264027425,0.03785763877334762
5,JB1180,0.454082145986763,0.07537529931326133
6,JB1197,0.36952058489401735,0.047364243920713464
7,JB1205,0.5223839748228264,0.11962121705331338
8,JB1206,0.373137251043522,0.043827838374453656
9,JB1207,0.5097284120625187,0.03881397508475159
10,JB22,0.35559997210721844,0.06893519853847799
11,JB4,0.42986292870951975,0.0455326249809128
12,JB50,0.3986625180344091,0.023987299922971793
13,JB758,0.3539771676331887,0.044887738270517355
14,JB759,0.44783319927533344,0.023440929686954534
15,JB760,0.3395037096136953,0.03829937861956777
16,JB762,0.31862471793153807,0.046751262205684985
17,JB837,0.45381219526265776,0.07143668462696758
18,JB838,0.65855217721447,0.09527573366058131
19,JB840,0.3253785161694526,0.021281394708288683
20,JB842,0.3435712511484472,0.08092855070657574
21,JB845,0.3183134647168471,0.07711000901184045
22,JB846,0.29825544805385745,0.06822235786189895
23,JB848,0.3193582112422057,0.07286114279195571
24,JB852,0.26928904770894874,0.057964254809162126
25,JB853,0.49400625220361377,0.027345628269893427
26,JB854,0.36116389187624304,0.052636764971552556
27,JB858,0.4413708975757748,0.07184881531889512
28,JB862,0.31788645822270584,0.04243992722687661
29,JB864,0.3506408335839161,0.08017890126165389
30,JB869,0.7448913791909338,0.03166001995638511
31,JB870,0.28309471034944095,0.046851622823274534
32,JB871,0.33893313635923533,0.07848388615863751
33,JB872,0.23249850589227558,0.05063475966911437
34,JB873,0.23233791998622774,0.05534078465114913
35,JB874,0.3198446953365394,0.024502473808103983
36,JB875,0.2656887392935573,0.03288815946002163
37,JB878,0.25759558934767496,0.023611530237712935
38,JB879,0.25956601529870943,0.01821055681711356
39,JB884,0.39850767902926604,0.05954338438569838
40,JB899,0.32107277358781666,0.04902286412523513
41,JB900,0.2418144226363054,0.06223954728062645
42,JB902,0.21079930943121472,0.0574333728449555
43,JB910,0.30421458848124056,0.056120850650982254
44,JB913,0.38472408669084857,0.03507744960085163
45,JB914,0.7811326435302186,0.06391089387936358
46,JB916,0.3222287103193497,0.035330195256827665
47,JB917,0.25999168463320094,0.03080561806297099
48,JB918,0.2129358500720285,0.01852802501044046
49,JB929,0.5340931438333697,0.12040387685534534
50,JB930,0.27195549666484425,0.07381554407493668
51,JB931,0.23469974902035362,0.022632880296204774
52,JB934,0.3370947016236215,0.08491621356873956
53,JB938,0.18911923500298666,0.027889543758419302
54,JB939,0.1825811969389893,0.030113061765799632
55,JB942,0.16676586848531025,0.014069026939580948
56,JB943,0.20170053575664135,0.012029405054218555
57,JB953,0.5401048522457362,0.09603471413609661
