# Supplementary Dataset S2: Tab delimited file containing the containing the growth traits extracted from the high resolution growth curves
# 
# This data allow replication of the published results and the 
# development of new analysis methods. If you intend to perform
# and/or publish new analyses, do not hesitate to contact us for 
# any question.
#
# The file is tab-delimited.
# First field is the strain id. Note that they were mutilple biological
#  replicate of the growth phenotyping
# 
# next fields are the values of the growth parameter extracted from 
# the high resolution growth curves:
#  - growth efficiency
#  - maximum specific growth rate
#  - lag time
#  - area under the growth curve
#
#
strain	efficiency	muMax	lag_time	area
978	3.674573342	0.42163	2.16	32143.098
978	5.057061016	0.4807	2.92	35290.38
978	7.47	0.44184	4.7	29586.266
978	7.745	0.48965	4.27	28783.307
978	8.32	0.49489	3.56	33313.801
Y0036	4.150652066	0.45669	2.4	32038.287
Y0036	5.705148823	0.53929	3.89	32643.103
Y0036	6.03	0.43642	4.02	43548.089
Y0036	5.88	0.53987	5.59	27721.829
Y0036	6.44	0.65909	8.25	26549.067
R1_1	0.195494316	0.10372	7.53	8587.8
R1_1	0.27632506	0.16333	11.18	8555.285
R1_10	1.323260708	0.2704	5	10877.591
R1_10	1.678712747	0.32229	6.12	11127.479
R1_11	1.541761921	0.29775	3.72	11677.436
R1_11	1.371125689	0.29134	3.84	12046.401
R1_12	2.283979163	0.52352	7.67	13881.107
R1_12	2.254758214	0.48741	7.34	13978.68
R1_13	2.274154118	0.32092	4.81	14291.492
R1_13	2.209900566	0.30544	4.21	14796.674
R1_14	2.654270975	0.40276	6.15	11336.856
R1_14	2.597263221	0.39591	6.08	11489.543
R1_15	1.929051417	0.36959	6.04	12763.522
R1_15	1.591393518	0.32359	5.67	12981.024
R1_16	4.386821645	0.47706	3.65	23068.531
R1_16	4.632842953	0.46568	3.35	24453.106
R1_17	4.700186541	0.48542	2.9	24083.536
R1_17	5.01938504	0.47008	2.42	26252.475
R1_18	2.735678543	0.35823	10.55	16558.92
R1_18	2.688085182	0.32531	10.6	16178.43
R1_19	1.620793321	0.31108	8.66	69286.192
R1_19	1.450470315	0.30924	9	66775.449
R1_2	1.920496672	0.41935	3.42	23799.243
R1_2	1.730357384	0.41457	3.07	24176.544
R1_20	2.647972216	0.42567	5.98	81717.221
R1_20	2.500027511	0.419	6.74	76864.187
R1_21	2.465748876	0.48281	3.56	77317.998
R1_21	2.200679104	0.42747	5.01	72828.567
R1_22	1.587254897	0.41041	4.73	97910.412
R1_22	1.584876346	0.41162	4.23	101369.107
R1_23	1.905062067	0.35371	7.9	11029.595
R1_23	2.002227874	0.37578	7.58	11226.601
R1_24	0.925424122	0.45407	9.24	11023.32
R1_24	1.195065174	0.46436	10.33	11088.42
R1_25	1.78790789	0.35365	7.56	11737.303
R1_25	1.69407841	0.34999	7.73	12009.457
R1_26	2.128193065	0.39396	5.18	13662.506
R1_26	2.037326433	0.37688	4.9	14332.735
R1_27	1.920864106	0.31073	5.94	11197.126
R1_27	1.757356779	0.27616	5.83	11013.43
R1_28	2.081743577	0.30712	5.2	12709.714
R1_28	2.035146	0.30528	5.47	12358.66
R1_29	3.070535236	0.43649	4.12	10594.746
R1_29	2.819769059	0.40693	4.25	10821.458
R1_3	1.581262329	0.5727	2.03	30300.843
R1_3	1.788802479	0.59607	2	31398.106
R1_30	2.88621638	0.40562	5.36	13680.446
R1_30	2.908508291	0.40214	5.08	13783.011
R1_31	1.937239326	0.45797	6.87	12774.194
R1_31	1.843775711	0.43185	6.71	13018.257
R1_32	1.85514061	0.4449	4.66	13543.861
R1_32	1.772221738	0.4277	4.31	13624.108
R1_33	1.986334026	0.42423	9.12	10827.356
R1_33	1.783422687	0.44053	9.31	10715.775
