Systematic ID	Gene name	Product description
SPBC21D10.06c	map4	cell surface adhesion protein for conjugation Map4
SPCC1742.01	gsf2	cell surface glycoprotein, galactose-specific flocculin Gsf2
SPBC1289.10c	adn2	DNA-binding transcription factor Adn2
SPCC1494.10	adn3	DNA-binding transcription factor Adn3
SPCC736.08	cbf11	DNA-binding transcription factor, CBF1/Su(H)/LAG-1 family Cbf11
SPCC1223.13	cbf12	DNA-binding transcription factor, CBF1/Su(H)/LAG-1 family Cbf12
SPBC317.01	mbx2	DNA-binding transcription factor, MADS-box Pvg4
SPAC1006.05c	och1	Golgi alpha-1,6-mannosyltransferase Och1
SPCC1795.03	gms1	Golgi UDP-galactose transmembrane transporter Gms1
SPBC30B4.03c	ldb1	LIM domain binding protein, transcription coregulator
SPAC8C9.06c	ppr4	mitochondrial Cox1 translation regulator Ppr4
SPBC106.19	ppr10	mitochondrial PPR repeat protein Ppr10
SPBC19G7.07c	ppr3	mitochondrial PPR repeat protein Ppr3
SPCC11E10.04	ppr6	mitochondrial PPR repeat protein Ppr6
SPBC646.12c	gap1	Ras GAP Gap1
SPAC1296.03c	sxa2	serine carboxypeptidase Sxa2
SPAC823.05c	tlg2	SNARE Tlg2
SPAC2F7.08c	snf5	SWI/SNF complex subunit Snf5
