Systematic ID	Gene name	Product description
SPBC19C7.03	cyr1	adenylate cyclase
SPBC106.10	pka1	cAMP-dependent protein kinase catalytic subunit Pka1
SPCC1742.01	gsf2	cell surface glycoprotein, galactose-specific flocculin Gsf2
SPBC12C2.10c	pst1	Clr6 histone deacetylase complex subunit Pst1
SPBC83.18c	fic1	contractile ring-membrane anchor Fic1
SPBC1289.10c	adn2	DNA-binding transcription factor Adn2
SPCC1494.10	adn3	DNA-binding transcription factor Adn3
SPBC317.01	mbx2	DNA-binding transcription factor, MADS-box Pvg4
SPBC15D4.02	gsf1	DNA-binding transcription factor, zf-fungal binuclear cluster type Gsf1
SPAC1D4.11c	lkh1	dual specificity protein kinase Lkh1
SPAC9E9.14	vps24	ESCRT III complex subunit Vps24
SPBC11C11.02	imp2	F-BAR domain protein Imp2
SPCC895.05	for3	formin For3
SPCC1753.02c	git3	G-protein coupled receptor Git3
SPAC23H3.13c	gpa2	heterotrimeric G protein alpha-2 subunit Gpa2
SPBC32H8.07	git5	heterotrimeric G protein beta (WD repeat) subunit Git5
SPBC215.04	git11	heterotrimeric G protein gamma subunit Git11
SPBC30B4.03c	ldb1	LIM domain binding protein, transcription coregulator
SPAC8C9.06c	ppr4	mitochondrial Cox1 translation regulator Ppr4
SPBC106.19	ppr10	mitochondrial PPR repeat protein Ppr10
SPBC19G7.07c	ppr3	mitochondrial PPR repeat protein Ppr3
SPCC11E10.04	ppr6	mitochondrial PPR repeat protein Ppr6
SPAC4F10.11	spn1	mitotic septin Spn1
SPBC19C7.02	ubr1	N-end-recognizing protein, UBR ubiquitin-protein ligase E3 Ubr1
SPAC9G1.06c	cyk3	Nebulin-family actin filament anchoring protein Cyk3
SPBC11B10.07c	ivn1	plasma membrane phospholipid-translocating ATPase complex Lem3 family subunit Ivn1
SPBC21.05c	ral2	Ras1-Scd pathway protein Ral2
SPCC126.04c	sgf73	SAGA complex deubiquitinating submodule subunit Sgf73
SPAC3H8.10	spo20	sec14 cytosolic factor family, phospholipid-intermembrane transfer protein Spo20/Sec14
SPBC21.06c	cdc7	serine/threonine protein kinase SIN pathway Cdc7
SPAC823.05c	tlg2	SNARE Tlg2
SPAC23D3.09	arp42	SWI/SNF and RSC complex subunit Arp42
SPAC2F7.08c	snf5	SWI/SNF complex subunit Snf5
SPAC18B11.10	tup11	transcriptional corepressor Tup11
SPAC630.14c	tup12	transcriptional corepressor Tup12
