Systematic ID	Gene name	Product description
SPBC19C7.03	cyr1	adenylate cyclase
SPBC106.10	pka1	cAMP-dependent protein kinase catalytic subunit Pka1
SPCC1742.01	gsf2	"cell surface glycoprotein, galactose-specific flocculin Gsf2"
SPBC12C2.10c	pst1	Clr6 histone deacetylase complex subunit Pst1
SPBC83.18c	fic1	contractile ring-membrane anchor Fic1
SPBC1289.10c	adn2	DNA-binding transcription factor Adn2
SPCC1494.10	adn3	DNA-binding transcription factor Adn3
SPBC317.01	mbx2	"DNA-binding transcription factor, MADS-box Pvg4"
SPBC15D4.02	gsf1	"DNA-binding transcription factor, zf-fungal binuclear cluster type Gsf1"
SPAC1D4.11c	lkh1	dual specificity protein kinase Lkh1
SPAC9E9.14	vps24	ESCRT III complex subunit Vps24
SPBC11C11.02	imp2	F-BAR domain protein Imp2
SPCC895.05	for3	formin For3
SPCC1753.02c	git3	G-protein coupled receptor Git3
SPAC23H3.13c	gpa2	heterotrimeric G protein alpha-2 subunit Gpa2
SPBC32H8.07	git5	heterotrimeric G protein beta (WD repeat) subunit Git5
SPBC215.04	git11	heterotrimeric G protein gamma subunit Git11
SPBC30B4.03c	ldb1	"LIM domain binding protein, transcription coregulator"
SPAC8C9.06c	ppr4	mitochondrial Cox1 translation regulator Ppr4
SPBC106.19	ppr10	mitochondrial PPR repeat protein Ppr10
SPBC19G7.07c	ppr3	mitochondrial PPR repeat protein Ppr3
SPCC11E10.04	ppr6	mitochondrial PPR repeat protein Ppr6
SPAC4F10.11	spn1	mitotic septin Spn1
SPBC19C7.02	ubr1	"N-end-recognizing protein, UBR ubiquitin-protein ligase E3 Ubr1"
SPAC9G1.06c	cyk3	Nebulin-family actin filament anchoring protein Cyk3
SPBC11B10.07c	ivn1	plasma membrane phospholipid-translocating ATPase complex Lem3 family subunit Ivn1
SPBC21.05c	ral2	Ras1-Scd pathway protein Ral2
SPCC126.04c	sgf73	SAGA complex deubiquitinating submodule subunit Sgf73
SPAC3H8.10	spo20	"sec14 cytosolic factor family, phospholipid-intermembrane transfer protein Spo20/Sec14"
SPBC21.06c	cdc7	serine/threonine protein kinase SIN pathway Cdc7
SPAC823.05c	tlg2	SNARE Tlg2
SPAC23D3.09	arp42	SWI/SNF and RSC complex subunit Arp42
SPAC2F7.08c	snf5	SWI/SNF complex subunit Snf5
SPAC18B11.10	tup11	transcriptional corepressor Tup11
SPAC630.14c	tup12	transcriptional corepressor Tup12
SPAPB15E9.01c	pfl2	"cell surface glycoprotein, flocculin Pfl2"
SPBC947.04	pfl3	"cell surface glycoprotein, flocculin Pfl3, DIPSY family"
SPCC188.09c	pfl4	"cell surface glycoprotein, flocculin Pfl4"
SPBC1289.15	pfl5	"cell surface glycoprotein, flocculin Pfl5"
SPAC977.07c	pfl6	"cell surface glycoprotein, flocculin Pfl6"
SPBC359.04c	pfl7	"cell surface glycoprotein, flocculin Pfl7, DIPSY family"
SPAC1F8.06	pfl8	"cell surface glycoprotein, flocculin Pfl8"
SPAC186.01	pfl9	"cell surface glycoprotein, flocculin Pfl9, DIPSY family"
SPCC1742.01	gsf2	"cell surface glycoprotein, galactose-specific flocculin Gsf2"
SPBC29A10.08	gas2	"cell wall 1,3-beta-glucanosyltransferase Gas2"
SPAC1002.13c	psu1	cell wall beta-glucosidase Psu1
SPAC1F8.02c	shu1	cell-surface heme acquisition protein Shu1
SPBC1289.10c	adn2	DNA-binding transcription factor Adn2
SPCC1494.10	adn3	DNA-binding transcription factor Adn3
SPAC6F12.02	rst2	DNA-binding transcription factor Rst2
SPCC736.08	cbf11	"DNA-binding transcription factor, CBF1/Su(H)/LAG-1 family Cbf11"
SPCC1223.13	cbf12	"DNA-binding transcription factor, CBF1/Su(H)/LAG-1 family Cbf12"
SPBC317.01	mbx2	"DNA-binding transcription factor, MADS-box Pvg4"
SPBC354.05c	sre2	"DNA-binding transcription factor, membrane-tethered Sre2"
SPBC15D4.02	gsf1	"DNA-binding transcription factor, zf-fungal binuclear cluster type Gsf1"
SPAC1D4.11c	lkh1	dual specificity protein kinase Lkh1
SPAC4H3.03c		"glucan 1,4-alpha-glucosidase"
SPBC646.06c	agn2	"glucan endo-1,3-alpha-glucosidase Agn2"
SPBC1734.04	anp1	Golgi mannan polymerase I complex subunit Anp1
SPAC4F10.10c	mnn9	Golgi mannan polymerase I complex subunit Mnn9
SPCC1795.03	gms1	Golgi UDP-galactose transmembrane transporter Gms1
SPBC21B10.13c	yox1	MBF complex corepressor Yox1
SPAC688.08	srb8	mediator complex subunit Med12
SPAC589.02c	med13	mediator complex subunit Med13
SPAC23H4.17c	srb10	"mediator complex, cyclin-dependent protein kinase subunit Srb10"
SPBC4F6.06	kin1	microtubule affinity-regulating kinase Kin1
SPAC8C9.06c	ppr4	mitochondrial Cox1 translation regulator Ppr4
SPBC106.19	ppr10	mitochondrial PPR repeat protein Ppr10
SPBC19G7.07c	ppr3	mitochondrial PPR repeat protein Ppr3
SPCC11E10.04	ppr6	mitochondrial PPR repeat protein Ppr6
SPAC5D6.12	mtf2	mitochondrial translation protein Mtf2
SPAPB1E7.11c	mpa1	"mitochondrial translational activator, Mpa1"
SPBC947.05c	frp2	plasma membrane ferric-chelate reductase Frp2
SPAC1F7.07c	fip1	plasma membrane iron transmembrane transporter Fip1
SPAC1F7.08	fio1	plasma membrane iron transport multicopper oxidase Fio1
SPBC4F6.09	str1	plasma membrane siderophore-iron transmembrane transporter Str1
SPAC9E9.11	plr1	pyridoxal reductase Plr1
SPAC24B11.11c	sid2	serine/threonine protein kinase (NDR family) Sid2
SPCC188.02	par1	serine/threonine protein phosphatase PP2A regulatory subunit B-56 Par1
SPAC18B11.10	tup11	transcriptional corepressor Tup11
SPAC630.14c	tup12	transcriptional corepressor Tup12
SPBC1718.07c	zfs1	"zf-CCCH tandem zinc finger protein, human Tristetraprolin homolog Zfs1, involved in mRNA catabolism"
SPBC21D10.06c	map4	cell surface adhesion protein for conjugation Map4
SPCC1742.01	gsf2	"cell surface glycoprotein, galactose-specific flocculin Gsf2"
SPBC1289.10c	adn2	DNA-binding transcription factor Adn2
SPCC1494.10	adn3	DNA-binding transcription factor Adn3
SPCC736.08	cbf11	"DNA-binding transcription factor, CBF1/Su(H)/LAG-1 family Cbf11"
SPCC1223.13	cbf12	"DNA-binding transcription factor, CBF1/Su(H)/LAG-1 family Cbf12"
SPBC317.01	mbx2	"DNA-binding transcription factor, MADS-box Pvg4"
SPAC1006.05c	och1	"Golgi alpha-1,6-mannosyltransferase Och1"
SPCC1795.03	gms1	Golgi UDP-galactose transmembrane transporter Gms1
SPBC30B4.03c	ldb1	"LIM domain binding protein, transcription coregulator"
SPAC8C9.06c	ppr4	mitochondrial Cox1 translation regulator Ppr4
SPBC106.19	ppr10	mitochondrial PPR repeat protein Ppr10
SPBC19G7.07c	ppr3	mitochondrial PPR repeat protein Ppr3
SPCC11E10.04	ppr6	mitochondrial PPR repeat protein Ppr6
SPBC646.12c	gap1	Ras GAP Gap1
SPAC1296.03c	sxa2	serine carboxypeptidase Sxa2
SPAC823.05c	tlg2	SNARE Tlg2
SPAC2F7.08c	snf5	SWI/SNF complex subunit Snf5
