Probe_Set_ID	Gene_Symbol	Gene_name_1	Gene_name_2	Description	S_cerev_homol	log2_ratio_cdk8mut	log2_ratio_Æmed12	log2_ratio_Æmed15	log2_ratio_med17Æ50	log2_ratio_Æmed18	log2_ratio_Æmed20
1771336_at	SPAC1002.01	SPAC1002.01	SPAC1610.05	conserved fungal protein	YPL041C	-1.1	0.533333333	1.077777778	-0.4	-0.466666667	0.166666667
1774931_at	SPAC1002.02	SPAC1002.02		nucleoporin	YLR018C	-0.611111111	-0.2	0.1	-0.3	-0.044444444	0
1779778_at	SPAC1002.03c	gls2		glucosidase II Gls2	YBR229C	0	-0.055555556	0.077777778	0.225	0.022222222	0
1775356_at	SPAC1002.04c	taf11		transcription factor TFIID complex subunit Taf11	YML015C	0	0	0.577777778	0.25	0.555555556	0
1771437_at	SPAC1002.05c	jmj2		zinc finger protein	YJR119C	0	-0.222222222	0.322222222	0.55	0.144444444	0
1778712_at	SPAC1002.06c	bqt2	mug18	meiotically upregulated gene Mug18	NONE	0	0	0	0	0	0
1769465_at	SPAC1002.07c	ats1		N-acetyltransferase Ats1	NONE	0.522222222	0.133333333	0.811111111	1.1	1.144444444	0.855555556
1771727_at	SPAC1002.08c	mtf1		RNA polymerase specificity factor	YMR228W	0.311111111	0.355555556	0.033333333	0	0.211111111	0.122222222
1776438_at	SPAC1002.09c	dld1	dldh	dihydrolipoamide dehydrogenase Dld1	YFL018C	0	0	0	0	0	0
1774589_at	SPAC1002.10c	sgt1		SGT1 protein family protein	NONE	0	-0.655555556	0.2	0.575	0.877777778	0.355555556
1774555_at	SPAC1002.11	gaa1		GPI-anchor transamidase complex subunit Gaa1	YLR088W	0.044444444	0	0.222222222	0	0	0
1779208_at	SPAC1002.12c	SPAC1002.12c		succinate-semialdehyde dehydrogenase	YBR006W	0.122222222	0	1.344444444	0.45	0.277777778	0
1776559_at	SPAC1002.13c	psu1		beta-glucosidase Psu1	YIL123W|YJL116C|YKR042W|YNL066W	-0.366666667	0	-0.588888889	-0.15	-0.144444444	0.088888889
1771899_at	SPAC1002.14	itt1		zinc finger protein	YML068W	0	-0.055555556	0.088888889	0.35	0	-0.066666667
1776622_at	SPAC1002.15c	pmc5	med6	mediator complex subunit Pmc5	YHR058C	0	0	0	-0.55	-0.522222222	0
1777291_at	SPAC1002.16c	SPAC1002.16c		nicotinic acid plasma membrane transporter	YGR260W	0	-0.133333333	-1.344444444	-1.075	-1	-0.588888889
1773216_at	SPAC1002.17c	SPAC1002.17c		uracil phosphoribosyltransferase	YHR128W	-1.655555556	-1.166666667	-1.111111111	-2.15	-2.711111111	-1.088888889
1773918_at	SPAC1002.18	SPAC1002.18		conserved fungal protein	NONE	-0.788888889	-0.788888889	0	-1.7	-0.6	-0.577777778
1772754_at	SPAC1002.19	SPAC1002.19		GTP cyclohydrolase	NONE	-2.011111111	-2	0	-1.6	-2.044444444	-1.688888889
1769499_at	SPAC1002.20	SPAC1002.20		sequence orphan	NONE	0	0	0.688888889	0	0	0
1777943_at	SPAC1002.21	SPAC1002.21		dubious	NONE	0.355555556	0.355555556	0.7	0	0	0
1771583_at	SPAC1006.01	psp3		serine protease	YEL060C	0.066666667	0.022222222	1.066666667	0.225	0.344444444	0.311111111
1771486_at	SPAC1006.02	SPAC1006.02		WD repeat protein	NONE	-0.177777778	-0.122222222	-0.066666667	-0.45	-0.566666667	-0.222222222
1779592_at	SPAC1006.03c	SPAC1006.03c		sequence orphan	NONE	0	0	0.2	1.25	0.777777778	0.188888889
1777505_at	SPAC1006.04c	mcp3		meiosis specific coiled-coil protein Mcp3	NONE	0	0	0.111111111	0	0.322222222	0.066666667
1774431_at	SPAC1006.05c	och1		"alpha-1,6-mannosyltransferase"	YGL038C|YJR075W	-0.155555556	0.4	0.622222222	-0.1	-0.177777778	0.433333333
1769572_at	SPAC1006.06	rgf2		RhoGEF Rgf2	YGR070W|YLR371W	0	0	0.566666667	0.075	0	0
