	WT-1	WT-2	WT-3	C13S-1	C13S-2	C13S-3	H397A-1	H397A-2	H397A-3	C13S_H397A_aps1-1	C13S_H397A_aps1-2	C13S_H397A_aps1-3
SPAC1002.01	370	334	285	361	411	346	341	330	295	178	228	168
SPAC1002.02	5598	4813	4156	4300	3969	4136	4222	4363	3823	3362	3975	3545
SPAC1002.03c	5355	4495	4348	6613	6418	6121	4555	4900	4666	3785	3698	3257
SPAC1002.04c	999	766	800	593	530	595	502	499	777	586	503	362
SPAC1002.05c	905	808	774	872	791	834	498	582	679	726	740	597
SPAC1002.06c	21	16	21	24	19	26	20	15	15	17	25	17
SPAC1002.07c	1628	1472	1329	1820	1558	1820	686	743	1053	1315	1020	940
SPAC1002.08c	2436	2213	1827	2281	2168	2117	2191	2289	2026	1817	2117	1734
SPAC1002.09c	12099	10888	8855	7592	6975	7213	9757	10421	8659	6463	6676	5768
SPAC1002.10c	912	627	705	559	579	531	373	481	761	482	323	307
SPAC1002.11	2289	1849	1681	2397	2404	2376	1787	1824	1634	1311	1557	1290
SPAC1002.12c	823	701	734	875	809	733	1411	1487	1259	1331	1379	1200
SPAC1002.13c	27276	21855	23322	30478	27998	27152	36536	38714	36891	39897	43911	34802
SPAC1002.14	2332	2116	1730	2090	2019	1935	1857	1891	1888	1967	2181	1778
SPAC1002.15c	1184	1002	1030	990	998	976	598	591	860	851	769	664
SPAC1002.16c	710	581	512	844	829	873	720	691	658	811	933	842
SPAC1002.17c	4983	3198	3514	33418	30751	21855	31377	34778	29820	21620	24821	29788
SPAC1002.18	4559	3622	3424	13442	12468	10554	10363	10937	9482	7396	8561	8860
SPAC1002.19	2114	1278	1596	15306	13916	9975	20119	22736	19162	15765	17411	21032
SPAC1002.20	35	41	30	28	23	27	20	23	11	7	3	2
SPAC1006.01	3937	3444	3176	5830	5291	5091	3439	3869	3291	2636	2849	2496
SPAC1006.02	1901	1614	1417	2062	1922	1974	1463	1614	1516	1579	1609	1447
SPAC1006.03c	2192	1938	1816	1561	1519	1520	1286	1325	1744	1602	1250	1140
SPAC1006.04c	375	254	245	359	383	370	206	214	257	196	194	150
SPAC1006.05c	1467	1259	1134	1305	1111	1136	1196	1221	1225	937	928	851
SPAC1006.06	5281	4573	3832	4377	4090	4256	3994	4364	3990	3874	3974	3516
