	WT-4	WT-5	WT-6	aps1-1	aps1-2	aps1-3	D333A-1	D333A-2	D333A-3
SPAC1002.01	243	310	262	245	249	275	275	333	311
SPAC1002.02	3726	4342	4078	3443	3588	3910	3773	4494	4497
SPAC1002.03c	3809	4285	4092	4908	4295	4407	5271	5734	5665
SPAC1002.04c	292	371	401	405	309	306	467	540	623
SPAC1002.05c	466	421	458	484	417	467	543	557	654
SPAC1002.06c	8	5	13	6	13	2	7	5	10
SPAC1002.07c	630	731	776	770	637	674	1648	1676	2185
SPAC1002.08c	1868	2042	1914	2243	2028	2144	1689	1879	2001
SPAC1002.09c	10591	11589	10672	9455	8882	9111	6935	7322	8434
SPAC1002.10c	421	527	549	567	390	424	572	622	855
SPAC1002.11	1583	1616	1554	1686	1511	1631	2106	2380	2216
SPAC1002.12c	647	725	693	898	845	866	650	710	1061
SPAC1002.13c	18133	19944	20192	23893	24523	24661	22686	24868	21303
SPAC1002.14	1363	1515	1318	1711	1493	1574	1615	1826	1774
SPAC1002.15c	569	623	682	640	513	457	786	845	998
SPAC1002.16c	556	544	622	757	763	907	718	874	587
SPAC1002.17c	2466	3249	3936	7007	5770	6906	10315	13164	17265
SPAC1002.18	3355	4022	4001	5272	4767	4936	6359	7586	8072
SPAC1002.19	1425	1849	2287	3997	3418	3917	6843	7514	10462
SPAC1002.20	12	28	12	15	9	5	20	22	30
SPAC1006.01	2572	2819	2837	2445	2358	2531	4426	4844	4551
SPAC1006.02	1421	1434	1337	1502	1431	1488	1443	1539	1557
SPAC1006.03c	787	1007	1183	1117	968	969	1036	1157	1382
SPAC1006.04c	156	176	145	221	173	191	273	407	300
SPAC1006.05c	1109	1151	1114	1170	973	1145	1221	1317	1177
SPAC1006.06	5228	5809	5522	5443	4759	5181	3850	4074	4402
SPAC1006.07	80280	90804	84641	78356	84282	91037	120536	140974	117429
SPAC1006.08	504	638	723	710	479	538	793	753	814
SPAC1006.09	3623	3982	3786	3634	3297	3597	2710	2980	2731
SPAC1039.01	1769	1947	2122	2082	2096	2452	1609	1927	1768
SPAC1039.02	7381	8070	9213	18889	19672	23204	12213	13476	13479
SPAC1039.03	2085	2214	2148	2590	2421	2426	2209	2426	2370
SPAC1039.04	965	973	1022	1016	972	953	1075	1091	1055
SPAC1039.05c	1675	1726	1678	1944	1693	1830	964	982	1049
SPAC1039.06	1510	1621	1582	1218	1275	1480	1854	1860	1877
SPAC1039.07c	1291	1272	1244	1289	1213	1181	935	1050	1078
SPAC1039.08	67	85	111	104	80	84	116	101	163
SPAC1039.09	267	375	388	175	150	174	727	868	1044
SPAC1039.10	57	63	54	51	42	60	59	79	135
SPAC1039.11c	1799	1907	1904	1912	1869	1919	1621	1804	1984
SPAC105.01c	916	952	977	1074	890	1044	844	914	871
SPAC105.02c	5785	6156	5767	5503	5662	6042	6559	7543	7228
SPAC105.03c	3564	3991	3819	3492	3480	3908	4271	4957	4524
SPAC1071.01c	3589	3703	3229	3688	3322	3530	2625	2741	3620
SPAC1071.02	1108	1119	1047	1108	1061	1084	889	982	1247
SPAC1071.03c	2817	3299	3219	2796	2439	2534	3706	3851	4305
SPAC1071.04c	463	489	487	438	402	437	603	641	674
SPAC1071.05	3681	3953	3908	4106	3817	4013	3271	3600	3896
SPAC1071.06	1043	1257	1273	1397	1246	1173	1339	1391	1802
SPAC1071.07c	22962	25758	25261	20881	22949	23578	32862	37456	34121
SPAC1071.08	4510	4746	4455	4699	4404	4535	2891	3155	3599
SPAC1071.09c	596	630	858	887	678	641	1220	1204	1617
SPAC1071.10c	90732	89989	87833	101319	103575	108437	104434	114870	104987
SPAC1071.11	2318	2525	2422	2462	2379	2462	2884	3674	3051
SPAC1071.12c	422	505	586	554	465	439	681	729	847
SPAC1071.13	663	727	790	909	793	847	1256	1497	1196
SPAC1093.01	4308	4380	4245	4740	4747	5023	6494	7350	6338
SPAC1093.02	4877	5202	5160	4684	4376	4531	5931	6096	6485
SPAC1093.03	1790	1761	1652	1626	1399	1601	1247	1299	1471
SPAC1093.04c	733	821	859	952	843	818	1163	1247	1694
SPAC1093.05	2136	2446	2490	2985	2361	2251	2396	2558	3092
SPAC1093.06c	570	543	520	555	486	517	325	365	515
SPAC1093.07	58	61	66	62	36	50	188	196	225
SPAC10F6.01c	16929	17767	16898	17819	15737	17141	22594	22659	20903
SPAC10F6.02c	978	1268	1261	1424	1223	1038	1150	1296	1586
SPAC10F6.03c	18160	19147	17252	19766	18740	18821	18091	18388	19139
SPAC10F6.04	492	489	509	547	449	418	780	714	801
SPAC10F6.05c	1371	1537	1440	1536	1578	1756	2685	3045	2693
SPAC10F6.06	15562	15811	14972	13863	14168	14174	14099	16690	19054
SPAC10F6.07c	76	124	116	89	70	80	189	183	226
SPAC10F6.08c	330	383	422	444	383	342	439	472	583
SPAC10F6.09c	836	1076	1090	1038	875	832	1036	956	1425
SPAC10F6.10	667	808	941	1053	811	812	1095	1130	1292
SPAC10F6.11c	678	855	846	816	720	662	997	1104	1270
SPAC10F6.12c	2024	2108	2077	2156	2059	2048	1696	1786	2333
SPAC10F6.13c	6734	8018	7826	5682	5889	6059	11833	13481	10559
SPAC10F6.14c	711	926	950	867	727	723	1018	1088	1410
SPAC10F6.15	23	23	31	20	15	12	37	34	37
SPAC10F6.16	3485	3849	3705	3654	3568	3778	4874	5518	4104
SPAC10F6.17c	853	1039	1069	1087	1007	1068	1037	1133	1292
SPAC110.01	3620	3865	3480	3243	3192	3354	2131	2295	1940
SPAC110.02	665	854	795	929	879	798	790	939	1191
SPAC110.03	9307	10065	9667	8746	9115	9415	13266	14933	14102
SPAC110.04c	28668	31862	30361	30997	32947	32702	31476	33351	40265
SPAC110.05	207	258	227	138	125	136	195	259	246
SPAC1142.01	1073	1337	1421	1343	1155	1086	1500	1679	2030
SPAC1142.02c	3050	3428	3229	3799	3633	3540	2945	3360	3653
SPAC1142.03c	1314	1563	1702	1565	1339	1400	1583	1903	2200
SPAC1142.04	2933	3660	3551	3536	3101	3090	4280	4601	5357
SPAC1142.05	1710	1788	1744	1664	1394	1757	2219	2478	2434
SPAC1142.06	4117	4327	3879	3988	3867	3872	4021	4573	4838
SPAC1142.07c	725	981	994	802	670	644	1191	1344	1539
SPAC1142.08	1650	1876	1809	2035	1852	1883	1716	1858	2263
SPAC1142.09	5	0	2	1	1	2	6	3	8
