Systematic ID	Gene name	Product description
SPCC1742.01	gsf2	"cell surface glycoprotein, galactose-specific flocculin Gsf2"
SPBC1289.10c	adn2	DNA-binding transcription factor Adn2
SPCC1494.10	adn3	DNA-binding transcription factor Adn3
SPBC317.01	mbx2	"DNA-binding transcription factor, MADS-box Pvg4"
SPBC15D4.02	gsf1	"DNA-binding transcription factor, zf-fungal binuclear cluster type Gsf1"
SPAC1D4.11c	lkh1	dual specificity protein kinase Lkh1
SPAC18B11.10	tup11	transcriptional corepressor Tup11
SPAC630.14c	tup12	transcriptional corepressor Tup12
SPAPB15E9.01c	pfl2	"cell surface glycoprotein, flocculin Pfl2"
SPBC947.04	pfl3	"cell surface glycoprotein, flocculin Pfl3, DIPSY family"
SPCC188.09c	pfl4	"cell surface glycoprotein, flocculin Pfl4"
SPBC1289.15	pfl5	"cell surface glycoprotein, flocculin Pfl5"
SPAC977.07c	pfl6	"cell surface glycoprotein, flocculin Pfl6"
SPBC359.04c	pfl7	"cell surface glycoprotein, flocculin Pfl7, DIPSY family"
SPAC1F8.06	pfl8	"cell surface glycoprotein, flocculin Pfl8"
SPAC186.01	pfl9	"cell surface glycoprotein, flocculin Pfl9, DIPSY family"
SPBC29A10.08	gas2	"cell wall 1,3-beta-glucanosyltransferase Gas2"
SPAC1002.13c	psu1	cell wall beta-glucosidase Psu1
SPAC6F12.02	rst2	DNA-binding transcription factor Rst2
SPCC736.08	cbf11	"DNA-binding transcription factor, CBF1/Su(H)/LAG-1 family Cbf11"
SPCC1223.13	cbf12	"DNA-binding transcription factor, CBF1/Su(H)/LAG-1 family Cbf12"
SPBC354.05c	sre2	"DNA-binding transcription factor, membrane-tethered Sre2"
SPBC15D4.02	gsf1	"DNA-binding transcription factor, zf-fungal binuclear cluster type Gsf1"
SPAC1D4.11c	lkh1	dual specificity protein kinase Lkh1
SPAC4H3.03c		"glucan 1,4-alpha-glucosidase"
SPBC646.06c	agn2	"glucan endo-1,3-alpha-glucosidase Agn2"
SPBC21B10.13c	yox1	MBF complex corepressor Yox1
SPAC688.08	srb8	mediator complex subunit Med12
SPAC589.02c	med13	mediator complex subunit Med13
SPAC23H4.17c	srb10	"mediator complex, cyclin-dependent protein kinase subunit Srb10"
SPAC4G8.03c	puf5	pumilio family RNA-binding protein Puf5
SPCC1672.06c	asp1	diphosphoinositol pentakisphosphate kinase/IP8 pyrophosphatase
SPAC2F7.08c	snf5	SWI/SNF complex subunit Snf5
SPCC1753.02c	git3	G-protein coupled receptor Git3
SPAC23H3.13c	gpa2	heterotrimeric G protein alpha-2 subunit Gpa2
SPBC32H8.07	git5	heterotrimeric G protein beta (WD repeat) subunit Git5
SPBC215.04	git11	heterotrimeric G protein gamma subunit Git11
SPBC19C7.03	cyr1	adenylate cyclase
SPBC106.10	pka1	cAMP-dependent protein kinase catalytic subunit Pka1
