SPCC126.01c,SPBC25B2.07c,SPCC1393.09c,SPBC25H2.03,SPCC1450.16c,SPBC29A10.03c,SPCC1672.03c,SPBC29A10.06c,SPCC16A11.01,SPBC29A3.02c,SPCC18B5.05c,SPBC2G2.09c,SPCC23B6.01c,SPBC31A8.01c,SPCC24B10.20,SPBC31F10.10c,SPCC306.08c,SPBC32F12.11,SPCC31H12.05c,SPBC354.07c,SPCC31H12.08c,SPBC359.05,SPCC4G3.15c,SPBC3B8.07c
SPAC869.06c,SPAC6B12.09,SPAP32A8.02,SPAC732.02c,SPAPB24D3.02c,SPAC806.04c,SPAPB24D3.08c,SPAC8F11.10c,SPBC1198.01,SPAC9E9.09c,SPBC1271.12,SPACUNK4.09,SPBC1683.07,SPAPB1A10.14,SPBC16C6.03c,SPBC1271.06c,SPBC16C6.09,SPBC1271.08c,SPBC1709.11c,SPBC13E7.06,SPBC1773.17c,SPBC16G5.13,SPBC1861.02,SPBC16H5.06
empty,SPBC3B9.15c,SPCC613.06,empty,SPCC63.14,SPBC660.06,SPCC663.08c,SPBC776.16,SPCC737.07c,SPBC800.05c,SPCC757.07c,SPBC887.17,SPCC794.01c,SPBC8D2.12c,SPCC965.05c,SPBC902.06,SPAC1071.11,SPBC947.01,SPAC10F6.05c,SPBC947.09,SPAC10F6.15,SPBP23A10.16,SPAC12G12.10,SPBP35G2.13c
SPBC1861.06c,SPBC1709.04c,SPBC19C2.04c,SPBC18E5.08,empty,SPBC20F10.02c,SPBC20F10.10,empty,SPBC215.11c,SPBC215.10,SPBC21B10.07,SPBC23E6.01c,SPBC23E6.10c,SPBC29A10.01,SPBC28F2.02,SPBC29A10.05,SPBC28F2.05c,SPBC29A10.11c,SPBC2G5.02c,SPBC2A9.07c,SPBC31F10.03,SPBC2G5.06c,SPBC336.10c,SPBC32F12.03c
SPAC13F5.03c,SPBP4G3.03,SPAC14C4.12c,SPBP4H10.09,SPAC15A10.05c,SPCC1020.08,SPAC15A10.09c,SPCC1223.12c,SPAC167.04,SPCC1442.01,SPAC1687.12c,SPCC1753.03c,SPAC186.05c,SPCC24B10.11c,SPAC18B11.02c,SPCC285.13c,SPAC1952.06c,SPCC306.05c,SPAC19A8.02,SPCC31H12.04c,SPAC1B3.03c,SPCC364.06,SPAC1B3.16c,SPCC417.05c
SPBC36.06c,SPBC342.01c,SPBC365.16,SPBC354.12,SPBC3B9.13c,SPBC359.04c,SPBC3D6.04c,SPBC3B9.04,SPBC3D6.06c,SPBC3H7.11,SPBC609.04,SPBC685.03,SPBC660.17c,SPBC8E4.02c,SPBC685.04c,SPBC8E4.05c,SPBC839.13c,SPBPB10D8.02c,SPBC887.15c,SPBPB10D8.05c,SPBC947.05c,SPCC1020.06c,SPBC947.15c,SPCC1235.13
SPAC1D4.02c,SPCC4F11.04c,SPAC1D4.03c,SPCC548.05c,SPAC1D4.06c,SPCC553.04,SPAC1F12.05,SPCC576.13,SPAC20G4.04c,SPCC594.02c,SPAC212.08c,SPCC594.04c,SPAC222.08c,SPCC645.11c,SPAC227.06,SPCC663.06c,SPAC23H3.05c,SPCC663.10,SPAC24B11.06c,SPCC70.04c,SPAC24B11.13,SPCC736.04c,SPAC26H5.07c,SPCC736.13
SPBCPT2R1.01c,SPCC1281.07c,SPBP23A10.14c,SPCC1450.03,SPBP4H10.18c,SPCC1620.04c,SPCC1020.05,SPCC1682.14,SPCC1259.08,SPCC1739.06c,SPCC1259.14c,SPCC191.09c,SPCC126.13c,SPCC2H8.05c,SPCC1442.07c,SPCC31H12.06,SPCC1442.11c,SPCC550.08,SPCC1494.08c,SPCC584.16c,SPCC14G10.03c,SPCC613.10,SPCC162.03,SPCC622.08c
SPAC27F1.08,SPCC757.09c,SPAC29B12.05c,SPCC757.11c,SPAC31A2.11c,SPCC777.12c,SPAC31G5.09c,SPCC794.12c,SPAC3C7.03c,SPCP1E11.04c,SPAC3C7.09,SPAC1002.06c,SPAC458.02c,SPAC1002.07c,SPAC4H3.04c,SPAC1071.09c,SPAC521.03,SPAC1142.05,SPAC56F8.05c,SPAC1142.07c,SPAC589.03c,SPAC11D3.05,SPAC589.07c,SPAC11E3.13c
SPCC162.12,SPCC70.10,SPCC1840.09,SPCC737.06c,SPCC24B10.10c,SPCC777.06c,SPCC297.04c,SPCC825.05c,SPCC306.07c,SPAC1002.02,SPCC330.03c,SPAC1002.12c,SPCC338.08,SPAC1002.17c,SPCC364.01,SPAC1002.18,SPCC4G3.02,SPAC1039.02,SPCC576.17c,SPAC11D3.03c,SPCC613.03,SPAC11G7.04,SPCC736.09c,SPAC12B10.11
SPAC5D6.09c,SPAC13G6.08,SPAC5H10.09c,SPAC1565.04c,SPAC5H10.13c,SPAC15A10.07,SPAC630.14c,SPAC15E1.02c,SPAC637.03,SPAC17A5.07c,SPAC644.11c,SPAC17A5.10,SPAC869.10c,SPAC1834.09,SPAC890.05,SPAC1952.12c,SPAC922.05c,SPAC19D5.02c,SPAC9G1.07,SPAC1B1.04c,SPAC9G1.08c,SPAC1F5.08c,SPAC9G1.11c,SPAC20H4.06c
