SPCC1020.11c,SPCC622.14,SPCC1919.07,SPCP1E11.03,SPAC15A10.08,SPAC13C5.02,SPAC1687.10,SPAC458.06,SPAC1834.07,SPAC4H3.01,SPAC1A6.06c,SPAC5D6.10c,SPAC1F3.09,SPBC17G9.10,SPAC1F7.06,SPAC6G10.06,SPAC2H10.02c,SPBC1289.11,SPBC106.20,SPAC3H8.10,SPBC18H10.02,SPBC36.04,SPBC27.06c,SPBC30B4.08
SPBC1861.09,SPAC23H4.12,SPAC959.07,SPAC25B8.13c,SPBC776.17,SPCC645.08c,SPAC3C7.07c,SPAC23H4.09,SPAC17G6.15c,SPAC1F7.12,SPAC343.09,SPAC5D6.13,SPBC36B7.03,SPBC18H10.19,SPAC2F7.06c,SPBC2D10.11c,SPAC1805.04,SPBC83.03c,SPAC328.02,SPBC1105.01,SPAPB2B4.03,SPAC22G7.03,SPAC1F8.05,SPAC1F3.07c
SPCC777.02,SPAC26F1.12c,SPCP31B10.03c,SPBC1711.04,SPAC14C4.13,SPCC188.12,SPAC19B12.12c,SPCC1906.04,SPAC29A4.05,SPCC794.02,SPBC428.06c,SPAC3F10.09,SPCC13B11.04c,SPBC56F2.10c,SPCC14G10.04,SPCC1183.06,empty,SPCC285.17,SPCC550.01c,empty,SPAC16.04,SPAC17A2.01,SPAC16C9.02c,SPAPB1A10.15
SPAC823.11,SPBC725.11c,SPBC1734.09,SPAC57A10.10c,SPBC13G1.02,SPBC577.15c,SPBC14F5.12c,SPAC22E12.06c,SPBC649.04,SPBC106.03,SPAC24B11.10c,SPBC530.15c,SPBC1734.06,SPAC23A1.19c,SPAC22A12.07c,SPAC144.11,SPAC3C7.10,SPAC18B11.04,SPAC17C9.07,SPBC1683.02,empty,SPAC343.06c,SPAC2F7.02c,empty
SPAC664.13,SPBC2F12.15c,SPAC959.08,SPCC1259.07,SPBC16G5.06,SPBC25H2.10c,SPAC11D3.13,SPBC428.04,SPAC31G5.17c,SPAC4F10.04,SPAP8A3.04c,SPAC9.11,SPAPJ695.01c,SPBC577.11,SPBC3H7.10,SPBC713.05,SPBC530.04,SPCC1494.01,SPBC660.14,SPAC17C9.05c,SPBC1734.15,SPCC338.10c,SPBC31F10.02,SPCC553.12c
SPAC23C4.03,SPAC19G12.11,SPCC338.06c,SPBC3D6.08c,SPAC23C4.06c,SPAC56F8.16,SPCC1906.02c,SPAC1D4.09c,SPAC13G6.15c,SPBC14F5.11c,SPBC15D4.01c,SPBC13E7.03c,SPAC20G8.09c,SPBC1734.05c,SPBC3B8.06,SPAC6G10.10c,SPBC19G7.08c,SPAC10F6.12c,SPAC16C9.07,SPBC16G5.02c,SPAC25G10.01,SPBP35G2.03c,SPAC4F10.07c,SPBPB2B2.14c
SPBC83.02c,SPCP31B10.04,SPCC126.03,SPAC7D4.13c,SPAC144.03,SPCC790.03,SPAC17A2.10c,SPAC8C9.16c,SPAC2F3.08,SPBC12D12.09,SPBC25B2.08,SPAC3H5.05c,SPCC962.05,SPBC405.02c,SPAC17C9.16c,SPBC11C11.08,SPAC30C2.08,SPCC16C4.10,SPBC16A3.12c,SPAC1687.21,SPBC409.08,SPBC1778.01c,SPBC609.05,SPAC6F6.17
SPCC4E9.01c,SPAC521.05,SPAC12B10.05,SPAC17C9.08,SPBC25H2.16c,SPBC887.01,SPBC17G9.08c,SPBC83.10,SPBC14F5.09c,SPBP35G2.07,SPAPJ760.02c,SPCC364.02c,SPAC13F5.01c,SPCC338.18,SPAC1556.01c,SPAC3A11.11c,SPBC1711.13,SPAC19A8.14,SPAC23H4.01c,SPBC14C8.11c,SPAC2G11.03c,SPAC6G9.12,SPAC18G6.05c,SPAC3H1.04c
SPCC794.07,SPBC800.02,SPAC11D3.04c,SPCC1235.11,SPAC144.14,SPAC12B10.13,SPAC1556.04c,SPAC20G4.01,SPAC29B12.08,SPBP8B7.13,SPBC12D12.07c,SPAC3G6.05,SPBC30D10.04,SPBC13G1.12,SPBC685.02,SPCC737.09c,SPBC725.04,SPCC830.06,SPBP8B7.21,SPBC17A3.02,SPAC22A12.16,SPAC1782.07,SPAC22H10.08,SPCC1739.01
SPAC18G6.10,SPAC57A10.07,SPBC1683.09c,SPAC3F10.04,SPBC1773.14,SPBC1921.01c,SPBC582.05c,SPAC1002.01,SPBC28E12.02,SPBC887.06c,SPBC19C2.09,SPBC530.07c,SPAC2E1P3.04,SPBC6B1.04,SPCC1919.12c,SPAPJ691.02,SPAC22G7.01c,SPAC23H3.09c,SPAC607.10,SPAC1687.08,SPCC1919.15,SPBC800.07c,SPAC644.06c,SPCC191.10
SPAC25B8.07c,SPAC3G9.03,SPAC26A3.02,SPAC15E1.03,SPAC30D11.06c,SPAC19B12.09,SPAC6C3.03c,SPAC821.04c,SPBC1198.08,SPCC417.03,SPBC21B10.06c,SPCC548.04,SPBP16F5.07,SPBC428.05c,SPCC1322.09,SPAC23C4.11,SPCC1840.04,SPBC1289.01c,SPCC70.02c,SPBC31F10.14c,SPAC1071.07c,SPCC4G3.09c,SPAC13F5.07c,SPBC16E9.13
