SPAC26A3.11,SPAC7D4.06c,SPAC1952.03,SPAC869.01,SPCC830.10,SPAC890.02c,SPAC869.11,SPBC11C11.02,SPAC8C9.05,SPBC18H10.14,SPBC1539.04,SPBC4B4.12c,SPAC22F3.11c,SPBC577.06c,SPAC2G11.15c,SPBC651.09c,SPAC1F5.09c,SPCC1020.01c,SPBC1A4.09,SPCC191.07,SPAC2G11.10c,SPCC777.03c,SPCC4G3.04c,SPAC27D7.08c
SPBC1105.14,SPACUNK4.10,SPBC119.04,SPAP8A3.12c,SPBC1347.02,SPBC1348.02,SPBC16A3.08c,SPBC15C4.04c,SPBC16D10.05,SPBC16A3.02c,SPBC1778.04,SPBC16G5.17,SPBC1861.05,SPBC359.01,SPBC1861.07,SPBP8B7.09c,SPBC215.02,SPCC1183.11,SPBC21B10.10,SPCC1672.12c,SPBC26H8.05c,SPCC1840.03,SPBC27B12.09c,SPCC285.09c
SPBC1289.06c,SPAC637.09,SPBC337.08c,SPBC2G2.13c,SPAC25A8.01c,SPCC550.12,SPBC3B8.02,SPCC895.07,SPBC26H8.12,SPCC594.06c,SPAC1486.08,SPCC5E4.10c,SPAC12B10.03,SPCC550.03c,SPAC4G9.19,SPAC869.02c,SPAC644.15,SPAC13F5.05,SPCC417.02,SPBPB2B2.01,SPBC16A3.16,SPAC14C4.11,SPAC2F3.07c,SPAPB1E7.12
SPBC28F2.11,SPCC31H12.02c,SPBC29A10.10c,SPCC4B3.03c,SPBC29A3.07c,SPCC4B3.07,SPBC2D10.06,SPCC4B3.12,SPBC30D10.14,SPCC4G3.19,SPBC32F12.07c,SPCC550.09,SPBC32H8.03,SPCC5E4.05c,SPBC336.01,SPCC736.07c,SPBC354.03,SPCPJ732.02c,SPBC3D6.10,SPAC24B11.07c,SPBC543.07,SPAC25H1.05,SPBC56F2.08c,SPAC26H5.08c
empty,SPBC13E7.04,SPAC9.13c,empty,SPAC767.01c,SPBC530.13,SPAC11E3.03,SPBC26H8.14c,SPAC1296.02,SPAC3A12.13c,SPAC12B10.14c,SPAC3A11.13,SPAC139.03,SPAC18G6.13,SPAC13G6.03,SPAC4D7.10c,SPAC1639.02c,SPCC584.11c,SPAC1782.09c,SPBC16C6.11,SPAC20H4.07,SPCC613.12c,SPAC22A12.10,SPAC3H8.05c
SPBC582.08,SPAC824.09c,SPBC725.05c,SPBC12C2.03c,empty,SPBC16C6.08c,SPBC725.10,empty,SPBP4H10.03,SPBC1815.01,SPBPJ4664.06,SPBC23G7.10c,SPCC1223.11,SPBC27.02c,SPCC126.07c,SPBC30D10.16,SPCC126.11c,SPBC337.07c,SPCC1322.14c,SPBC36B7.05c,SPCC1450.07c,SPBC3E7.15c,SPCC162.10,SPBC409.10
SPAC22E12.18,SPBC365.14c,SPAC24H6.11c,SPAC22H12.02,SPAC25G10.09c,SPCC24B10.09,SPAC26F1.07,SPCC1393.03,SPAC4G9.16c,SPBC28E12.03,SPAC57A10.02,SPAC18G6.09c,SPAC57A10.08c,SPACUNK4.07c,SPAC644.13c,SPAC1783.04c,SPAC6B12.03c,SPAC1006.05c,SPAC6C3.05,SPBC1778.06c,SPAC6F6.06c,SPACUNK4.08,SPAC8C9.07,SPAC1805.07c
SPCC18.03,SPCC132.01c,SPCC188.02,SPCC24B10.15,SPCC1919.11,SPCC364.07,SPCC23B6.03c,SPCC584.15c,SPCC24B10.07,SPCPB16A4.05c,SPCC297.05,SPAC1399.02,SPCC330.11,SPAC1D4.05c,SPCC550.15c,SPAC227.01c,SPCC663.03,SPAC23H3.12c,SPCC74.06,SPAP27G11.08c,SPCC777.17c,SPBC3B8.03,SPCC825.01,SPBC3B9.11c
SPAC8C9.10c,SPAC26F1.03,SPAPB24D3.09c,SPAC23H4.14,SPAPB8E5.03,SPAC167.05,SPBC1306.02,SPAC26A3.01,SPBC16C6.01c,SPAC17A5.18c,SPBC16H5.07c,SPAC17G8.05,SPBC1703.12,SPAC18B11.09c,SPBC1706.03,SPAC1B1.02c,SPBC1709.09,SPAC2G11.09,SPBC1778.10c,SPAC4H3.06,SPBC17G9.07,SPAC513.06c,SPBC18E5.05c,SPAC57A10.06
SPCC965.10,SPBC418.02,SPCC970.07c,SPBC646.02,SPAC105.01c,SPBC6B1.05c,SPAC1399.01c,SPBC947.06c,SPAC14C4.07,SPCC1393.02c,SPAC1783.01,SPCC1494.09c,SPAC1851.04c,SPCC553.03,SPAC20G8.02,SPCC576.02,SPAC22G7.11c,SPCC576.11,SPAC23D3.13c,SPCC61.03,SPAC23G3.12c,SPAC1805.16c,SPAC323.03c,SPAC1F8.03c
SPBC216.05,SPAC630.07c,SPBC24C6.11,SPBC1347.07,SPBC27B12.03c,SPBC16D10.02,SPBC28F2.03,SPBC19G7.02,SPBC2A9.13,SPBC3D6.05,SPBC365.12c,SPBC651.12c,SPBC3E7.06c,SPBC713.09,SPBC725.02,SPBPB21E7.01c,SPBC725.06c,SPCC757.12,SPBC776.02c,SPCP1E11.11,SPBP23A10.10,SPAC1002.14,SPBP35G2.05c,SPAC105.03c
