SPBC651.11c,SPCC613.08,SPCC4G3.11,SPBP22H7.06,SPAC16E8.12c,SPAC57A10.04,SPAC30D11.14c,SPAC12B10.15c,SPAC4F10.14c,SPAC343.19,SPAC4F8.08,SPCC1827.08c,SPBC1773.09c,SPAC3A11.03,SPBC21B10.12,SPBC8D2.10c,SPCC1494.03,SPCC1322.01,SPAC1610.04,SPAP11E10.02c,SPAC4G9.12,SPAC17D4.04,SPAC664.04c,SPAC25H1.03
SPCC63.08c,SPAC24H6.08,SPAC11G7.06c,SPBC21C3.07c,SPBC342.03,SPAC140.01,SPBC409.07c,SPAC3F10.12c,SPBC530.10c,SPAC630.10,SPAPB1A10.07c,SPAC688.04c,SPBC1289.09,SPAPB1A11.03,SPBC1703.13c,SPBC16E9.08,SPBC17A3.09c,SPCC1442.05c,SPBC19C2.13c,SPAC8F11.02c,SPBC577.05c,SPAC11D3.01c,SPBC776.06c,SPBC1347.08c
SPAC926.03,SPBC649.02,SPBC31F10.17c,SPCC16C4.12,SPBC3H7.05c,SPBC21C3.01c,SPBC3H7.14,SPBC1198.09,SPCC24B10.02c,SPCC1235.01,SPAC18G6.12c,SPBC16H5.14c,SPAC869.08,SPBC19C2.14,SPBC16C6.06,SPBC27B12.14,SPCC4G3.17,SPBC409.03,SPAC1782.02c,SPBC725.12,SPAC17A5.14,SPCC4B3.01,SPAC23C4.09c,SPAC186.02c
SPCC13B11.01,SPBC660.09,SPAC140.04,SPBC12C2.12c,SPAC31A2.06,SPBC14C8.16c,SPCC569.06,SPAC1327.01c,SPBC1604.11,SPBC26H8.11c,SPAC227.17c,SPCC1682.13,SPBC15D4.13c,SPBC19C7.10,SPAC323.04,SPAC11H11.01,SPBC1685.08,SPBC2D10.13,SPBC19C2.02,SPCC1235.15,SPBC365.20c,SPBP23A10.05,SPBC13G1.14c,SPBC18H10.09
SPAC4C5.03,SPAC23A1.09,SPBC336.05c,SPAC4F10.20,SPAC12G12.15,SPBC36.10,SPAC1834.04,SPBC146.12,empty,SPBC8D2.17,SPAC26A3.17c,empty,SPAC3H1.08c,SPBC23E6.02,SPAC56E4.07,SPBC1685.11,SPBC1539.07c,SPAC4D7.01c,SPBC32H8.01c,SPCC1322.12c,SPBC660.05,SPAC4G8.03c,SPAC29B12.13,SPAC1006.09
SPBC1271.15c,SPAC644.09,SPBP8B7.05c,SPBC11C11.10,SPAC1296.05c,SPAC9G1.04,SPAC1527.01,SPBC691.01,SPAC19A8.01c,SPCC13B11.02c,SPAC29E6.01,SPAC6B12.16,empty,SPCC1281.08,SPAC57A7.04c,empty,SPAC5D6.06c,SPAC25A8.03c,SPAC8C9.17c,SPBC106.16,SPAC9.06c,SPBC16E9.18,SPAC9.07c,SPAC644.08
SPCC23B6.05c,SPCC1322.05c,SPCC338.02,SPAC6F6.04c,SPAC1556.08c,SPBC1604.01,SPAC5H10.07,SPBC2D10.14c,SPCC1322.06,SPBC4F6.16c,SPCC364.03,SPCC285.05,SPAC27D7.04,SPBC8E4.04,SPBC18H10.16,SPCC162.11c,SPAC26F1.05,SPAC20G4.07c,SPBC887.18c,SPAC186.09,SPCC1450.12,SPCC830.07c,SPAC4H3.05,SPBC13G1.03c
SPBC1289.08,SPAC977.06,SPBC1289.15,SPBC1347.01c,SPBC1734.08,SPAC1006.01,SPBC2A9.06c,SPAC1039.01,SPBC2G2.17c,SPAC1039.08,SPBC3B9.08c,SPAC1039.10,SPBC543.09,SPAC105.02c,SPBC713.03,SPAC1071.12c,SPBC800.08,SPAC11D3.02c,SPCC1259.02c,SPAC11D3.16c,SPCC1739.03,SPAC11E3.05,SPCC736.11,SPAC12G12.16c
SPAC8E11.06,SPAC23C11.06c,SPBC106.04,SPBC1271.01c,SPBC29A3.12,SPAC683.02c,SPBC21H7.06c,SPBC2A9.02,SPCC4B3.08,SPBC582.06c,SPCC777.13,SPAC5D6.12,SPAC15E1.07c,SPAC23C11.07,SPBC18E5.04,SPBC3E7.02c,SPBC3B8.08,SPBC4C3.09,SPCC320.06,SPBC106.08c,SPAC22F8.03c,SPBC1703.07,SPCC1020.13c,SPBC839.02
SPAC1A6.05c,SPAC13A11.05,SPAC30C2.06c,SPAC13C5.05c,SPBC1604.19c,SPAC13C5.06c,SPBC19G7.01c,SPAC13G6.04,SPBC23E6.09,SPAC13G6.12c,SPAC1006.04c,SPAC13G6.14,SPAC11D3.15,SPAC13G7.09c,SPAC1B3.10c,SPAC144.06,SPAC1F3.10c,SPAC144.08,SPAC22E12.19,SPAC144.13c,SPAC3A11.02,SPAC1486.10,SPBC1271.10c,SPAC1565.01
SPCC895.06,SPAC3F10.18c,SPAC13G6.13,SPAC1F5.03c,SPAC17H9.03c,SPAC23H4.16c,SPBC839.04,SPAC6F6.12,SPAC14C4.14,SPAC29E6.07,SPBC1773.01,SPAC16A10.04,SPBC428.07,SPAC26A3.06,SPBC577.12,SPBC2F12.12c,SPCC330.14c,SPAC2F7.04,SPCC594.01,SPBC36B7.04,SPAC17A5.08,SPAC22H10.13,SPAC2C4.16c,SPAC23A1.02c
