SPAC24C9.02c,SPBC16C6.10,SPAC24C9.05c,SPBC16E9.14c,SPAC24C9.07c,SPBC16E9.16c,SPAC24C9.15c,SPBC16E9.19,SPAC24H6.02c,SPBC16H5.02,SPAC24H6.04,SPBC1709.06,SPAC25B8.08,SPBC1709.10c,SPAC25B8.18,SPBC1711.01c,SPAC26A3.04,SPBC1718.01,SPAC26F1.14c,SPBC1773.13,SPAC2C4.06c,SPBC17A3.03c,SPAC2C4.10c,SPBC17D11.02c
SPBC947.11c,SPAC1F8.04c,SPBCPT2R1.03,SPAC20G4.05c,SPBP16F5.04,SPAC25B8.06c,SPBP26C9.03c,SPAC1805.11c,SPBP35G2.14,SPAC27E2.07,SPBP4H10.04,SPAC27F1.03c,SPBP4H10.07,SPAC29B12.03,SPBP4H10.14c,SPAC29B12.04,SPBP8B7.08c,SPAC2E1P3.02c,SPBP8B7.27,SPAC2F3.01,SPBPB21E7.04c,SPAC30C2.05,SPBPB21E7.05,SPAC30D11.07
SPAC2E1P3.01,SPBC17D11.08,SPAC2E1P3.05c,SPBC17G9.02c,SPAC2E1P5.01c,SPBC18H10.13,SPAC2F7.11,SPBC18H10.15,SPAC30C2.07,SPBC19C2.06c,SPAC31F12.01,SPBC19C2.10,SPAC31G5.07,SPBC19C7.04c,SPAC31G5.21,SPBC19C7.09c,SPAC343.15,SPBC19F8.02,SPAC3A11.09,SPBC19F8.03c,SPAC3F10.10c,SPBC19F8.06c,SPAC3F10.11c,SPBC19G7.06
SPBPB21E7.09,SPAC30D11.12,SPBPB2B2.19c,SPAC31A2.02,SPCC1020.07,SPAC328.07c,SPCC1235.06,SPAC3A11.08,SPCC1235.09,SPAC3H5.09c,SPCC1259.12c,SPAC4A8.14,SPCC126.02c,SPAC4F10.13c,SPCC1322.10,SPAC4F10.15c,SPCC1322.15,SPAC56F8.12,SPCC1393.07c,SPAC589.08c,SPCC1393.12,SPAC589.12,SPCC1442.02,SPAC5H10.06c
SPAC3F10.15c,SPBC1A4.03c,SPAC3A11.05c,SPBC1A4.04,SPAC3H1.09c,SPBC1D7.03,SPAC458.05,SPBC20F10.06,SPAC4A8.04,SPBC21.03c,SPAC4C5.04,SPBC21B10.09,SPAC4F10.05c,SPBC21C3.18,SPAC4F10.18,SPBC21D10.07,empty,SPBC21D10.11c,SPAC4G9.10,empty,SPAC4H3.13,SPBC23E6.08,SPAC513.05,SPBC23G7.07c
SPCC1450.06c,SPAC5H10.08c,SPCC1529.01,SPAC607.02c,SPCC162.06c,SPAC688.13,SPCC1620.02,SPAC6F6.03c,SPCC1620.03,SPAC7D4.04,SPCC1620.12c,SPAC824.03c,SPCC1672.09,SPAC977.10,SPCC1682.07,SPAP14E8.05c,SPCC16C4.03,SPAP8A3.03,SPCC16C4.09,SPAP8A3.05,empty,SPAPB1A11.01,SPCC1739.09c,empty
SPAC5D6.05,SPBC24C6.08c,SPAC607.09c,SPBC25B2.01,SPAC630.05,SPBC25B2.11,SPAC637.10c,SPBC25H2.14,SPAC664.15,SPBC25H2.15,SPAC652.01,SPBC26H8.01,SPAC6B12.08,SPBC27.03,SPAC6C3.02c,SPBC27B12.10c,SPAC6C3.04,SPBC27B12.11c,SPAC6G9.13c,SPBC28E12.04,SPAC6G9.15c,SPBC28E12.06c,SPAC7D4.14c,SPBC29A10.13
SPCC1795.02c,SPAPJ760.03c,SPCC1795.03,SPBC1198.11c,SPCC1827.03c,SPBC11G11.02c,SPCC1827.04,SPBC11G11.05,SPCC1840.07c,SPBC13A2.04c,SPCC1840.10,SPBC1539.03c,SPCC1840.12,SPBC15C4.01c,SPCC18B5.10c,SPBC1652.01,SPCC1902.02,SPBC16E9.03c,SPCC191.01,SPBC16G5.03,SPCC191.03c,SPBC16G5.15c,SPCC24B10.22,SPBC1703.03c
SPAC821.10c,SPBC29A3.01,SPAC821.11,SPBC29A3.11c,SPAC823.10c,SPBC29A3.17,SPAC824.05,SPBC2A9.11c,SPAC8C9.06c,SPBC2D10.09,SPAC8E11.01c,SPBC2F12.13,SPAC9.12c,SPBC30D10.18c,SPAC926.02,SPBC31F10.13c,SPAC977.11,SPBC32F12.01c,SPAC9E9.13,SPBC32F12.09,SPAC9E9.15,SPBC337.10c,SPACUNK4.12c,SPBC354.08c
SPCC285.11,SPBC1709.12,SPCC285.14,SPBC1709.19c,SPCC2H8.02,SPBC1773.15,SPCC306.11,SPBC1778.07,SPCC320.05,SPBC17G9.09,SPCC320.07c,SPBC1921.07c,SPCC330.19c,SPBC19C7.11,SPCC417.07c,SPBC19G7.17,SPCC417.11c,SPBC216.06c,SPCC4B3.13,SPBC21D10.10,SPCC4B3.14,SPBC26H8.08c,SPCC4B3.17,SPBC27B12.07
SPACUNK4.15,SPBC354.14c,SPAP14E8.02,SPBC354.15,SPAP27G11.05c,SPBC36.01c,SPAP27G11.06c,SPBC36.03c,SPAP27G11.07c,SPBC365.08c,SPAP27G11.10c,SPBC365.13c,SPAP27G11.15,SPBC36B7.02,SPAPB1A10.13,SPBC3B9.06c,SPAPB1A11.02,SPBC3E7.01,SPAPB1E7.02c,SPBC3E7.10,SPAPB24D3.10c,SPBC3F6.05,SPAPB2B4.07,SPBC3H7.07c
SPCC4E9.02,SPBC29A10.02,SPCC4G3.03,SPBC29A10.08,SPCC4G3.12c,SPBC32H8.07,SPCC548.06c,SPBC336.06c,SPCC550.10,SPBC3H7.15,SPCC553.07c,SPBC428.02c,SPCC569.01c,SPBC4B4.02c,SPCC569.02c,SPBC530.01,SPCC576.12c,SPBC577.08c,SPCC594.07c,SPBC713.02c,SPCC613.01,SPCC1020.03,SPCC622.11,SPCC1223.09
SPAPJ696.02,SPBC409.06,SPAPYUG7.06,SPBC4B4.11,SPBC106.01,SPBC4F6.09,SPBC106.17c,SPBC4F6.15c,SPBC1105.12,SPBC530.02,SPBC1105.18c,SPBC530.05,SPBC119.08,SPBC557.02c,SPBC11C11.06c,SPBC56F2.01,SPBC11C11.09c,SPBC56F2.04,SPBC11G11.01,SPBC56F2.09c,SPBC1271.11,SPBC56F2.12,SPBC12D12.02c,SPBC646.12c
SPCC622.12c,SPCC1259.05c,SPCC622.18,SPCC1442.15c,SPCC63.03,SPCC16C4.17,SPCC645.14c,SPCC1739.04c,SPCC757.02c,SPCC1919.01,SPCC757.13,SPCC1919.05,SPCC777.07,SPCC24B10.04,SPCC790.02,SPCC24B10.19c,SPCC794.06,SPCC338.04,SPCC895.08c,SPCC338.05c,SPCC962.01,SPCC338.12,SPCC965.04c,SPCC364.05
SPBC12D12.04c,SPBC651.03c,SPBC12D12.05c,SPBC6B1.09c,SPBC1347.06c,SPBC713.06,SPBC1348.07,SPBC776.04,SPBC13A2.02,SPBC83.13,SPBC13E7.08c,SPBC839.11c,SPBC146.10,SPBC839.17c,SPBC1604.04,SPBC887.02,SPBC1683.01,SPBC887.05c,SPBC1685.02c,SPBC887.11,SPBC1685.04,SPBC8D2.18c,SPBC16A3.01,SPBC8E4.01c
SPCP1E11.09c,SPCC4B3.02c,SPCPJ732.01,SPCC4B3.05c,SPAC1039.07c,SPCC4B3.06c,SPAC1071.06,SPCC4B3.10c,SPAC1093.01,SPCC4B3.11c,SPAC1296.06,SPCC4G3.05c,SPAC12B10.06c,SPCC4G3.13c,SPAC12G12.11c,SPCC569.08c,SPAC13C5.01c,SPCC576.04,SPAC14C4.03,SPCC777.04,SPAC1F12.06c,SPCC970.06,SPAC1F7.07c,SPCP20C8.01c
