gene,before_wash,plate,color,position,ratio,source
empty,0.022123893805309727,1,red,A1_,0.6053571428571421,protein-coding
SPAC1002.20,0.5973451327433629,1,red,A2_,0.022420634920634886,protein-coding
SPAC11E3.06,0.013274336283185847,1,red,A3_,0.672619047619047,protein-coding
SPAC11E3.10,0.5486725663716815,1,red,A4_,0.01627304147465437,protein-coding
SPAC11E3.12,0.5442477876106195,1,red,A5_,0.02460801393728219,protein-coding
SPAC1296.04,0.5265486725663717,1,red,A6_,0.016956782713085226,protein-coding
SPAC13A11.03,0.5353982300884956,1,red,A7_,0.025014757969303383,protein-coding
SPAC13G7.03,0.504424778761062,1,red,A8_,0.03540100250626565,protein-coding
SPAC13G7.07,0.41592920353982304,1,red,A9_,0.05366641337386012,protein-coding
SPAC13G7.11,0.5398230088495576,1,red,A10_,0.024809718969554997,protein-coding
SPAC1420.03,0.5619469026548672,1,red,A11_,0.02383295838020244,protein-coding
SPAC1486.01,0.5309734513274337,1,red,A12_,0.016815476190476183,protein-coding
SPAC14C4.16,0.5575221238938054,1,red,B1_,0.008007369614512441,protein-coding
SPAC1527.02,0.45132743362831856,1,red,B2_,0.009891456582633018,protein-coding
SPAC15E1.06,0.49999999999999994,1,red,B3_,0.008928571428571399,protein-coding
SPAC15E1.09,0.44247787610619466,1,red,B4_,0.01008928571428568,protein-coding
SPAC1687.23c,0.42477876106194684,1,red,B5_,0.021019345238095233,protein-coding
SPAC16A10.05c,0.3628318584070796,1,red,B6_,0.024608013937282222,protein-coding
SPAC16E8.08,0.4469026548672566,1,red,B7_,0.01997878359264497,protein-coding
SPAC16E8.18,0.4292035398230088,1,red,B8_,0.020802650957290125,protein-coding
SPAC1751.04,0.45132743362831856,1,red,B9_,0.0197829131652661,protein-coding
SPAC1782.04,0.4469026548672566,1,red,B10_,0.01997878359264497,protein-coding
SPAC1782.11,0.008849557522123894,1,red,B11_,0.5044642857142839,protein-coding
SPAC1786.04,0.5486725663716815,1,red,B12_,0.008136520737327159,protein-coding
SPAC17D4.01,0.5265486725663717,1,red,C1_,0.008478391356542585,protein-coding
SPAC17G8.09,0.45132743362831856,1,red,C2_,0.009891456582633018,protein-coding
SPAC1805.08,0.4646017699115044,1,red,C3_,0.009608843537414933,protein-coding
SPAC1851.02,0.3893805309734513,1,red,C4_,0.011465097402597362,protein-coding
SPAC1952.02,0.2168141592920354,1,red,C5_,0.020590379008746284,protein-coding
SPAC19A8.11c,0.4203539823008849,1,red,C6_,0.010620300751879664,protein-coding
SPAC19D5.11c,0.3716814159292035,1,red,C7_,0.012011054421768665,protein-coding
SPAC1D4.11c,0.4469026548672566,1,red,C8_,0.009989391796322454,protein-coding
SPAC1F8.08,0.44247787610619466,1,red,C9_,0.01008928571428568,protein-coding
SPAC212.03,0.4690265486725664,1,red,C10_,0.009518194070080829,protein-coding
SPAC227.14,0.00442477876106194,1,red,C11_,1.0089285714285694,protein-coding
SPAC22F3.07c,0.49999999999999994,1,red,C12_,0.008928571428571399,protein-coding
SPAC22H10.02,0.5309734513274337,1,red,D1_,0.008407738095238065,protein-coding
SPAC23A1.03,0.43362831858407075,1,red,D2_,0.010295189504373142,protein-coding
SPAC23A1.11,0.00442477876106194,1,red,D3_,1.0089285714285694,protein-coding
SPAC23C11.08,0.44026548672566373,1,red,D4_,0.010139985642498168,protein-coding
SPAC23C11.10,0.45132743362831856,1,red,D5_,0.009891456582633018,protein-coding
SPAC23C4.16c,0.4557522123893805,1,red,D6_,0.00979542302357833,protein-coding
SPAC23C4.17,0.4690265486725664,1,red,D7_,0.009518194070080829,protein-coding
SPAC25B8.10,0.46017699115044247,1,red,D8_,0.0,protein-coding
SPAC25G10.06,0.07964601769911504,1,red,D9_,0.0,protein-coding
SPAC27E2.01,0.4380530973451327,1,red,D10_,0.0,protein-coding
SPAC27F1.10,0.48230088495575224,1,red,D11_,0.0,protein-coding
SPAC29A4.14c,0.504424778761062,1,red,D12_,0.0,protein-coding
SPAC29A4.17c,0.5353982300884956,1,red,E1_,0.01667650531286894,protein-coding
SPAC2C4.05,0.43362831858407075,1,red,E2_,0.010295189504373142,protein-coding
SPAC2C4.08,0.4690265486725664,1,red,E3_,0.009518194070080829,protein-coding
SPAC2C4.09,0.4469026548672566,1,red,E4_,0.009989391796322454,protein-coding
SPAC2F3.12c,0.3938053097345133,1,red,E5_,0.011336276083467054,protein-coding
SPAC2F3.18c,0.41592920353982304,1,red,E6_,0.010733282674771997,protein-coding
SPAC343.20,0.40707964601769914,1,red,E7_,0.010966614906832258,protein-coding
SPAC3A12.08,0.44247787610619466,1,red,E8_,0.0,protein-coding
SPAC3G6.02,0.3584070796460177,1,red,E9_,0.0,protein-coding
SPAC3G6.13c,0.4469026548672566,1,red,E10_,0.0,protein-coding
SPAC4G9.06c,0.5265486725663717,1,red,E12_,0.0,protein-coding
SPAC57A10.14,0.504424778761062,1,red,F1_,0.026550751879699207,protein-coding
SPAC589.11,0.4380530973451327,1,red,F2_,0.020382395382395377,protein-coding
SPAC5D6.01,0.39823008849557523,1,red,F3_,0.02242063492063491,protein-coding
SPAC5D6.08c,0.4469026548672566,1,red,F4_,0.01997878359264497,protein-coding
SPAC630.11,0.4292035398230088,1,red,F5_,0.020802650957290125,protein-coding
SPAC630.15,0.4380530973451327,1,red,F6_,0.010191197691197655,protein-coding
SPAC664.10,0.4690265486725664,1,red,F7_,0.009518194070080829,protein-coding
SPAC683.03,0.46017699115044247,1,red,F8_,0.0,protein-coding
SPAC694.03,0.47345132743362833,1,red,F9_,0.0,protein-coding
SPAC6B12.06c,0.46017699115044247,1,red,F10_,0.0,protein-coding
SPAC6B12.15,0.3893805309734513,1,red,F11_,0.011465097402597362,protein-coding
SPAC6F6.09,0.5088495575221239,1,red,F12_,0.0,protein-coding
SPAC6G9.09c,0.5353982300884956,1,red,G1_,0.025014757969303383,protein-coding
SPAC750.08c,0.43362831858407075,1,red,G2_,0.03088556851311949,protein-coding
SPAC823.02,0.4292035398230088,1,red,G3_,0.031203976435935157,protein-coding
SPAC824.07,0.44247787610619466,1,red,G4_,0.0302678571428571,protein-coding
SPAC890.07c,0.4778761061946903,1,red,G5_,0.018683862433862424,protein-coding
SPAC8C9.14,0.42477876106194684,1,red,G6_,0.021019345238095233,protein-coding
SPAC8C9.19,0.013274336283185847,1,red,G7_,0.672619047619047,protein-coding
SPAC8E11.04c,0.5088495575221239,1,red,G8_,0.008773291925465807,protein-coding
SPAC8E11.07c,0.008849557522123894,1,red,G9_,0.5044642857142839,protein-coding
SPACUNK4.19,0.44247787610619466,1,red,G10_,0.01008928571428568,protein-coding
SPAP11E10.01,0.4469026548672566,1,red,G11_,0.009989391796322454,protein-coding
SPAP27G11.16,0.5486725663716815,1,red,G12_,0.0,protein-coding
SPAPB17E12.02,0.588495575221239,1,red,H1_,0.022757787325456465,protein-coding
SPAPB17E12.03,0.504424778761062,1,red,H2_,0.03540100250626565,protein-coding
SPAPB17E12.04c,0.5530973451327434,1,red,H3_,0.024214285714285674,protein-coding
SPAPB17E12.05,0.4646017699115044,1,red,H4_,0.10569727891156461,protein-coding
SPAPB17E12.08,0.5221238938053098,1,red,H5_,0.034200968523002404,protein-coding
