,Sample,Lifespan,0.0025percent_MMS,0.0075percent_MMS,0.6M_KCl,0.6M_KCl_200mM_MgCl2,1.5mM_TBH,100ng.ml_Rapamycin,10mM_caffeine,10mM_caffeine_100ng.ml_Rapamycin,10mM_caffeine_5mM_LiCl,10mM_HU,10mM_HU_0.0025percent_MMS,10mM_HU_0.0075percent_MMS,10mM_HU_5mM_LiCl,10percent_EtOH,10ug.ml_calcofluor_10mM_HU,10ug.ml_calcofluor_150_NaCl,10ug.ml_calcofluor_200mM_MgCl2,10x_Antimycin,10x_Antimycin_5.7mM_Arginine,150mM_NaCl,150mM_NaCl_0.0025percent_MMS,150mM_NaCl_0.0075percent_MMS,150mM_NaCl_200mM_MgCl2,1mM_TBH,1x_Antimycin,200mM_MgCl2,20mM_Arginine,20mM_Aspartate,20mM_Aspartate_20mM_Lysine,20mM_Aspartate_20mM_Serine,20mM_Glycine,20mM_Glycine_20mM_Isoleucine,20mM_Isoleucine,20mM_Lysine,20mM_Proline,20mM_Proline_20mM_Lysine,20mM_Serine,20mM_Serine_20mM_Arginine,2mM_H2O2,2percent_EtOH,2percent_Fructose,2percent_Galactose,2percent_Galactose_2percent_Glycerol,2percent_Glycerol,2percent_Glycerol_0.0075percent_MMS,2percent_Glycerol_2.5g.l_NaAc,2percent_Glycerol_2.5g.l_NaAc_20mM_Arginine,2percent_Maltose,2percent_Maltose_100ng.ml_Rapamycin,2percent_Maltose_150mM_NaCl,2percent_Maltose_2percent_Sucrose,2percent_Sucrose,2percent_Sucrose_100ng.ml_Rapamycin,2ug.ml_calcofluor,2ug.ml_calcofluor_150mM_NaCl,2ug.ml_calcofluor_200mM_MgCl2,2ug.ml_calcofluor_5mM_LiCl,3mM_H2O2,5mM_LiCl,5mM_LiCl_150mM_NaCl,5mM_LiCl_200mM_MgCl2,antimycin,EMM,EMM_Low_Agar,EMM_M,H2O2,JB1197_2days_exhausted,JB1197_7days_exhausted,JB22_2days_exhausted,JB22_7days_exhausted,JB762_2days_exhausted,JB762_7days_exhausted,JB889_7days_exhausted,NaN3,oligomycin,Sc_2days_exhausted,YES,ratio
0,JB1117,15.064686090537,-1.73120760468137,0.377306788448567,0.228347607212496,0.369511647996701,-0.450541771814581,-0.552696433264084,-2.0811832811544,-3.72495772446404,-4.26472662137122,-2.89424642014727,-2.63785751984207,-2.07861720145814,-4.13636906137299,-0.976707107598551,-2.25418869069288,-3.8261703283624,-2.84522585428697,-0.747509865880192,-0.246700079875407,-2.48455376193793,-3.1934079383891,-0.366745619355624,-0.941895634691001,0.207177154881802,-0.669893798393472,-0.816653823887669,-2.01031806944469,-2.70500966159107,-2.29864673511078,-1.9355252327957,-2.78597185879144,-1.69929641140132,-1.01935043966047,-2.18835598998237,-4.18721282106971,-1.82994130589756,-1.11725531375772,-0.660096365328498,-0.153417080523539,-1.411295557886,-0.729445155496595,-2.92899920634418,-3.28029789534033,-1.91766342867422,-0.976484709131585,-3.08279575011438,-2.30159366096619,-1.0057899426254,-1.24546069561531,-1.61616801558828,-0.419315673151524,-0.18415295139677,-0.599460924515885,-0.464551687811097,-1.49752292234266,-0.16845368286448,-2.65588480697873,-1.24227893631879,-3.07419312913624,-2.92710440829333,-0.121221117666585,-0.620259988405797,-1.16410919159361,-0.484847114411504,-0.369931689664148,-0.323934075276403,-0.77726585214965,-0.765811161273156,-0.943132999851444,-1.36281456163063,-0.767227632828952,-0.45500831061561,-0.830829624252482,-1.18065855165261,-0.728024422271434,-0.831584173230202,-0.797373917848057,0.5496602437943953
1,JB1154,11.3807461001899,-0.195699401734475,1.1663232355643,-0.0699856539073839,-0.0960433185730889,1.89323647578347,-0.347314417179561,-0.031539635925515,-0.177219965209404,-0.238126102499969,0.0354400143438554,0.184594564856045,-0.417812519669038,0.452884926662494,-0.506252994807565,0.395614283507695,-0.278731192376471,-0.225573487368791,-0.0843579352582002,0.17911517699269,-0.240251867457032,-0.0567540691777629,1.07306993129994,-0.105728123977594,0.532371967471281,0.0090971067598383,-0.0252402813850517,-0.26109414107626,-0.645816733289572,-0.461557765703178,-0.239999086591209,-0.622795762612157,-0.517612271288072,-0.0830174790147307,-0.295465895384258,-1.42079213899001,-1.12162949844412,-0.20414906264208,-1.95497399021487,0.0847314240957763,0.0508632723895744,-0.275013512783414,-0.486995473106904,-2.52421605521775,-0.983094068335003,-0.286263196716082,-0.704527075018097,-1.17361042076551,-0.9913172951168,-1.11114736408215,-0.521518601559872,0.1551084819567,0.0427296827508873,-0.252429528895505,-0.223113869094974,-0.244786175232524,-0.0330302444054936,-0.340423317141736,0.0590030918403951,-0.350923283018605,-0.357644538975891,-0.136645229737286,-0.040419108012723,-0.0954228439199316,0.0795851244552173,0.0188413547630673,-0.128683505781965,-0.180656506727635,-0.179677546210104,-0.134771093516127,-0.250587490281671,0.199216452185018,-0.090119866737806,-0.0736163714376739,-0.373160784029742,-0.24618639309583,-0.0996716161513451,-0.238799420105797,0.1725328613308456
2,JB1171,10.1860059272242,-0.0568726600206221,1.2826232380031,0.0704984105888727,0.249355753622512,1.53855432287384,0.0899491340830719,-0.0745818719337903,-0.301971915940621,-0.153172979982916,-0.302209248076253,-0.0558254583590954,-0.544691362172735,0.665840858652094,-0.837653984882027,0.572640595931112,-0.13494503140807,-1.01447459058092,0.0179674273533038,0.186901749214704,-0.174589132126923,-0.0004086346781911,1.13790774971807,-0.293868898268009,0.794425558268252,-0.0461911180592677,-0.446184513151515,-0.211790376870084,0.401559807909017,0.114016616631821,-0.337122250721605,-0.537873528480829,-0.226172074689809,-0.827818367064296,-0.151674888001524,-1.1351557375398,-1.02897503699096,-0.360058514425653,0.366397623764982,0.0675995883744461,0.152214655462862,0.0640536561605242,-0.107802107388087,-1.688043313991,-0.464118902185235,0.15818510404568,-0.345594708193635,-0.325446855665837,-0.204159908799022,-0.123542560642601,-0.17187932824351,0.265137200069791,0.0927255340681096,0.11639766982595,-0.295494877847559,-0.285847488183372,-0.155943647034813,-0.0894913470584949,-0.150365615006997,-0.16801411728203,0.43110527166418,-0.268989535865079,0.137518020692653,-0.139844523120342,0.0223193543614667,0.0159888374392412,-0.145387661573201,0.0851805106998111,-0.0937186687582658,0.141151833567846,-0.111486210439841,0.0477345477750471,-0.0269308954471711,0.226693501909461,-0.134867363475566,-0.138449887313972,0.0344037181148961,-0.185420103347372,0.1710958771890544
3,JB1174,10.2944358584443,-0.0765665531480032,1.35874764616013,0.0803369588460777,0.207168706307443,1.0085172517054,-0.0044976183838874,-0.232119070031648,-0.191914836800799,-0.157246189391219,-0.335314133499301,-0.304512933583319,-0.392936029186357,0.715839134793892,-1.375873070624,0.537726792259554,-0.111432675982951,-1.3383783312373,-0.0139880348631264,0.155774447465677,-0.252057889881064,0.0008989474618541,1.12469669826318,-0.183901685029633,0.656978167441071,-0.0160251026897938,-0.37979679434406,-0.387278459009944,0.379199136229123,-0.0080398305026832,-0.316342711296016,-0.676336604156949,-0.261854819880521,-1.03805130323874,0.0452259155072237,-1.20617900016355,-1.17959967173146,-0.388498426125824,0.243542713075753,-0.0218010995844646,0.0008657010480754,0.0445765802361997,-0.61169596210274,-1.8680296655233,-0.436371003262171,0.11388127474268,-0.395316149354369,-0.446115818838572,-0.260902142315295,-0.142225449646068,-0.16570928049902,0.260675528994091,0.101119307377363,0.113380950776804,-0.330659514743182,-0.314613660454364,-0.295182125575742,-0.0681512685473692,-0.0739434397526497,-0.215667801620762,0.449453394178267,-0.304785019294018,0.0547824586256695,-0.119267063626269,-0.0333029782504314,0.0126430752313643,-0.139017208494558,0.109269410867262,-0.113715533754654,0.0904040393474836,-0.103244356956639,0.136541837091893,-0.0322752674268416,0.191570720566978,-0.208326968885459,-0.191920888810692,0.0400639784934842,-0.306915644983818,0.1899870632874484
4,JB1180,6.02653417637454,-0.655250639841704,0.216232846458605,-0.432042409245951,-0.694405832739712,-1.19876831089931,-0.87524335741544,-1.1746602131618,-1.46309105636705,-1.70747867974166,-2.17055303998504,-2.89485189862905,-2.32767219296423,-2.69208612851846,-2.12499981904639,-1.73423503113838,-1.27469446157263,-5.63814017401886,-0.330821334344321,-0.464425148525625,-0.747294852251867,-0.942198536069174,0.269893125439783,-1.03278296601447,-0.695042309635857,-0.37205457537634,-1.3731269347711,-1.91551028521906,-1.88661816100977,-2.50701155028842,-3.25280417266835,-3.31248189170946,-1.5764660460908,-1.01314843499777,-2.53562940302082,-2.70467544547987,-4.23123802325952,-1.73766914612922,-3.35274990177206,-1.32791133137977,-2.7380658720954,-0.910758398121638,-3.45768155371549,-2.81266917846783,-1.63198564154898,-2.49492503641678,-2.67626745237109,-4.33509750605892,-1.59002261997838,-0.914309620558915,-0.698744741131415,-0.147889271244222,-0.322079160491074,-0.867308430309094,-0.686766665297064,-0.574265091878065,-1.17590965023866,-1.48199263440141,-1.786684967036,-1.44394188483142,-1.56185048164019,-1.14083008694121,-0.787928987632317,-1.30110785869866,-0.585962120341795,-0.594778500397775,-1.04623115068489,-0.702351325072803,-1.05061197295833,-0.667337290578568,-1.66284456472454,-0.576780522154666,-0.757526040238492,-0.573978747549859,-1.22917933442979,-0.942335996690421,-1.62495491561374,-1.10778148896957,0.1560855438970461
5,JB1205,7.22656071826353,0.125148016315127,1.10907325214281,-0.60317898394492,-1.52844029370971,2.2320805312657,-0.375304793577251,-0.288994317542069,-1.28290610240509,-3.01627882278718,-0.0383289190637993,-0.139255993664947,0.229122191031826,-0.779016461968023,-0.186557067530657,0.0026726015162085,-0.549817901580108,0.216964198738356,0.0712568185297604,0.286699399373326,-0.512192693186568,-0.326923825276472,0.811687840883801,-0.50207953508195,0.325773675772632,0.0878957545576696,-0.0880942546197166,0.0728333465984168,-1.47816123302538,-0.0487831154531462,-1.20310604151737,-0.306275665749087,-1.06964772633838,-0.64029414266517,0.0570976193809541,-0.943477112004194,-2.14666697083166,-0.155818356503862,-0.423853604100758,-0.270310092719026,0.16808048307559,-0.19485065960176,1.09337582823113,-0.743573902678887,-0.66810778660396,0.432499908752802,-1.50926079484377,-0.694765677276381,-0.393321710166485,-0.743123914154894,-0.13551909154782,-0.0926631009713943,-0.290641825357705,-0.547286666894714,-0.299759484205495,-0.612937922227347,0.0133543086937694,-3.00266844109326,-0.226161124567324,-3.70033797912814,-2.29908445468649,-6.1573418591541e-06,0.166576530050603,-0.467398722094364,-0.0374372795064278,-0.0100493126266493,-0.241252920341635,0.685420851511108,0.340291428326021,0.922880379040776,0.706122690759155,0.691418789362744,0.637133084249973,0.190501891295504,-0.0664974943437101,-0.171540261814251,0.578721205917211,-0.364985930130399,0.0576589834979603
6,JB1206,14.7448071590115,-0.0926786308453257,1.04553046358261,-0.755166149039919,-1.68945225634962,1.3450173304589,-0.524354309626264,-0.410311969707448,-0.820158234273394,-1.64003465443905,0.179120546971202,0.044888169937041,0.22866644715652,-0.311180542524401,0.493577447075918,0.212433051694557,-0.443802112630116,-0.236942852442757,-0.0673749652837744,-0.0791006017949755,-0.471632199141963,-0.421934032682398,0.524417346124314,-1.03565391883754,0.601028671140164,-0.376900264987308,-0.323838793352512,0.110136734824266,-0.513884749239518,0.243383490230762,-0.637593276637878,-0.14692317220002,-1.08052443386106,-0.790943944149773,0.327184370279047,-0.88363565601013,-0.0167619246596508,-0.218193202435711,-0.0639709424643738,0.0050269901411616,-0.0273630766675539,-0.350471928301661,1.95831909485552,-0.114687812651099,-0.588242841279435,0.513212543718852,-1.74738758393964,-0.889602358175925,-0.508889645341977,-0.871766881016527,-0.274639851293271,-0.217442043162899,-0.614538016698005,-0.714753440064693,-0.43052431130627,-0.540907293484882,-0.163218676163701,-1.70846465468103,-0.0801417406193821,-2.01033068288254,-1.74873827366919,-0.196751207790688,-0.454557284902199,-0.674340536887306,-0.4019302056388,-0.320461954179246,-0.31676479525629,0.33308263314206,0.49786281836599,0.358728802210722,1.00213228516275,0.300944482594304,0.92130473998654,0.486302425354891,-0.39991963761137,-0.247129044228037,0.39065019879977,-0.407243915432609,0.0506615481199293
7,JB1207,3.2146170036605,-0.240734214319872,0.4086436223793,-2.36045182279789,-2.91816692142414,2.78691522624325,-0.218911627098566,-0.917794139614519,-0.906386697229689,-2.19752361429479,0.039810074151526,0.0497981284201969,-0.0378817647134588,-0.333387174001762,-0.43449445420317,-0.0432515526008564,-0.786865443063436,-1.73783025427765,-0.0832700827855586,0.193287820997223,-0.911169673035053,-0.705757093672966,-0.473612105375887,-3.25567552537165,0.407221761717232,0.0814882679960359,-1.95924018295972,-0.394068649510733,-0.542745792918433,-0.30108026684593,-0.660334677800789,-0.634200026153822,-1.21337069640419,-0.921748388471285,-0.336696177127671,-1.29882717515897,-1.33055548999374,-0.121740308705571,-3.29296145597625,-0.232163184903598,-0.312794052084709,-0.0247683807771608,0.726638735308637,-0.296646232664974,-0.484857699507742,0.113765599280996,-1.33970342887032,-1.23070463307062,-0.0828087430296922,-0.61644902843907,-0.420488929428686,0.0139598496640873,-0.01143295945279,-0.253984856913863,-0.522065596915201,-0.855155701017676,-1.39102125696946,-1.07994345353872,-0.369154492728132,-1.33493332672271,-1.10283692796866,-1.31622356939437,-0.467911656398401,-0.237224101909285,-0.152617877161018,-0.0510531116877142,-0.525699210553484,0.309409928353778,-0.0920484096247085,0.12486428552932,-0.113945272377206,0.229319390434504,0.139372959560554,-0.196319061766767,-0.474793984853795,-0.435874440791543,-0.0130325260438927,-0.509130993073531,0.0365762230422273
8,JB22,7.54639726466785,-0.0882824572045642,-0.0208235889981256,-0.262917916563438,-0.164429975738091,-0.712490429511358,-0.0984520192144087,-0.137117433694903,-0.195180419836307,-0.122077892765936,-0.0811406045738945,-0.0882328886115291,-0.200773762840409,-0.197501179873983,-2.52165272309565,-0.0296095554249995,-0.184551351728129,-0.15526913339324,-0.0615761796204399,-0.141360814554613,-0.14713008474618,-0.301088783229399,-0.0821451002056079,-0.16924177352062,-0.0385149786033434,-0.0791428152259284,-0.251915256244829,-0.145955103113937,-0.126020993529987,-0.222315214949326,-0.0930171735698801,-0.1207960631098,-0.0846339160580951,-0.066546184598218,-0.185719983099306,-0.0937917141611201,-0.0716869562523806,-0.0488549700208502,-0.0583746975640245,-0.109744206815867,-0.309335503609601,-0.0631916044651209,-0.451033267446,-0.155523729685081,-0.132772910891022,-0.28735729448899,-0.0683576948191121,-0.17926824650024,-0.0761406836235553,-0.142831507413888,-0.0517908342476495,-0.0921457777209091,-0.0822659652401197,-0.0921992283118532,-0.190950326278142,-0.0896039274011184,-0.188892709140184,-0.143180130962057,-0.115337016914815,-0.150268349996173,-0.370568199135006,-0.107772291905624,-0.216591334547246,-0.15853572999087,-0.108449603188646,-0.0574947902228352,-0.112148436124445,-0.198312225760621,-0.627534230414962,-0.250845307397543,-0.895627163546753,-0.215083898917693,-0.215502888368487,-0.314665518452447,-0.260568388654165,-0.191221153343432,-0.627040101306133,-0.191968561744288,0.0996395362322635
9,JB4,10.495792007885,0.600204060193476,1.72430065906153,0.454563531533904,0.218817401508542,1.81509634110257,0.835213417460557,0.702569822130299,0.893012568998715,0.827765132441424,0.742281814855576,0.844999785887095,0.296120941989878,1.04069157453057,0.17012667017072,0.991886917975443,0.436599008299396,0.388127292754545,0.657858961543557,0.878309656825596,0.410443788312367,0.660684804042369,1.5279231184187,0.0482058478168336,0.597058802033727,0.74805723361871,0.262184711547694,0.0121597895130292,1.00583660908473,0.660726682454776,0.163410826288288,0.256995061634976,0.31904114679572,0.514535632968868,0.37499931110113,0.23111542688471,0.327614648046229,0.336139562959045,0.453137211107917,0.542224916448714,0.209405348234922,0.808470396800264,0.271632173661191,0.104223428605842,0.719196056788935,0.242485504075236,0.371546793777199,0.137158341366835,-0.215136286728946,0.75005665606632,0.313170579823082,0.820147016382603,1.02540515290312,0.990468209057309,0.392466111774159,0.33781928805444,0.494664097774439,0.133891636996905,0.575105763624073,0.29802526199853,0.249369697059449,0.447576940631585,0.587779418482542,0.561809776626959,0.94248860663723,0.854042153449887,0.571184503432532,0.652580620084123,0.189530973774762,0.195063664293129,0.263923717971989,0.587621245431118,0.337216628821103,0.645857035592092,0.349729549547175,0.460963410432354,0.183227252170805,0.443469729932803,0.1537245462900852
