,gene,before_wash,plate,color,position,ratio,source,ecdf,median_or_mean,384_row,384_col,coord,name,function
0,SPAC23H3.03c,0.15760869565217392,1,green,B_12_,0.8198372723750483,bioneer,1.0,median,[4],[24],1_[4]_[24],npr2,GATOR1-SEACIT GTPase complex subunit Npr2
1,SPAC26F1.03,0.57847533632287,7,blue,E_1_,0.7596899224806203,bioneer,0.999669093315685,median,[9],[2],7_[9]_[2],pda1,pyruvate dehydrogenase e1 component alpha subunit Pda1
2,SPBC2G2.13c,0.5291479820627804,7,blue,B_2_,0.6440677966101693,bioneer,0.99933818663137,median,[3],[4],7_[3]_[4],dcd1,deoxycytidylate deaminase
3,SPAC13D6.01,0.4311111111111111,5,blue,A_1_,0.6297522974296776,bioneer,0.999007279947055,median,[1],[2],5_[1]_[2],pof14,F-box protein Pof14
4,SPAC959.08,0.25118483412322273,6,red,C_2_,0.5772641509433962,bioneer,0.99867637326274,median,[5],[3],6_[5]_[3],rpl2102,60S ribosomal protein L21
5,SPBC405.07,0.48908296943231444,6,blue,H_12_,0.5695123939986954,bioneer,0.9983454665784249,median,[15],[24],6_[15]_[24],rpl3602,60S ribosomal protein L36
6,SPAC637.09,0.18385650224215247,7,blue,B_1_,0.5121951219512195,bioneer,0.9980145598941098,median,[3],[2],7_[3]_[2],rex1,3'-5'- exoribonuclease Rex1
7,SPAC144.01,0.11594202898550726,7,green,H_8_,0.5050675675675677,bioneer,0.9976836532097948,median,[16],[16],7_[16]_[16],,Schizosaccharomyces specific protein
8,SPAC977.14c,0.37777777777777777,5,blue,C_1_,0.49108331115251536,bioneer,0.9973527465254798,median,[5],[2],5_[5]_[2],,"aldo/keto reductase, predicted calcium channel regulator"
9,SPAC23H4.10c,0.14285714285714288,5,red,D_12_,0.48514851485148514,bioneer,0.9970218398411648,median,[7],[23],5_[7]_[23],thi4,bifunctional thiamine-phosphate dipyrophosphorylase/hydroxyethylthiazole kinase
10,SPAC22A12.03c,0.42666666666666675,5,blue,B_1_,0.4772341628959275,bioneer,0.9966909331568498,median,[3],[2],5_[3]_[2],csn4,COP9/signalosome complex subunit Csn4
11,SPAC1783.04c,0.37668161434977576,7,blue,D_8_,0.45238095238095244,bioneer,0.9963600264725347,median,[7],[16],7_[7]_[16],hst4,"histone deacetylase, Sirtuin family, NAD-dependent Hst4"
12,SPBC691.04,0.3084577114427861,3,green,H_7_,0.4449715370018975,bioneer,0.9960291197882197,median,[16],[14],3_[16]_[14],mss116,mitochondrial ATP-dependent RNA helicase Mss116
13,SPBC354.05c,0.26190476190476186,3,yellow,B_3_,0.39160839160839156,bioneer,0.9956982131039047,median,[4],[5],3_[4]_[5],sre2,"DNA-binding transcription factor, membrane-tethered Sre2"
14,SPAC10F6.01c,0.29906542056074764,10,red,C_1_,0.3769914215686274,bioneer,0.9953673064195897,median,[5],[1],10_[5]_[1],sir1,sulfite reductase beta subunit Sir1
15,SPAC3H1.04c,0.38495575221238937,6,green,D_12_,0.3621794871794872,bioneer,0.9950363997352747,median,[8],[24],6_[8]_[24],mdm31,"mitochondrial inner membrane protein Mdm31, unknown biological role, interacts with ERMES"
16,SPCC895.07,0.2242152466367713,7,blue,B_4_,0.32000000000000006,bioneer,0.9947054930509597,median,[3],[8],7_[3]_[8],alp14,TOG/XMAP215 microtubule plus end tracking polymerase Alp14
17,SPAC1D4.06c,0.39336492890995267,4,red,D_3_,0.3040871620453104,bioneer,0.9943745863666446,median,[7],[5],4_[7]_[5],csk1,cyclin-dependent kinase activating kinase Csk1
18,SPBC83.16c,0.4177777777777778,5,blue,D_1_,0.2816020025031289,bioneer,0.9940436796823295,median,[7],[2],5_[7]_[2],,protein with a role in clearing protein aggregates
19,SPAPB1E7.12,0.38565022421524664,7,blue,B_12_,0.27906976744186046,bioneer,0.9937127729980145,median,[3],[24],7_[3]_[24],rps602,40S ribosomal protein S6
20,SPAC1B2.04,0.12962962962962965,1,yellow,G_6_,0.27272727272727254,bioneer,0.9933818663136995,median,[14],[11],1_[14]_[11],cox6,cytochrome c oxidase subunit VI
21,SPCC74.05,0.28712871287128716,1,blue,H_2_,0.2679045092838196,bioneer,0.9930509596293845,median,[15],[4],1_[15]_[4],rpl2702,60S ribosomal protein L27
22,SPAC607.02c,0.13999999999999999,9,green,C_2_,0.2525252525252526,bioneer,0.9927200529450695,median,[6],[4],9_[6]_[4],,conserved fungal protein
23,SPBC2D10.07c,0.17727272727272725,8,yellow,H_2_,0.25183150183150177,bioneer,0.9923891462607545,median,[16],[3],8_[16]_[3],mmp1,mitochondrial inner membrane peptidase complex catalytic subunit
24,SPBP8B7.18c,0.1570680628272251,3,red,F_1_,0.24845528455284543,bioneer,0.9920582395764395,median,[11],[1],3_[11]_[1],,phosphomethylpyrimidine kinase
25,SPAC323.05c,0.1592039800995025,3,green,C_2_,0.24632352941176466,bioneer,0.9917273328921244,median,[6],[4],3_[6]_[4],mtq2,eRF1 methyltransferase Mtq2
26,SPAC13D6.02c,0.35111111111111115,5,blue,A_2_,0.2448593848444928,bioneer,0.9913964262078094,median,[1],[4],5_[1]_[4],byr3,"translational activator, zf-CCHC type zinc finger protein"
27,SPCC188.07,0.55,6,yellow,G_1_,0.24350649350649348,bioneer,0.9910655195234944,median,[14],[1],6_[14]_[1],ccq1,shelterin complex HEAT repeat subunit Ccq1
28,SPAC6F12.10c,0.22429906542056072,10,red,B_8_,0.24040032679738566,bioneer,0.9907346128391794,median,[3],[15],10_[3]_[15],ade3,phosphoribosylformylglycinamidine synthase Ade3
29,SPAC15A10.17,0.24766355140186913,10,red,D_6_,0.23751387347391795,bioneer,0.9904037061548643,median,[7],[11],10_[7]_[11],coa2,cytochrome c oxidase assembly protein Coa2
30,SPAC3H1.14,0.40888888888888897,5,blue,F_1_,0.23239228801888642,bioneer,0.9900727994705493,median,[11],[2],5_[11]_[2],gid4,GID complex subunit Gid4
31,SPCC132.04c,0.13106796116504854,2,green,A_12_,0.22550629447181164,bioneer,0.9897418927862343,median,[2],[24],2_[2]_[24],gdh2,NAD-dependent glutamate dehydrogenase Gdh2
