strain,ratio,before_wash,sem
X968,0.06275034582117785,0.48371881971021,0.006628215654884091
Y0036,0.2176665077710483,0.46023284677223275,0.026049219525714387
R1_1,0.05446271704189658,0.5109250690450108,0.0036595350272907432
R1_2,0.0674948311191373,0.4894845554485167,0.007248864634177428
R1_3,0.03085702435978844,0.5323692396562276,0.0026987647705513916
R1_4,0.9705563754281652,0.22016078845625392,0.029443624571834737
R1_5,0.06386521165121575,0.4594655410883853,0.006777543100676123
R1_6,0.041537469944315654,0.48445428690824377,0.0048270476397294804
R1_7,0.9258879054172666,0.2041380407241049,0.034973397387373664
R1_8,0.05922586938652832,0.3560607160538539,0.00740894516376904
R1_9,0.03002130058061816,0.5108720474920627,0.00296658595219239
R1_10,0.024247498561101904,0.5085500814326844,0.002561420663689557
R1_11,0.06392104733255709,0.2914395421312355,0.012229223852037467
R1_12,0.5340099090844397,0.37137854222753897,0.059228378491793285
R1_13,0.03591621724280124,0.5673526828071045,0.0034287334340626623
R1_14,0.06054742616108899,0.41844880561428016,0.006341494169611541
R1_15,0.03664090915266524,0.38626980758618534,0.005480483537829624
R1_16,0.019688053068128635,0.448258226452915,0.002273946869752817
R1_17,0.023202004409500848,0.520135305007589,0.0018960078223688856
R1_18,0.16512484002590638,0.5065045946879814,0.020383615117685425
R1_19,0.041495123072479864,0.4851351094328044,0.003660988620421747
R1_20,0.0287008340231392,0.5104182004493115,0.0023395378233480243
R1_21,0.2792887084265314,0.3684661440267541,0.10477025679254585
R1_22,0.019424789950164882,0.4598095751981856,0.002036674095536382
R1_23,0.029938113166707636,0.4256585348125007,0.0023501350965861667
R1_24,0.18047466655124547,0.4506958510317617,0.0312840494858268
R1_25,0.03154126659015601,0.4680123728407411,0.003758569898756223
R1_26,0.026961194080925437,0.4582358931533543,0.0026389779968681295
R1_27,0.03261557858918811,0.3197205898209613,0.005316589052245331
R1_28,0.009659510330980415,0.5127042894759708,0.002148552745764191
R1_29,0.05915503923096206,0.4342108546945232,0.027322596933614624
R1_30,0.01660962740740584,0.5267334877820964,0.0014382168770109061
R1_31,0.031426773571214095,0.5176749341395939,0.0029758137919325247
R1_32,0.02400033201696105,0.5166830304076191,0.0039053207036900905
R1_33,0.009390418731535084,0.49567351615460825,0.001980686789595172
R1_34,0.3615467894312084,0.18096357535304197,0.10688770886427387
R1_35,0.04428790469019205,0.31151269925089214,0.0078999120408966
R1_36,0.2558556823714927,0.33360445514712733,0.10387568687350077
R1_37,0.02161497245908187,0.44313981666994556,0.0045729982685381735
R1_38,0.01773229755065079,0.4167406438355591,0.002491776515711958
R1_39,0.23371227147411636,0.3950830880478581,0.052094763921409125
R1_40,0.0642199013182314,0.47057206088919984,0.012199105312779715
R1_41,0.006471723730536075,0.4558408079120834,0.0013323376046199846
R1_42,0.06421093096498616,0.40965623375692806,0.019431039959299477
R1_43,0.0561751197291813,0.46968681283867203,0.006208554876951085
R1_44,0.0362932583415152,0.48683867435847034,0.005990744677748884
R1_45,1.0,0.2269488193632328,0.0
R1_46,0.011505980938857253,0.480180252607048,0.006372209594717807
R1_47,0.17399379293344294,0.3808485224237478,0.07545660246648671
R1_48,0.012080705363764974,0.5544202831601931,0.0025495584329962954
R1_49,0.09546282444565779,0.4282595185303134,0.025520261343782765
R1_50,0.30926858349827413,0.38876138199464305,0.048929693581272846
R1_51,0.7317668016398453,0.4106326016478393,0.07545000048092997
R1_52,0.4305963631569452,0.36889712403766767,0.05505388333396384
R1_53,0.018536292931450704,0.48859725290021877,0.00739155077947138
R1_54,0.9944153337724142,0.16025396591615904,0.005584666227585787
