,gene,correlation,p-value,systematic_names,p-value adj,function,sense function
807,pfl8,0.6701334152977371,8.739613465576574e-09,SPAC1F8.06,5.887877591758938e-05,"cell surface glycoprotein, flocculin Pfl8","cell surface glycoprotein, flocculin Pfl8"
3423,mbx2,0.6332097687410869,9.608735393721706e-08,SPBC317.01,0.0006473405034750314,"DNA-binding transcription factor, MADS-box Pvg4","DNA-binding transcription factor, MADS-box Pvg4"
4038,pfl3,0.6203480318571871,2.0598691125774937e-07,SPBC947.04,0.0013877338211434574,"cell surface glycoprotein, flocculin Pfl3, DIPS...","cell surface glycoprotein, flocculin Pfl3, DIPS..."
5268,SPNCRNA.1083,0.5975169104029917,7.351297905075151e-07,SPNCRNA.1083,0.004952569398649129,intergenic RNA (predicted),intergenic RNA (predicted)
4059,SPBC9B6.11c,0.5876398349490878,1.237024961970814e-06,SPBC9B6.11c,0.008333837168797374,CCR4/nocturin family endoribonuclease,CCR4/nocturin family endoribonuclease
6431,SPNCRNA.72,0.5827474517803316,1.590689528976039e-06,SPNCRNA.72,0.010716475356711575,unknown,unknown
1426,pac2,0.576747359214876,2.153343726440386e-06,SPAC31G5.11,0.014507076685028882,cAMP-independent regulatory protein Pac2,cAMP-independent regulatory protein Pac2
506,mfs1,0.5739780857231273,2.471399013500374e-06,SPAC17C9.16c,0.01664981515395202,plasma membrane xenobiotic transmembrane transp...,plasma membrane xenobiotic transmembrane transp...
3053,SPBC1A4.04,0.5646240952621092,3.8998822084280485e-06,SPBC1A4.04,0.026273506438179762,Schizosaccharomyces specific protein,Schizosaccharomyces specific protein
2850,hop1,-0.5509931157416125,7.398401355949426e-06,SPBC1718.02,0.04984302993503128,linear element associated protein Hop1,linear element associated protein Hop1
4269,dfr1,0.5483469210717192,8.350584654898714e-06,SPCC1223.08c,0.056257888820052636,dihydrofolate reductase/ lysophospholipase fusi...,dihydrofolate reductase/ lysophospholipase fusi...
6598,eta2-antisense-1,0.5472392116750197,8.782015065145066e-06,SPNCRNA.872,0.05916443549388231,antisense RNA (predicted),"Myb family protein, RNA polymerase I terminatio..."
6442,SPNCRNA.73,0.5423468285062635,1.0946980270478065e-05,SPNCRNA.73,0.07374980608221073,unknown,unknown
3534,pfl7,0.5417006646915221,1.1267362560736466e-05,SPBC359.04c,0.07590822157168158,"cell surface glycoprotein, flocculin Pfl7, DIPS...","cell surface glycoprotein, flocculin Pfl7, DIPS..."
1837,bdf2,-0.5414545070478112,1.139168618226027e-05,SPAC631.02,0.07674578980988744,BET family double bromodomain protein Bdf2,BET family double bromodomain protein Bdf2
4029,ecl3,0.536112324615386,1.4424426400689986e-05,SPBC8E4.12c,0.09717736066144843,extender of chronological lifespan protein Ecl3,extender of chronological lifespan protein Ecl3
6453,SPNCRNA.74,0.5249311752137102,2.3340048533266775e-05,SPNCRNA.74,0.15724190696861826,unknown,unknown
6597,SPNCRNA.871,0.5229325471981722,2.539151198990723e-05,SPNCRNA.871,0.17106261627600503,antisense RNA (predicted),antisense RNA (predicted)
4987,put1,0.5221926714274253,2.6192342645111553e-05,SPCC70.03c,0.17645781240011654,proline dehydrogenase Put1,proline dehydrogenase Put1
