SPAC1002.01	PomBase:SPAC1002.01	mrx11	chromosome_1	mitochondrial expression network (MIOREX) component Mrx11	Q9US57	protein coding gene	SPAC1610.05
SPAC1002.02	PomBase:SPAC1002.02	pom34	chromosome_1	nucleoporin Pom34	Q9US56	protein coding gene	mug31
SPAC1002.03c	PomBase:SPAC1002.03c	gls2	chromosome_1	glucosidase II alpha subunit Gls2	Q9US55	protein coding gene	
SPAC1002.04c	PomBase:SPAC1002.04c	taf11	chromosome_1	transcription factor TFIID complex subunit Taf11	Q9US54	protein coding gene	
SPAC1002.05c	PomBase:SPAC1002.05c	jmj2	chromosome_1	histone demethylase Jmj2	Q9US53	protein coding gene	kdm5
SPAC1002.06c	PomBase:SPAC1002.06c	bqt2	chromosome_1	bouquet formation protein Bqt2	Q9US52	protein coding gene	mug18,rec23
SPAC1002.07c	PomBase:SPAC1002.07c		chromosome_1	spermidine/spermine/histone N1-acetyltransferase	P79081	protein coding gene	ats1
SPAC1002.08c	PomBase:SPAC1002.08c	mtf1	chromosome_1	mitochondrial RNA polymerase specificity factor, predicted rRNA methyltransferase Mtf1	Q9US51	protein coding gene	
SPAC1002.09c	PomBase:SPAC1002.09c	dld1	chromosome_1	dihydrolipoamide dehydrogenase Dld1	O00087	protein coding gene	dldh
SPAC1002.10c	PomBase:SPAC1002.10c	sgt1	chromosome_1	snRNP binding protein Sgt1	Q9US49	protein coding gene	
SPAC1002.11	PomBase:SPAC1002.11	gaa1	chromosome_1	GPI-anchor transamidase complex subunit Gaa1	Q9US48	protein coding gene	
SPAC1002.12c	PomBase:SPAC1002.12c		chromosome_1	succinate-semialdehyde dehydrogenase [NAD(P)+]	Q9US47	protein coding gene	
SPAC1002.13c	PomBase:SPAC1002.13c	psu1	chromosome_1	cell wall beta-glucosidase Psu1	Q9UR09	protein coding gene	
SPAC1002.14	PomBase:SPAC1002.14	itt1	chromosome_1	ubiquitin-protein ligase E3 involved in cytoplasmic translational termination	Q9US46	protein coding gene	
SPAC1002.15c	PomBase:SPAC1002.15c	med6	chromosome_1	mediator complex subunit Med6	Q9US45	protein coding gene	pmc5
SPAC1002.16c	PomBase:SPAC1002.16c	tna1	chromosome_1	carboxylic acid transmembrane transporter Tna1	Q9US44	protein coding gene	
SPAC1002.17c	PomBase:SPAC1002.17c	urg2	chromosome_1	uracil phosphoribosyltransferase	Q9US43	protein coding gene	
SPAC1002.18	PomBase:SPAC1002.18	urg3	chromosome_1	DUF1688 family fungal conserved protein, implicated in uracil or riboflavin metabolism	Q9US42	protein coding gene	
