"","haplogroup","chr","p_val"
"1",1,"chromosome_1",0.15685
"2",NA,"chromosome_1",NA
"3",NA,"chromosome_1",NA
"4",NA,"chromosome_1",NA
"5",NA,"chromosome_1",NA
"6",NA,"chromosome_1",NA
"7",1,"chromosome_1",0.15685
"8",2,"chromosome_1",0.1795
"9",2,"chromosome_1",0.1795
"10",3,"chromosome_1",0.2499
"11",3,"chromosome_1",0.2499
"12",3,"chromosome_1",0.2499
"13",3,"chromosome_1",0.2499
"14",4,"chromosome_1",0.2012
"15",5,"chromosome_1",0.3455
"16",6,"chromosome_1",0.17695
"17",7,"chromosome_1",1
"18",7,"chromosome_1",1
"19",8,"chromosome_1",0.20005
"20",9,"chromosome_1",1
"21",9,"chromosome_1",1
"22",9,"chromosome_1",1
"23",10,"chromosome_1",0.00735
"24",9,"chromosome_1",1
"25",9,"chromosome_1",1
"26",9,"chromosome_1",1
"27",9,"chromosome_1",1
"28",9,"chromosome_1",1
"29",9,"chromosome_1",1
"30",9,"chromosome_1",1
"31",9,"chromosome_1",1
"32",9,"chromosome_1",1
"33",9,"chromosome_1",1
"34",9,"chromosome_1",1
"35",9,"chromosome_1",1
"36",9,"chromosome_1",1
"37",9,"chromosome_1",1
"38",9,"chromosome_1",1
"39",9,"chromosome_1",1
"40",9,"chromosome_1",1
"41",9,"chromosome_1",1
"42",9,"chromosome_1",1
"43",9,"chromosome_1",1
"44",9,"chromosome_1",1
"45",9,"chromosome_1",1
"46",9,"chromosome_1",1
"47",9,"chromosome_1",1
"48",9,"chromosome_1",1
"49",11,"chromosome_1",1
"50",11,"chromosome_1",1
"51",12,"chromosome_1",0.26635
"52",13,"chromosome_1",1
"53",14,"chromosome_1",0.26555
"54",15,"chromosome_1",0.2624
"55",15,"chromosome_1",0.2624
"56",15,"chromosome_1",0.2624
"57",15,"chromosome_1",0.2624
"58",15,"chromosome_1",0.2624
"59",15,"chromosome_1",0.2624
"60",15,"chromosome_1",0.2624
"61",15,"chromosome_1",0.2624
"62",15,"chromosome_1",0.2624
"63",15,"chromosome_1",0.2624
"64",16,"chromosome_1",1
"65",16,"chromosome_1",1
"66",17,"chromosome_1",1
"67",17,"chromosome_1",1
"68",17,"chromosome_1",1
"69",17,"chromosome_1",1
"70",17,"chromosome_1",1
"71",17,"chromosome_1",1
"72",17,"chromosome_1",1
"73",18,"chromosome_1",0.0488
"74",19,"chromosome_1",1
"75",19,"chromosome_1",1
"76",19,"chromosome_1",1
"77",19,"chromosome_1",1
"78",20,"chromosome_1",0.3697
"79",20,"chromosome_1",0.3697
"80",21,"chromosome_1",1
"81",21,"chromosome_1",1
"82",22,"chromosome_1",1
"83",22,"chromosome_1",1
"84",22,"chromosome_1",1
"85",22,"chromosome_1",1
"86",23,"chromosome_1",1
"87",24,"chromosome_1",1
"88",25,"chromosome_1",1
"89",26,"chromosome_1",1
"90",26,"chromosome_1",1
"91",26,"chromosome_1",1
"92",26,"chromosome_1",1
"93",26,"chromosome_1",1
"94",26,"chromosome_1",1
"95",26,"chromosome_1",1
"96",26,"chromosome_1",1
"97",27,"chromosome_1",0.3703
"98",27,"chromosome_1",0.3703
"99",27,"chromosome_1",0.3703
"100",28,"chromosome_1",0.38675
"101",29,"chromosome_1",0.2646
"102",29,"chromosome_1",0.2646
"103",29,"chromosome_1",0.2646
"104",29,"chromosome_1",0.2646
"105",30,"chromosome_1",0.15155
"106",30,"chromosome_1",0.15155
"107",30,"chromosome_1",0.15155
"108",30,"chromosome_1",0.15155
"109",31,"chromosome_1",0.20335
"110",31,"chromosome_1",0.20335
"111",31,"chromosome_1",0.20335
"112",31,"chromosome_1",0.20335
"113",32,"chromosome_1",0.25345
"114",32,"chromosome_1",0.25345
"115",32,"chromosome_1",0.25345
"116",32,"chromosome_1",0.25345
"117",32,"chromosome_1",0.25345
"118",32,"chromosome_1",0.25345
"119",32,"chromosome_1",0.25345
"120",32,"chromosome_1",0.25345
"121",33,"chromosome_1",1
"122",34,"chromosome_1",0.309
"123",35,"chromosome_1",0.1923
"124",35,"chromosome_1",0.1923
"125",36,"chromosome_1",0.23125
"126",37,"chromosome_1",0.2231
"127",37,"chromosome_1",0.2231
"128",37,"chromosome_1",0.2231
"129",37,"chromosome_1",0.2231
"130",37,"chromosome_1",0.2231
"131",37,"chromosome_1",0.2231
"132",37,"chromosome_1",0.2231
"133",37,"chromosome_1",0.2231
"134",37,"chromosome_1",0.2231
"135",37,"chromosome_1",0.2231
"136",38,"chromosome_1",0.4485
"137",39,"chromosome_1",1
"138",39,"chromosome_1",1
"139",39,"chromosome_1",1
"140",40,"chromosome_1",0.2092
"141",41,"chromosome_1",0.39745
"142",42,"chromosome_1",1
"143",42,"chromosome_1",1
"144",42,"chromosome_1",1
"145",42,"chromosome_1",1
"146",42,"chromosome_1",1
"147",43,"chromosome_1",0.402
"148",43,"chromosome_1",0.402
"149",44,"chromosome_1",0.36075
"150",44,"chromosome_1",0.36075
"151",44,"chromosome_1",0.36075
"152",44,"chromosome_1",0.36075
"153",44,"chromosome_1",0.36075
"154",44,"chromosome_1",0.36075
"155",44,"chromosome_1",0.36075
"156",44,"chromosome_1",0.36075
"157",44,"chromosome_1",0.36075
"158",44,"chromosome_1",0.36075
"159",44,"chromosome_1",0.36075
"160",44,"chromosome_1",0.36075
"161",44,"chromosome_1",0.36075
"162",44,"chromosome_1",0.36075
"163",44,"chromosome_1",0.36075
"164",44,"chromosome_1",0.36075
"165",44,"chromosome_1",0.36075
"166",44,"chromosome_1",0.36075
"167",44,"chromosome_1",0.36075
"168",44,"chromosome_1",0.36075
"169",44,"chromosome_1",0.36075
"170",45,"chromosome_1",0.45765
"171",44,"chromosome_1",0.36075
"172",44,"chromosome_1",0.36075
"173",44,"chromosome_1",0.36075
"174",44,"chromosome_1",0.36075
"175",44,"chromosome_1",0.36075
"176",44,"chromosome_1",0.36075
"177",44,"chromosome_1",0.36075
"178",44,"chromosome_1",0.36075
"179",44,"chromosome_1",0.36075
"180",44,"chromosome_1",0.36075
"181",44,"chromosome_1",0.36075
"182",44,"chromosome_1",0.36075
"183",46,"chromosome_1",0.15695
"184",47,"chromosome_1",0.16125
"185",48,"chromosome_1",0.3159
"186",48,"chromosome_1",0.3159
"187",49,"chromosome_1",0.05685
"188",50,"chromosome_1",0.0366
"189",51,"chromosome_1",0.04495
"190",50,"chromosome_1",0.0366
"191",52,"chromosome_1",0.11835
"192",53,"chromosome_1",0.08685
"193",53,"chromosome_1",0.08685
"194",53,"chromosome_1",0.08685
"195",53,"chromosome_1",0.08685
"196",53,"chromosome_1",0.08685
"197",53,"chromosome_1",0.08685
"198",53,"chromosome_1",0.08685
"199",53,"chromosome_1",0.08685
"200",53,"chromosome_1",0.08685
"201",53,"chromosome_1",0.08685
"202",53,"chromosome_1",0.08685
"203",53,"chromosome_1",0.08685
"204",53,"chromosome_1",0.08685
"205",53,"chromosome_1",0.08685
"206",53,"chromosome_1",0.08685
"207",53,"chromosome_1",0.08685
"208",53,"chromosome_1",0.08685
"209",53,"chromosome_1",0.08685
"210",53,"chromosome_1",0.08685
"211",54,"chromosome_1",0.0489
