# Supplementary Dataset S11. This tab delmited table contains the results of the eQTL linkage results of the 6464 sense traits at 5% FDR.
#
# This tab delmited table is the results of the eQTL linkage results
# of the 6464 sense traits at 5% FDR. Each row correspond
# to one linkage between a expression trait (gene)its eQTL. When 
# a trait was linked to more several locus correlated more than 0.8
# we considered that it corresponded to a single QTL, which position
# could not be determined. they were regroup.
# Here each row correpond to a group and the different location 
# of the grouped QTL are separated with coma. 
#
# First field is the name of sense trait (target)
# Next 3 fields are the coordinate of the QTL as a
#  genomic interval. Note that each QTL is considered
#  as spanning in between the first non linked variant.
# next field is an indicater of whether the linkage correspong to 
#  a cis or a trans linakge.
# Next field indicate the strongest candiate regulator as this locus
#  predicted unsing correlation between the trait and the regulator
#  candidate. "NA" correspond to missing values.
# Next indicate wether the putative 
#  regulator is a coding or non-coding genes
#  "NA" correspond to missing values.
# 
# if you have questions mail: 
# mathieu.clement-ziza(at)uni-koeln.de
# andreas.beyer(at)uni-koeln.de
# j.bahler(at)ucl.ac.uk
#
target	chromosome	start	end	qtl_type	putative_regulator	regulator_type
SPAC1002.15c	chromosome_3	2087770	2123837	trans	SPCC126.04c	coding
SPAC1002.18	chromosome_2	1445074	1454466	trans	SPBP22H7.06	coding
SPAC1006.01	chromosome_3	2102509	2119802	trans	SPNCRNA.1264	non_coding
SPAC1006.05c	chromosome_1	3315647	3326503	trans	SPAPB1E7.09	coding
SPAC1006.06	chromosome_1	3315647	3557103	trans	SPAC26A3.10	coding
SPAC1006.06	chromosome_3	660926	665506	trans	SPCC16C4.02c	coding
SPAC1039.01	chromosome_3	2101294	2119802	trans	SPCC576.13	coding
SPAC1039.06	chromosome_3	2087770	2119802	trans	SPNCRNA.1264	non_coding
SPAC1039.08	chromosome_1,chromosome_1	2665053,4602196	2926804,4949138	trans	SPAC2E1P3.01	coding
SPAC1039.09	chromosome_1,chromosome_1	2665053,4602196	2926804,4949138	trans	SPAC20G4.03c	coding
SPAC1039.09	chromosome_3	2101294	2123837	trans	SPNCRNA.1264	non_coding
SPAC1039.10	chromosome_1	2810876	2813185	trans	SPAC1B2.06	coding
SPAC1039.11c	chromosome_1	2810876	2955088	trans	SPNCRNA.861	non_coding
SPAC105.01c	chromosome_1	3315647	3557103	trans	SPAC16E8.07c	coding
SPAC1071.06	chromosome_3	2087770	2123837	trans	SPCC576.13	coding
SPAC1093.02	chromosome_1	3315647	3326503	cis	SPAC1093.02	NA
SPAC1093.04c	chromosome_3	2084276	2119802	trans	SPCC576.13	coding
SPAC1093.07	chromosome_1	4184603	4274675	cis	SPAC1093.07	NA
SPAC10F6.03c	chromosome_3	2102509	2119802	trans	SPNCRNA.1264	non_coding
SPAC10F6.05c	chromosome_1	3315647	3557103	trans	SPAC3A11.11c	coding
SPAC10F6.05c	chromosome_3	2084276	2119802	trans	SPNCRNA.1264	non_coding
SPAC10F6.07c	chromosome_1	3321289	3442884	trans	SPAP32A8.03c	coding
SPAC10F6.10	chromosome_3	2087770	2119802	trans	SPCC576.13	coding
SPAC10F6.11c	chromosome_1,chromosome_1	2665053,4602196	2926804,4961351	trans	SPAC4F10.20	coding
SPAC10F6.11c	chromosome_2	3361127	3379702	trans	SPNCRNA.1595	non_coding
SPAC10F6.12c	chromosome_1	3315647	3456618	trans	SPAC3H5.04	coding
SPAC10F6.14c	chromosome_3	2087770	2101881	trans	SPCC576.11	coding
SPAC10F6.15	chromosome_3	2087770	2123837	trans	SPCC576.13	coding
SPAC1142.04	chromosome_1	512086	522530	trans	SPAC227.09	coding
SPAC1142.08	chromosome_3	2084276	2119802	trans	SPCC126.02c	coding
SPAC11D3.02c	chromosome_3	2102509	2119802	trans	SPCC126.02c	coding
SPAC11D3.03c	chromosome_1	2531296	2539126	trans	SPAC25H1.09	coding
SPAC11D3.09	chromosome_1	3809960	3926065	trans	SPAC323.01c	coding
SPAC11D3.09	chromosome_3	2102509	2119802	trans	SPCC576.14	coding
SPAC11D3.11c	chromosome_1	3315647	3456618	trans	SPNCRNA.903	non_coding
SPAC11D3.16c	chromosome_3	2117330	2123837	trans	SPNCRNA.1264	non_coding
SPAC11D3.18c	chromosome_3	2087770	2123837	trans	SPCC576.13	coding
SPAC11D3.19	chromosome_3	2087770	2104480	trans	SPCC576.07	coding
SPAC11E3.01c	chromosome_3	2102509	2119802	trans	SPNCRNA.1264	non_coding
SPAC11E3.02c	chromosome_1	3315647	3326503	trans	SPAC2E1P5.02c	coding
SPAC11E3.06	chromosome_1,chromosome_1	2665053,4288609	2926804,4949138	trans	SPAC27D7.03c	coding
SPAC11E3.11c	chromosome_1	3315647	3556754	trans	SPAC3H5.09c	coding
SPAC11E3.13c	chromosome_3	631614	677595	trans	SPCC16C4.06c	coding
SPAC11G7.01	chromosome_3	631380	635966	trans	SPCC31H12.07	coding
SPAC11G7.03	chromosome_1	4323910	4366536	cis	SPAC11G7.03	NA
SPAC11G7.06c	chromosome_3	2101294	2104480	trans	SPCC576.13	coding
SPAC11H11.03c	chromosome_3	2084276	2119802	trans	SPCC576.14	coding
SPAC1250.02	chromosome_3	2087770	2123837	trans	SPNCRNA.1264	non_coding
SPAC1296.02	chromosome_3	2084276	2093353	trans	SPCC576.06c	coding
SPAC1296.03c	chromosome_1	3315647	3326503	trans	SPAC2E1P5.02c	coding
SPAC1296.04	chromosome_1	3315647	3456618	trans	SPNCRNA.909	non_coding
SPAC12B10.04	chromosome_3	2084276	2123837	trans	SPCC576.13	coding
SPAC12B10.05	chromosome_1	4268319	4471094	cis	SPAC12B10.05	NA
SPAC12B10.06c	chromosome_1	3443342	3556754	cis	SPAC12B10.06c	NA
SPAC12B10.12c	chromosome_1	2810876	2813185	cis	SPAC12B10.12c	NA
SPAC12G12.01c	chromosome_3	2087770	2123837	trans	SPCC576.13	coding
SPAC12G12.05c	chromosome_2	1740747	1897778	trans	SPBC11G11.03	coding
SPAC12G12.12	chromosome_1	3440649	3556754	trans	SPAC3A11.04	coding
SPAC139.01c	chromosome_3	2087770	2123837	trans	SPCC576.13	coding
SPAC139.03	chromosome_1	3315647	3326503	trans	SPAC2E1P5.02c	coding
SPAC1399.03	chromosome_3	2087770	2101881	trans	SPCC576.07	coding
SPAC1399.05c	chromosome_3	2101294	2104480	trans	SPCC576.13	coding
SPAC13A11.01c	chromosome_2	1455394	1456162	trans	NA	NA
SPAC13A11.01c	chromosome_3	655654	665506	trans	SPCC16C4.19	coding
SPAC13F5.07c	chromosome_1	2937800	2955088	trans	SPAPB24D3.04c	coding
SPAC13G6.01c	chromosome_1	3315647	3556754	trans	SPAC26A3.10	coding
SPAC13G6.06c	chromosome_3	2101294	2119802	trans	SPNCRNA.1263	non_coding
SPAC13G6.08	chromosome_1	2950891	3456618	trans	SPNCRNA.909	non_coding
SPAC13G6.11c	chromosome_3	2117330	2125061	trans	SPNCRNA.1265	non_coding
SPAC13G7.04c	chromosome_1	5266261	5270397	trans	SPAPJ760.03c	coding
SPAC13G7.13c	chromosome_3	2087770	2119802	trans	SPNCRNA.1264	non_coding
SPAC140.02	chromosome_1	4981826	4994520	trans	SPAC1952.11c	coding
SPAC140.02	chromosome_3	2087770	2123837	trans	SPNCRNA.1265	non_coding
SPAC140.03	chromosome_1	3440649	3557103	trans	SPAC1B1.02c	coding
SPAC144.02	chromosome_3	2084276	2104480	trans	SPCC576.13	coding
SPAC144.03	chromosome_3	2102509	2119802	trans	SPCC576.16c	coding
SPAC144.06	chromosome_3	2102509	2123837	trans	SPNCRNA.1263	non_coding
SPAC144.11	chromosome_2	2803880	2813594	trans	SPNCRNA.1550	non_coding
SPAC144.14	chromosome_1	3440649	3556754	cis	SPAC144.14	NA
SPAC144.14	chromosome_1	5403412	5449783	trans	SPNCRNA.28	non_coding
SPAC144.17c	chromosome_1	5426621	5449783	trans	SPAC29B12.08	coding
SPAC1486.01	chromosome_1	3809960	3926065	cis	SPAC1486.01	NA
SPAC1486.03c	chromosome_1	2925637	3318540	cis	SPAC1486.03c	NA
SPAC1486.10	chromosome_1	3315647	3456618	cis	SPAC1486.10	NA
SPAC14C4.01c	chromosome_1	5202829	5270397	cis	SPAC14C4.01c	NA
SPAC14C4.07	chromosome_1	3315647	3326503	trans	SPAPB1E7.09	coding
SPAC14C4.10c	chromosome_1	2925637	2950891	trans	SPNCRNA.861	non_coding
SPAC14C4.12c	chromosome_3	2101294	2104480	trans	SPCC576.13	coding
SPAC14C4.13	chromosome_1	3321289	3442884	trans	SPAC26A3.04	coding
SPAC14C4.14	chromosome_3	2101294	2119802	trans	SPCC576.17c	coding
SPAC1556.03	chromosome_3	2087770	2119802	trans	SPCC126.02c	coding
SPAC1556.05c	chromosome_1	5161435	5202829	trans	SPAC26F1.07	coding
SPAC1556.08c	chromosome_1	3315647	3456618	cis	SPAC1556.08c	NA
SPAC1556.08c	chromosome_3	660926	665506	trans	SPCC16C4.02c	coding
SPAC1565.01	chromosome_1,chromosome_1	2665053,4602196	2955088,4949138	trans	SPNCRNA.1018	non_coding
SPAC1565.03	chromosome_3	2101294	2104480	trans	SPCC576.13	coding
SPAC1565.04c	chromosome_1	2937800	3326503	trans	SPAC31G5.09c	coding
