# Supplementary Dataset S13. This tab delmited table contains the results of the aseQTL linkage results of the 4133 antisense traits at 5% FDR.
#
# This tab delmited table is the results of the aseQTL linkage results
# of the 4133 antisense traits at 5% FDR. Each row correspond
# to one linkage between a target antisense trait and its aseQTL. When 
# a trait was linked to more several locus correlated more than 0.8
# we considered that it corresponded to a single QTL, which position
# could not be determined. they were regroup.
# Here each row correpond to a group and the different location 
# of the grouped QTL are separated with coma.
#
# First field is the name of antisense trait (target)
# Next 3 fields are the coordiante of the QTL as a
# genomic interval.  Note that each QTL is considered
# as spanning in between the first non linked variant.
# last field is an indicater of whether the linkage correspong to 
# a cis or a trans linakge 
# 
# if you have questions mail: 
# mathieu.clement-ziza(at)uni-koeln.de
# andreas.beyer(at)uni-koeln.de
# j.bahler(at)ucl.ac.uk
#
target	chromosome	start	end	qtl_type
SPAC1002.03c	chromosome_3	2087770	2123837	trans
SPAC1002.07c	chromosome_3	2029382	2077429	trans
SPAC1002.08c	chromosome_1	1741020	1743127	cis
SPAC1002.10c	chromosome_1	1720785	1750050	cis
SPAC1002.12c	chromosome_3	2084276	2119802	trans
SPAC1002.14	chromosome_3	2084276	2119802	trans
SPAC1002.15c	chromosome_2	4221110	4227280	trans
SPAC1002.15c	chromosome_3	2087770	2123837	trans
SPAC1002.16c	chromosome_3	655654	658266	trans
SPAC1006.06	chromosome_3	2101294	2123837	trans
SPAC1006.08	chromosome_1	2810876	2813185	trans
SPAC1006.08	chromosome_3	657594	677595	trans
SPAC1039.01	chromosome_3	2101294	2119802	trans
SPAC1039.03	chromosome_2	4221110	4290322	trans
SPAC1039.04	chromosome_3	2087770	2119802	trans
SPAC1039.07c	chromosome_3	2087770	2119802	trans
SPAC1039.11c	chromosome_1	2810876	2813185	trans
SPAC105.03c	chromosome_3	2101294	2123837	trans
SPAC1071.01c	chromosome_3	2087770	2123837	trans
SPAC1071.06	chromosome_3	2101294	2123837	trans
SPAC1071.11	chromosome_2	3976879	4056074	trans
SPAC1071.13	chromosome_1	3315647	3326503	cis
SPAC1093.01	chromosome_3	2084276	2119802	trans
SPAC1093.03	chromosome_1	2810876	3326503	cis
SPAC1093.05	chromosome_3	2102509	2123837	trans
SPAC10F6.01c	chromosome_3	2102509	2123837	trans
SPAC10F6.02c	chromosome_1,chromosome_1	2665053,4602196	2950891,4949138	trans
SPAC10F6.04	chromosome_3	2102509	2119802	trans
SPAC10F6.05c	chromosome_3	2084276	2119802	trans
SPAC10F6.07c	chromosome_3	2084276	2123837	trans
SPAC10F6.08c	chromosome_3	2084276	2123837	trans
SPAC10F6.09c	chromosome_1	2925637	3326503	trans
SPAC10F6.10	chromosome_1	2810876	2813185	trans
SPAC10F6.11c	chromosome_3	2087770	2123837	trans
SPAC10F6.12c	chromosome_1	2925637	3307217	trans
SPAC10F6.15	chromosome_1,chromosome_1	2665053,4602196	2955088,4949138	trans
SPAC10F6.17c	chromosome_3	2087770	2123837	trans
SPAC1142.02c	chromosome_3	2087770	2123837	trans
SPAC1142.06	chromosome_3	2087770	2119802	trans
SPAC11D3.02c	chromosome_3	773241	784058	trans
SPAC11D3.03c	chromosome_3	2087770	2123837	trans
SPAC11D3.05	chromosome_2	2311107	2316554	trans
SPAC11D3.06	chromosome_1	2810876	2813185	trans
SPAC11D3.08c	chromosome_3	2087770	2123837	trans
SPAC11D3.09	chromosome_1	3315647	3557103	trans
SPAC11D3.10	chromosome_3	2087770	2123837	trans
SPAC11D3.11c	chromosome_3	2087770	2123837	trans
SPAC11D3.14c	chromosome_1,chromosome_1	2665053,4463093	2950891,4949138	trans
SPAC11E3.02c	chromosome_3	2087770	2119802	trans
SPAC11E3.05	chromosome_3	2102509	2119802	trans
SPAC11E3.06	chromosome_1	2810876	2813185	trans
SPAC11E3.06	chromosome_3	2087770	2119802	trans
SPAC11E3.13c	chromosome_3	2078298	2123837	trans
SPAC11G7.05c	chromosome_3	2087770	2123837	trans
SPAC11G7.06c	chromosome_3	2087770	2119802	trans
SPAC11H11.01	chromosome_1	3315647	3326503	cis
SPAC11H11.01	chromosome_3	2087770	2119802	trans
SPAC11H11.05c	chromosome_2	1538123	1575367	trans
SPAC11H11.06	chromosome_3	2078298	2123837	trans
SPAC1250.01	chromosome_3	2102509	2125061	trans
SPAC1296.04	chromosome_3	2087770	2119802	trans
SPAC1296.05c	chromosome_3	2087770	2119802	trans
SPAC1296.06	chromosome_1,chromosome_1	2665053,4602196	2926804,4949138	trans
SPAC12B10.01c	chromosome_3	2087770	2119802	trans
SPAC12B10.04	chromosome_1	2937800	3456618	cis
SPAC12B10.04	chromosome_3	2087770	2123837	trans
SPAC12B10.05	chromosome_1	3554341	3745990	cis
SPAC12B10.06c	chromosome_3	2087770	2123837	trans
SPAC12B10.09	chromosome_1	3440649	3557103	cis
SPAC12B10.10	chromosome_3	2102509	2119802	trans
SPAC12B10.11	chromosome_1,chromosome_1	2665053,4602196	2926804,4949138	cis
SPAC12B10.11	chromosome_1	2452020	2456452	trans
SPAC12B10.12c	chromosome_2	3635637	3712576	trans
SPAC12B10.13	chromosome_1,chromosome_1	2665053,4602196	2955088,4949138	cis
SPAC12B10.13	chromosome_3	2087770	2123837	trans
SPAC12B10.14c	chromosome_3	2084276	2123837	trans
SPAC12G12.01c	chromosome_3	2087770	2123837	trans
SPAC12G12.05c	chromosome_3	2087770	2123837	trans
SPAC12G12.06c	chromosome_3	2084276	2119802	trans
SPAC12G12.07c	chromosome_3	2087770	2104480	trans
SPAC12G12.08	chromosome_3	2087770	2123837	trans
SPAC12G12.09	chromosome_2	2311107	2316554	trans
SPAC12G12.11c	chromosome_3	2087770	2119802	trans
SPAC12G12.13c	chromosome_1,chromosome_1	2665053,4602196	2926804,4949138	trans
SPAC12G12.13c	chromosome_3	2087770	2123837	trans
SPAC12G12.15	chromosome_3	2101294	2119802	trans
SPAC1327.01c	chromosome_2	4221110	4273780	trans
SPAC139.01c	chromosome_3	2078298	2119802	trans
SPAC1399.01c	chromosome_2	4273372	4273713	trans
SPAC1399.01c	chromosome_3	2102509	2123837	trans
SPAC1399.02	chromosome_1	3723871	3919690	trans
SPAC1399.04c	chromosome_1	4463093	4611044	trans
SPAC1399.05c	chromosome_3	2102509	2123837	trans
SPAC13A11.04c	chromosome_2	808514	828758	trans
SPAC13A11.05	chromosome_3	2075876	2077429	trans
SPAC13C5.05c	chromosome_3	2087770	2123837	trans
SPAC13C5.07	chromosome_1	2810876	3326503	trans
SPAC13C5.07	chromosome_3	2087770	2101881	trans
SPAC13D6.01	chromosome_3	2101294	2119802	trans
SPAC13F5.04c	chromosome_3	2102509	2123837	trans
SPAC13F5.06c	chromosome_3	2087770	2119802	trans
SPAC13G6.01c	chromosome_1,chromosome_1	2665053,4602196	2926804,4949138	trans
SPAC13G6.01c	chromosome_3	2084276	2123837	trans
SPAC13G6.05c	chromosome_3	2087770	2119802	trans
SPAC13G6.09	chromosome_3	2087770	2119802	trans
SPAC13G6.12c	chromosome_3	2101294	2119802	trans
SPAC13G6.14	chromosome_2	852801	903483	trans
SPAC13G7.01c	chromosome_3	2084276	2119802	trans
SPAC13G7.03	chromosome_3	2076980	2078298	trans
SPAC13G7.06	chromosome_1	2315905	2362151	cis
SPAC13G7.07	chromosome_3	2087770	2119802	trans
SPAC13G7.08c	chromosome_3	2087770	2119802	trans
SPAC13G7.12c	chromosome_3	2087770	2123837	trans
SPAC13G7.13c	chromosome_3	2084276	2119802	trans
SPAC140.03	chromosome_1	3443342	3556754	trans
SPAC144.02	chromosome_3	2084276	2123837	trans
SPAC144.07c	chromosome_2	1437183	1445074	trans
SPAC144.08	chromosome_3	2087770	2119802	trans
SPAC144.13c	chromosome_3	2087770	2119802	trans
SPAC144.16	chromosome_3	2084276	2104480	trans
SPAC144.17c	chromosome_1	2810876	2813185	cis
SPAC144.17c	chromosome_3	2087770	2123837	trans
SPAC1486.01	chromosome_3	2101294	2119802	trans
SPAC1486.06	chromosome_3	2087770	2123837	trans
SPAC1486.09	chromosome_3	2087770	2123837	trans
SPAC14C4.01c	chromosome_1	5161435	5403412	cis
SPAC14C4.05c	chromosome_3	2087770	2123837	trans
SPAC14C4.08	chromosome_1	3440649	3557103	trans
SPAC14C4.12c	chromosome_3	2084276	2119802	trans
SPAC14C4.15c	chromosome_3	2087770	2123837	trans
SPAC1527.01	chromosome_3	2102509	2119802	trans
SPAC1556.01c	chromosome_1	3443342	3556754	cis
SPAC1556.02c	chromosome_3	2076980	2078298	trans
SPAC1556.03	chromosome_3	2078298	2119802	trans
SPAC1556.05c	chromosome_1	2925637	2955088	cis
SPAC1556.06.1	chromosome_3	2087770	2119802	trans
SPAC1556.07	chromosome_3	2084276	2123837	trans
SPAC1556.08c	chromosome_3	2087770	2119802	trans
SPAC1565.02c	chromosome_1,chromosome_1	2665053,4602196	2955088,4949138	trans
SPAC1565.05	chromosome_3	2077429	2081191	trans
SPAC15A10.02	chromosome_3	2087770	2123837	trans
SPAC15A10.06	chromosome_3	2087770	2119802	trans
SPAC15A10.09c	chromosome_3	2084276	2123837	trans
SPAC15A10.10	chromosome_1	3443342	3556754	cis
SPAC15A10.11	chromosome_3	2087770	2123837	trans
SPAC15A10.13	chromosome_1	2569788	2604820	trans
SPAC15A10.16	chromosome_3	2102509	2119802	trans
SPAC15E1.02c	chromosome_1	3321289	3456618	cis
SPAC15E1.05c	chromosome_3	2084276	2119802	trans
SPAC15E1.07c	chromosome_3	2084276	2093353	trans
SPAC15E1.08	chromosome_3	2087770	2119802	trans
SPAC15E1.10	chromosome_3	2078298	2084775	trans
SPAC15F9.02	chromosome_3	2084276	2123837	trans
SPAC16.01	chromosome_3	2087770	2123837	trans
SPAC1610.04	chromosome_3	2087770	2123837	trans
SPAC1635.01	chromosome_2	752796	771542	trans
SPAC167.01	chromosome_3	2087770	2123837	trans
SPAC167.02	chromosome_3	2101294	2119802	trans
SPAC167.06c	chromosome_3	2087770	2119802	trans
SPAC1687.02	chromosome_3	2101294	2119802	trans
SPAC1687.05	chromosome_1	3723871	3745990	trans
SPAC1687.05	chromosome_3	2087770	2123837	trans
SPAC1687.10	chromosome_1	3315647	3326503	trans
SPAC1687.11	chromosome_1,chromosome_1	2665053,4602196	2926804,4949138	trans
SPAC1687.11	chromosome_3	2087770	2123837	trans
SPAC1687.12c	chromosome_1	3723871	3745990	trans
SPAC1687.12c	chromosome_3	2101294	2119802	trans
SPAC1687.13c	chromosome_2	4221110	4227280	trans
SPAC1687.13c	chromosome_3	2101294	2125061	trans
SPAC1687.18c	chromosome_1	817058	838208	cis
SPAC1687.19c	chromosome_1	3315647	3456618	trans
SPAC1687.21	chromosome_3	2087770	2123837	trans
SPAC16A10.01	chromosome_1	3554341	3745990	cis
