,gene,correlation,p-value,systematic_names,p-value adj,function,sense function
807,pfl8,0.7897008942337341,6.892027570372083e-11,SPAC1F8.06,4.5797523205122494e-07,"cell surface glycoprotein, flocculin Pfl8","cell surface glycoprotein, flocculin Pfl8"
4038,pfl3,0.7459142769041011,2.703260493308256e-09,SPBC947.04,8.98158298901668e-06,"cell surface glycoprotein, flocculin Pfl3, DIPS...","cell surface glycoprotein, flocculin Pfl3, DIPS..."
3423,mbx2,0.7143385753931545,2.4777263728790664e-08,SPBC317.01,5.4881639159271325e-05,"DNA-binding transcription factor, MADS-box Pvg4","DNA-binding transcription factor, MADS-box Pvg4"
3534,pfl7,0.6932469935245142,9.297634143798375e-08,SPBC359.04c,0.00014637462444086992,"cell surface glycoprotein, flocculin Pfl7, DIPS...","cell surface glycoprotein, flocculin Pfl7, DIPS..."
506,mfs1,0.6904101140918902,1.1013891982006766e-07,SPAC17C9.16c,0.00014637462444086992,plasma membrane xenobiotic transmembrane transp...,plasma membrane xenobiotic transmembrane transp...
1426,pac2,0.6849830403946963,1.5149491620843494e-07,SPAC31G5.11,0.00015894023785430718,cAMP-independent regulatory protein Pac2,cAMP-independent regulatory protein Pac2
5268,SPNCRNA.1083,0.6832562442183163,1.674314018028819e-07,SPNCRNA.1083,0.00015894023785430718,intergenic RNA (predicted),intergenic RNA (predicted)
6499,SPNCRNA.781,0.6669750231267345,4.1635549481577607e-07,SPNCRNA.781,0.000345835282881354,intergenic RNA (predicted),intergenic RNA (predicted)
2406,dea2,0.6614246068455133,5.608392384270271e-07,SPBC1198.02,0.00041408630437195503,adenine deaminase Dea2,adenine deaminase Dea2
5599,ubc4-antisense-1,0.6489670058587728,1.0707340370415473e-06,SPNCRNA.1382,0.0006927138817873584,antisense RNA (predicted),ubiquitin conjugating enzyme E2 for APC and SCF...
1837,bdf2,-0.6461301264261486,1.2355583295094594e-06,SPAC631.02,0.0006927138817873584,BET family double bromodomain protein Bdf2,BET family double bromodomain protein Bdf2
6677,SPNCRNA.944,0.6458834412580944,1.2509505765911664e-06,SPNCRNA.944,0.0006927138817873584,intergenic RNA (predicted),intergenic RNA (predicted)
6496,SPNCRNA.779,0.625531914893617,3.3486297786604975e-06,SPNCRNA.779,0.0017116649907076159,intergenic RNA (predicted),intergenic RNA (predicted)
5521,SPNCRNA.1311,0.6204280562841323,4.2401161529541e-06,SPNCRNA.1311,0.0019791612076580293,unknown,unknown
4602,SPCC1884.01,0.6187480727721245,4.578508146962476e-06,SPCC1884.01,0.0019791612076580293,Schizosaccharomyces pombe specific protein,Schizosaccharomyces pombe specific protein
4101,SPBP23A10.11c,0.6146777674992291,5.504491697631673e-06,SPBP23A10.11c,0.0019791612076580293,"circularly permuted 1,3-beta-glucanase","circularly permuted 1,3-beta-glucanase"
3053,SPBC1A4.04,0.6144310823311748,5.5658219317001085e-06,SPBC1A4.04,0.0019791612076580293,Schizosaccharomyces specific protein,Schizosaccharomyces specific protein
6031,SPNCRNA.277,0.6141843971631206,5.627782601681858e-06,SPNCRNA.277,0.0019791612076580293,non-coding RNA (predicted),non-coding RNA (predicted)
6431,SPNCRNA.72,0.6140610545790933,5.659001195711446e-06,SPNCRNA.72,0.0019791612076580293,unknown,unknown
6598,eta2-antisense-1,0.6093740363860622,6.970831171342032e-06,SPNCRNA.872,0.0023160586566783902,antisense RNA (predicted),"Myb family protein, RNA polymerase I terminatio..."
4269,dfr1,0.603700277520814,8.93245727148156e-06,SPCC1223.08c,0.0026988164597364296,dihydrofolate reductase/ lysophospholipase fusi...,dihydrofolate reductase/ lysophospholipase fusi...
4286,sec6,-0.603576934936787,8.980261610613032e-06,SPCC1235.10c,0.0026988164597364296,exocyst complex subunit Sec6,exocyst complex subunit Sec6
6047,SPNCRNA.293,0.6026645330502295,9.341275932872518e-06,SPNCRNA.293,0.0026988164597364296,intergenic RNA (predicted),intergenic RNA (predicted)
6500,SPNCRNA.782,0.6004937891270727,1.0254608359007747e-05,SPNCRNA.782,0.0028392446894002703,intergenic RNA (predicted),intergenic RNA (predicted)
6453,SPNCRNA.74,0.597286463151403,1.1755412580678618e-05,SPNCRNA.74,0.0031245886639443767,unknown,unknown
6442,SPNCRNA.73,0.590872648781992,1.5380260408283555e-05,SPNCRNA.73,0.003930839631270932,unknown,unknown
5906,SPNCRNA.1669,0.589145852605612,1.6518303665394544e-05,SPNCRNA.1669,0.004065338068760991,intergenic RNA (predicted),intergenic RNA (predicted)
316,rcf2,0.5860622880049337,1.8745004605827944e-05,SPAC1565.01,0.004154972574215125,cytochrome c oxidase assembly protein Rcf2,cytochrome c oxidase assembly protein Rcf2
6406,SPAC1687.19c-antisense-1,0.5853222325007709,1.9318931971944937e-05,SPNCRNA.697,0.004154972574215125,antisense RNA (predicted),queuine tRNA-ribosyltransferase Qtrt1
4288,mug146,-0.5849522047486895,1.9611909668451513e-05,SPCC1235.12c,0.004154972574215125,Schizosaccharomyces specific protein Mug46,Schizosaccharomyces specific protein Mug46
