Category_Name	External_ID	GeneSet_Name	over_represented/under_represented	List_Frequency	Background_Frequency	Corrected_pvalue	Genes_In_Common/Interacting_Gene_Pair
GO Biological Process	GO:0019538;	protein metabolic process	Underrepresented	14.6005509641873 (53/363)	25.0048914106828 (1278/5111)	0.00117989	SPAC3A11.08;SPBC557.04;SPAC4A8.08c;SPAC25B8.17;SPAC1805.15c;SPAC31G5.09c;SPBC29A3.09c;SPCC1235.09;SPBC1718.02;SPAC343.13;SPBC839.03c;SPBC11B10.05c;SPAC1687.17c;SPAC17G6.12;SPAC16A10.03c;SPBC354.01;SPBC1861.07;SPBC119.17;SPAP8A3.05;SPBC19G7.09;SPCC645.13;SPAC3G9.13c;SPAC25G10.01;SPAC823.07;SPAC4F8.12c;SPBC3H7.06c;SPAC1565.07c;SPBC106.16;SPAC1D4.13;SPBC11B10.01;SPBC13G1.07;SPAC167.07c;SPCC1840.08c;SPAC1687.02;SPAC24H6.03;SPBC21D10.09c;SPAC5H10.11;SPBP4G3.03;SPAC4F10.02;SPBC16G5.09;SPAC14C4.15c;SPAC323.05c;SPCC18.04;SPAC1D4.06c;SPAC9.07c;SPAC823.12;SPCC1827.04;SPAC1420.03;SPCC970.10c;SPAC20H4.10;SPBP16F5.08c;SPBC4F6.04;SPAC1002.07c;
GO Biological Process	GO:0044267;	cellular protein metabolic process	Underrepresented	14.3250688705234 (52/363)	24.5353159851301 (1254/5111)	0.00126485	SPAC3A11.08;SPBC557.04;SPAC4A8.08c;SPAC25B8.17;SPAC1805.15c;SPAC31G5.09c;SPBC29A3.09c;SPCC1235.09;SPBC1718.02;SPAC343.13;SPBC839.03c;SPBC11B10.05c;SPAC1687.17c;SPAC17G6.12;SPAC16A10.03c;SPBC354.01;SPBC1861.07;SPBC119.17;SPAP8A3.05;SPBC19G7.09;SPCC645.13;SPAC3G9.13c;SPAC25G10.01;SPAC823.07;SPAC4F8.12c;SPBC3H7.06c;SPAC1565.07c;SPBC106.16;SPAC1D4.13;SPBC11B10.01;SPBC13G1.07;SPAC167.07c;SPCC1840.08c;SPAC1687.02;SPAC24H6.03;SPBC21D10.09c;SPAC5H10.11;SPBP4G3.03;SPAC4F10.02;SPBC16G5.09;SPAC323.05c;SPCC18.04;SPAC1D4.06c;SPAC9.07c;SPAC823.12;SPCC1827.04;SPAC1420.03;SPCC970.10c;SPAC20H4.10;SPBP16F5.08c;SPBC4F6.04;SPAC1002.07c;
GO Cellular Component	GO:0030529;	ribonucleoprotein complex	Underrepresented	4.40771349862259 (16/363)	11.132850714146 (569/5111)	0.00390222	SPBC29A3.09c;SPAC27F1.09c;SPAC17A5.14;SPAC20H4.09;SPBC336.14c;SPBC18E5.11c;SPAC4F8.12c;SPAC25B8.16;SPAC20G4.08;SPAC19A8.12;SPBC776.09;SPAC10F6.02c;SPBP23A10.12;SPBC1861.04c;SPAP14E8.02;SPBC4F6.04;
GO Cellular Component	GO:0044391;	ribosomal subunit	Underrepresented	0.550964187327824 (2/363)	4.44140090001957 (227/5111)	0.00807541	SPAP14E8.02;SPBC4F6.04;
Gene Expression		Core Environmental Stress Response repressed	Underrepresented	2.75482093663912 (10/363)	8.58931715906868 (439/5111)	0.00404165	SPBP23A10.11c;SPCPB16A4.04c;SPBC14C8.14c;SPBC8E4.01c;SPCC1223.08c;SPBC947.04;SPAC1A6.02;SPBC36.03c;SPBC1198.02;SPBC4F6.04;
Gene Expression		Oxidative Stess Cluster 3	Enriched	11.5702479338843 (42/363)	5.75229896302094 (294/5111)	0.0061434	SPAC4H3.05;SPAC3C7.01c;SPBC2D10.14c;SPAC1F8.03c;SPAC17H9.20;SPAC27F1.09c;SPAC16E8.09;SPBC16C6.06;SPAC3C7.03c;SPAC23D3.13c;SPAC2G11.12;SPBC1683.07;SPAC22F3.13;SPCC320.14;SPAC25G10.01;SPCC1739.03;SPAC30D11.05;SPAC17A5.06;SPBP22H7.04;SPAC3H1.11;SPAC17D4.03c;SPBC8D2.07c;SPBC354.15;SPAC1687.02;SPAC24H6.03;SPAC22F8.11;SPBC25H2.14;SPBC3E7.06c;SPAC2F7.08c;SPBC685.02;SPBC30B4.04c;SPCC970.09;SPCC1183.01;SPBC2A9.12;SPAC343.19;SPBC16A3.11;SPAC1039.02;SPCC1235.10c;SPAC4G8.04;SPCC417.12;SPAC20H4.10;SPAC1952.10c;
Gene Features		Number of introns	Higher	2.65263157894737	2.07370689655172	0.0061434	SPAC24H6.03;SPAC2G11.02;SPAC1687.02;SPAC1687.17c;SPAC30D11.05;SPAC343.05;SPAP14E8.02;SPAC20H4.04;SPAC32A11.01;SPAC19A8.11c;SPAC1805.15c;SPAC16A10.03c;SPAC16E8.09;SPAC17G6.12;SPAP7G5.03;SPAC323.05c;SPAC144.15c;SPAC1952.10c;SPAPJ696.01c;SPAC1A6.06c;SPAC1420.03;SPAC1565.02c;SPAC167.07c;SPAC23H4.14;SPAC664.02c;SPAC17H9.20;SPAC631.02;SPAC20H4.09;SPAC20H4.10;SPAC6C3.06c;SPAC7D4.10;SPAC31G5.05c;SPAC24C9.15c;SPAC3G9.05;SPAC26A3.14c;SPAC1F12.10c;SPAC4H3.05;SPAC26H5.02c;SPAC27F1.09c;SPAC23D3.13c;SPAC1952.16;SPAC1952.17c;SPAP8A3.05;SPAC186.08c;SPAC31A2.09c;SPAC1D4.06c;SPAC1296.01c;SPAC1687.03c;SPAC56F8.05c;SPAC22A12.10;SPAC10F6.09c;SPAC1420.01c;SPAC1565.07c;SPAC9.07c;SPAC824.05;SPAC17A5.14;SPAC17A5.16;SPAC1002.07c;SPAC4A8.08c;SPAC3F10.19;SPACUNK4.10;SPAC3G9.13c;SPAC6G10.07;SPAC1556.03;SPAC29E6.03c;SPAC17C9.16c;SPAC4F10.02;SPAC14C4.15c;SPAC11D3.03c;SPAC3H8.09c;SPAC4G8.04;SPAC2G11.03c;SPAC10F6.02c;SPAC3A12.05c;SPAC343.13;SPAC767.01c;SPAC3C7.03c;SPAC13F5.06c;SPAC6B12.10c;SPAC688.03c;SPAC8C9.14;SPAC27D7.08c;SPAC1093.03;SPAC17D4.01;SPAC1782.12c;SPAC20G4.08;SPBC776.14;SPBC25H2.14;SPBC1718.05;SPBC1861.07;SPBC543.05c;SPBPB21E7.11;SPBC359.04c;SPBC1683.02;SPBC106.16;SPBC115.03;SPBC577.06c;SPBC8D2.07c;SPBC9B6.11c;SPBC3H7.08c;SPBP16F5.07;SPBP23A10.12;SPBC18E5.11c;SPBC29A10.16c;SPBC2A9.12;SPBC30D10.04;SPBC1778.04;SPBC776.09;SPBC19F8.01c;SPBC3B8.04c;SPBC1861.04c;SPBC428.01c;SPBC354.01;SPBC119.17;SPBC337.09;SPBP22H7.04;SPBC1215.01;SPBC14C8.14c;SPBC21D10.08c;SPBC2G2.06c;SPBC1718.02;SPBC31F10.04c;SPBC16G5.09;SPBC16C6.06;SPBC216.01c;SPBC11B10.01;SPBC3H7.01;SPBC557.04;SPBC29A10.04;SPBC3E7.04c;SPBC4F6.04;SPBC336.14c;SPBP19A11.07c;SPBC1703.04;SPBC776.10c;SPBC3B8.06;SPBC1718.04;SPBC25D12.02c;SPBC3B9.03;SPBC3F6.03;SPBC1198.11c;SPBC582.05c;SPBC839.03c;SPBC947.12;SPBC8D2.05c;SPBC3H7.06c;SPBC1711.03;SPBC21D10.09c;SPBC29A10.17;SPBC685.02;SPBC2D10.14c;SPCC330.02;SPCC364.05;SPCC970.09;SPCP25A2.03;SPCC74.01;SPCC1739.15;SPCC126.09;SPCC1919.10c;SPCC1919.14c;SPCC757.04;SPCC306.06c;SPCC1672.12c;SPCC645.13;SPCC188.12;SPCC576.05;SPCC126.02c;SPCC1620.12c;SPCC1884.01;SPCC1235.09;SPCC1235.10c;SPCC553.03;SPCC1682.03c;SPCC970.10c;SPCC1183.01;SPCC1183.10;SPCC23B6.05c;SPCC188.03;SPCC74.02c;SPCC1739.03;SPCC1919.06c;SPCC1827.04;SPCC1183.09c;SPCPB16A4.04c;SPCC4B3.10c;SPCC550.12;SPCC61.01c;SPCC285.14;SPCC1223.08c;SPCC18.04;
Protein Domains (Pfam)	PF07690;	Major Facilitator Superfamily	Enriched	3.58126721763085 (13/363)	0.900019565642731 (46/5111)	0.00655857	SPAC1F8.03c;SPAC11D3.05;SPBC1683.03c;SPAC1002.16c;SPCC569.05c;SPBC3E7.06c;SPAC17A2.01;SPCC61.01c;SPBC36.02c;SPBC36.03c;SPBC609.04;SPAC17C9.16c;SPAC1B3.16c;
Protein Features		Molecular weight (kDa)	Higher	64.7701149447514	51.3680197438068	1.38509e-11	SPAC24H6.03;SPAC1D4.13;SPAC2G11.02;SPAC1687.02;SPAC1687.17c;SPAC1687.20c;SPAC30D11.05;SPAC23H4.10c;SPAC343.05;SPAP14E8.02;SPAC20H4.04;SPAC20H4.06c;SPAC32A11.01;SPAC19A8.12;SPAC19A8.11c;SPAC7D4.11c;SPAC1805.15c;SPAC513.07;SPAC16A10.03c;SPAC16E8.09;SPAC17A2.01;SPAC17G6.12;SPAP7G5.03;SPAC323.05c;SPAC25B8.05;SPAC637.11;SPAC144.15c;SPAC1834.05;SPAC1952.10c;SPAC1F8.03c;SPAC1F8.04c;SPAC5H10.10;SPAC13G6.06c;SPAC3H8.08c;SPAPJ696.01c;SPAC2G11.12;SPAC1A6.06c;SPAC1420.03;SPAC1565.01;SPAC1565.02c;SPAC5D6.13;SPAC167.07c;SPAC23H4.14;SPAC664.02c;SPAC664.09;SPAC3H1.11;SPAC17H9.20;SPAC631.02;SPAC20H4.09;SPAC20H4.10;SPAC6C3.06c;SPAC23H3.09c;SPAC823.07;SPAC7D4.10;SPACUNK4.17;SPAC513.02;SPAC31G5.05c;SPAC31G5.21;SPAC24C9.15c;SPAC3G9.14;SPAC3G9.05;SPAC26A3.14c;SPAC17G6.03;SPAC1F12.10c;SPAC4H3.05;SPAC26H5.02c;SPAC1F7.10;SPAC25G10.01;SPAC27F1.09c;SPAC23D3.13c;SPAC1952.16;SPAC1952.17c;SPAP8A3.05;SPAC3G6.10c;SPAC1039.02;SPAC869.09;SPAC186.08c;SPAC1F8.06;SPAC11D3.05;SPAC31A2.09c;SPAC1D4.06c;SPAC22F3.13;SPAC1296.01c;SPAC1687.03c;SPAC56F8.05c;SPAC22A12.10;SPAC10F6.09c;SPAC56E4.03;SPAC1420.01c;SPAC1565.07c;SPAC9.07c;SPAC5D6.09c;SPAC824.05;SPAC17A5.14;SPAC17A5.16;SPAC1002.07c;SPAC3C7.01c;SPAC1783.07c;SPAC18G6.10;SPAC18G6.12c;SPAC25H1.09;SPAC4A8.08c;SPAC7D4.07c;SPAC4F8.12c;SPAC1805.14;SPAC3F10.19;SPACUNK4.10;SPAPB24D3.07c;SPAC31G5.08;SPAC31G5.09c;SPAC3G9.13c;SPAC6G10.07;SPAC6G9.15c;SPAC3A11.08;SPAC17G6.10;SPAC1556.03;SPAC25B8.16;SPAC29E6.03c;SPAC17C9.16c;SPAC1851.04c;SPAC1093.07;SPAC17D4.03c;SPAC4F10.02;SPAC14C4.15c;SPAC11D3.03c;SPAC5H10.11;SPAC18B11.11;SPAC2F7.08c;SPAC3H8.09c;SPAC4G8.04;SPAC2G11.03c;SPAC1A6.02;SPAC56F8.13;SPAC10F6.02c;SPAC3A12.05c;SPAC343.13;SPAC343.19;SPAC17A5.06;SPAC1002.10c;SPAC1002.16c;SPAP11E10.01;SPAC767.01c;SPAC3C7.03c;SPAC13F5.06c;SPAC6B12.10c;SPAC823.12;SPAC31G5.11;SPAC688.03c;SPAC8C9.14;SPAC926.06c;SPAPB18E9.05c;SPAPB15E9.02c;SPAPB15E9.06;SPAC25B8.17;SPAC27D7.08c;SPAC1093.03;SPAC17D4.01;SPAC1782.12c;SPAC22F8.11;SPAC20G4.08;SPAC1B3.16c;SPAC26F1.01;SPAC29B12.03;SPBC776.14;SPBC25H2.14;SPBC13A2.02;SPBC1718.05;SPBC887.19;SPBP8B7.05c;SPBC1604.02c;SPBC32C12.02;SPBC1861.07;SPBC543.05c;SPBC1289.08;SPBC8E4.12c;SPBC8E4.02c;SPBP4G3.03;SPBPB2B2.05;SPBPB21E7.01c;SPBPB21E7.11;SPBC359.04c;SPBC1683.02;SPBC1683.07;SPBC106.16;SPBC115.03;SPBC947.04;SPBC577.06c;SPBC36.02c;SPBC337.15c;SPBC651.04;SPBC27B12.04c;SPBC8D2.03c;SPBC8D2.07c;SPBC9B6.11c;SPBC3H7.08c;SPBP16F5.07;SPBP16F5.08c;SPBP23A10.12;SPBC29A3.21;SPBC29A3.09c;SPBC18E5.11c;SPBC29A10.16c;SPBC2A9.02;SPBC2A9.12;SPBC30D10.04;SPBC1778.04;SPBC776.09;SPBC19F8.01c;SPBC3B8.04c;SPBC317.01;SPBC1861.04c;SPBC16A3.13;SPBC16A3.11;SPBC8E4.01c;SPBPB21E7.07;SPBC359.06;SPBC1773.13;SPBC1773.14;SPBC1271.07c;SPBC428.01c;SPBC1685.17;SPBC354.01;SPBC1706.01;SPBC119.17;SPBC36.03c;SPBC337.09;SPBP22H7.04;SPBC1215.01;SPBC2F12.08c;SPBC14C8.11c;SPBC14C8.14c;SPBC19G7.09;SPBC21D10.08c;SPBC29A10.01;SPBC3E7.06c;SPBC2D10.17;SPBC609.04;SPBC11C11.06c;SPBC2G2.06c;SPBC1718.02;SPBC13G1.07;SPBC31F10.04c;SPBC21C3.06;SPBC21C3.16c;SPBC26H8.11c;SPBC3F6.05;SPBC16G5.09;SPBC16C6.06;SPBPB8B6.02c;SPBC359.01;SPBC359.03c;SPBC359.05;SPBC1198.02;SPBC1773.12;SPBPJ4664.02;SPBC216.01c;SPBC11B10.01;SPBC11B10.05c;SPBC3H7.01;SPBP23A10.11c;SPBC18E5.09c;SPBC12C2.07c;SPBC557.04;SPBC29A10.04;SPBC1826.01c;SPBC3E7.04c;SPBC4F6.04;SPBC336.14c;SPBP19A11.07c;SPBC1703.04;SPBC776.10c;SPBC3B8.06;SPBC1718.04;SPBP8B7.30c;SPBC25D12.02c;SPBC3B9.03;SPBC3F6.03;SPBC16A3.10;SPBC16A3.02c;SPBC8E4.05c;SPBP4G3.02;SPBPB8B6.03;SPBC1683.03c;SPBC1198.11c;SPBC106.11c;SPBC582.05c;SPBC354.15;SPBC839.03c;SPBC947.12;SPBC1734.03;SPBC725.07;SPBC30B4.04c;SPBC8D2.05c;SPBC691.03c;SPBC3H7.06c;SPBC1A4.04;SPBC1711.03;SPBC21D10.11c;SPBC21D10.09c;SPBC29A10.17;SPBC685.02;SPBC2D10.14c;SPCC757.03c;SPCC330.02;SPCC320.14;SPCC1235.01;SPCC364.05;SPCC970.09;SPCP25A2.03;SPCC1322.01;SPCC417.12;SPCC1442.16c;SPCC74.01;SPCC1739.15;SPCC126.09;SPCC1919.10c;SPCC1919.14c;SPCC569.05c;SPCC757.04;SPCC1235.12c;SPCC306.06c;SPCC1672.12c;SPCC31H12.06;SPCC1742.01;SPCC645.13;SPCC188.12;SPCC576.05;SPCC126.02c;SPCC1620.12c;SPCP20C8.04;SPCC1884.01;SPCC1235.09;SPCC1235.10c;SPCC553.03;SPCC1682.03c;SPCC970.10c;SPCC1183.01;SPCC1183.10;SPCC1020.09;SPCC645.11c;SPCC23B6.05c;SPCC188.03;SPCC663.12;SPCC191.05c;SPCC74.02c;SPCC1739.03;SPCC1919.06c;SPCC70.03c;SPCC1827.04;SPCC1672.11c;SPCC1183.09c;SPCPB16A4.04c;SPCC4B3.10c;SPCC550.12;SPCC61.01c;SPCC417.05c;SPCC1442.01;SPCC285.14;SPCC1223.08c;SPCC18.04;SPCC1840.08c;SPMIT.06;
Protein Features		Number of amino acids	Higher	574.154696132597	455.555790810925	1.38509e-11	SPAC24H6.03;SPAC1D4.13;SPAC2G11.02;SPAC1687.02;SPAC1687.17c;SPAC1687.20c;SPAC30D11.05;SPAC23H4.10c;SPAC343.05;SPAP14E8.02;SPAC20H4.04;SPAC20H4.06c;SPAC32A11.01;SPAC19A8.12;SPAC19A8.11c;SPAC7D4.11c;SPAC1805.15c;SPAC513.07;SPAC16A10.03c;SPAC16E8.09;SPAC17A2.01;SPAC17G6.12;SPAP7G5.03;SPAC323.05c;SPAC25B8.05;SPAC637.11;SPAC144.15c;SPAC1834.05;SPAC1952.10c;SPAC1F8.03c;SPAC1F8.04c;SPAC5H10.10;SPAC13G6.06c;SPAC3H8.08c;SPAPJ696.01c;SPAC2G11.12;SPAC1A6.06c;SPAC1420.03;SPAC1565.01;SPAC1565.02c;SPAC5D6.13;SPAC167.07c;SPAC23H4.14;SPAC664.02c;SPAC664.09;SPAC3H1.11;SPAC17H9.20;SPAC631.02;SPAC20H4.09;SPAC20H4.10;SPAC6C3.06c;SPAC23H3.09c;SPAC823.07;SPAC7D4.10;SPACUNK4.17;SPAC513.02;SPAC31G5.05c;SPAC31G5.21;SPAC24C9.15c;SPAC3G9.14;SPAC3G9.05;SPAC26A3.14c;SPAC17G6.03;SPAC1F12.10c;SPAC4H3.05;SPAC26H5.02c;SPAC1F7.10;SPAC25G10.01;SPAC27F1.09c;SPAC23D3.13c;SPAC1952.16;SPAC1952.17c;SPAP8A3.05;SPAC3G6.10c;SPAC1039.02;SPAC869.09;SPAC186.08c;SPAC1F8.06;SPAC11D3.05;SPAC31A2.09c;SPAC1D4.06c;SPAC22F3.13;SPAC1296.01c;SPAC1687.03c;SPAC56F8.05c;SPAC22A12.10;SPAC10F6.09c;SPAC56E4.03;SPAC1420.01c;SPAC1565.07c;SPAC9.07c;SPAC5D6.09c;SPAC824.05;SPAC17A5.14;SPAC17A5.16;SPAC1002.07c;SPAC3C7.01c;SPAC1783.07c;SPAC18G6.10;SPAC18G6.12c;SPAC25H1.09;SPAC4A8.08c;SPAC7D4.07c;SPAC4F8.12c;SPAC1805.14;SPAC3F10.19;SPACUNK4.10;SPAPB24D3.07c;SPAC31G5.08;SPAC31G5.09c;SPAC3G9.13c;SPAC6G10.07;SPAC6G9.15c;SPAC3A11.08;SPAC17G6.10;SPAC1556.03;SPAC25B8.16;SPAC29E6.03c;SPAC17C9.16c;SPAC1851.04c;SPAC1093.07;SPAC17D4.03c;SPAC4F10.02;SPAC14C4.15c;SPAC11D3.03c;SPAC5H10.11;SPAC18B11.11;SPAC2F7.08c;SPAC3H8.09c;SPAC4G8.04;SPAC2G11.03c;SPAC1A6.02;SPAC56F8.13;SPAC10F6.02c;SPAC3A12.05c;SPAC343.13;SPAC343.19;SPAC17A5.06;SPAC1002.10c;SPAC1002.16c;SPAP11E10.01;SPAC767.01c;SPAC3C7.03c;SPAC13F5.06c;SPAC6B12.10c;SPAC823.12;SPAC31G5.11;SPAC688.03c;SPAC8C9.14;SPAC926.06c;SPAPB18E9.05c;SPAPB15E9.02c;SPAPB15E9.06;SPAC25B8.17;SPAC27D7.08c;SPAC1093.03;SPAC17D4.01;SPAC1782.12c;SPAC22F8.11;SPAC20G4.08;SPAC1B3.16c;SPAC26F1.01;SPAC29B12.03;SPBC776.14;SPBC25H2.14;SPBC13A2.02;SPBC1718.05;SPBC887.19;SPBP8B7.05c;SPBC1604.02c;SPBC32C12.02;SPBC1861.07;SPBC543.05c;SPBC1289.08;SPBC8E4.12c;SPBC8E4.02c;SPBP4G3.03;SPBPB2B2.05;SPBPB21E7.01c;SPBPB21E7.11;SPBC359.04c;SPBC1683.02;SPBC1683.07;SPBC106.16;SPBC115.03;SPBC947.04;SPBC577.06c;SPBC36.02c;SPBC337.15c;SPBC651.04;SPBC27B12.04c;SPBC8D2.03c;SPBC8D2.07c;SPBC9B6.11c;SPBC3H7.08c;SPBP16F5.07;SPBP16F5.08c;SPBP23A10.12;SPBC29A3.21;SPBC29A3.09c;SPBC18E5.11c;SPBC29A10.16c;SPBC2A9.02;SPBC2A9.12;SPBC30D10.04;SPBC1778.04;SPBC776.09;SPBC19F8.01c;SPBC3B8.04c;SPBC317.01;SPBC1861.04c;SPBC16A3.13;SPBC16A3.11;SPBC8E4.01c;SPBPB21E7.07;SPBC359.06;SPBC1773.13;SPBC1773.14;SPBC1271.07c;SPBC428.01c;SPBC1685.17;SPBC354.01;SPBC1706.01;SPBC119.17;SPBC36.03c;SPBC337.09;SPBP22H7.04;SPBC1215.01;SPBC2F12.08c;SPBC14C8.11c;SPBC14C8.14c;SPBC19G7.09;SPBC21D10.08c;SPBC29A10.01;SPBC3E7.06c;SPBC2D10.17;SPBC609.04;SPBC11C11.06c;SPBC2G2.06c;SPBC1718.02;SPBC13G1.07;SPBC31F10.04c;SPBC21C3.06;SPBC21C3.16c;SPBC26H8.11c;SPBC3F6.05;SPBC16G5.09;SPBC16C6.06;SPBPB8B6.02c;SPBC359.01;SPBC359.03c;SPBC359.05;SPBC1198.02;SPBC1773.12;SPBPJ4664.02;SPBC216.01c;SPBC11B10.01;SPBC11B10.05c;SPBC3H7.01;SPBP23A10.11c;SPBC18E5.09c;SPBC12C2.07c;SPBC557.04;SPBC29A10.04;SPBC1826.01c;SPBC3E7.04c;SPBC4F6.04;SPBC336.14c;SPBP19A11.07c;SPBC1703.04;SPBC776.10c;SPBC3B8.06;SPBC1718.04;SPBP8B7.30c;SPBC25D12.02c;SPBC3B9.03;SPBC3F6.03;SPBC16A3.10;SPBC16A3.02c;SPBC8E4.05c;SPBP4G3.02;SPBPB8B6.03;SPBC1683.03c;SPBC1198.11c;SPBC106.11c;SPBC582.05c;SPBC354.15;SPBC839.03c;SPBC947.12;SPBC1734.03;SPBC725.07;SPBC30B4.04c;SPBC8D2.05c;SPBC691.03c;SPBC3H7.06c;SPBC1A4.04;SPBC1711.03;SPBC21D10.11c;SPBC21D10.09c;SPBC29A10.17;SPBC685.02;SPBC2D10.14c;SPCC757.03c;SPCC330.02;SPCC320.14;SPCC1235.01;SPCC364.05;SPCC970.09;SPCP25A2.03;SPCC1322.01;SPCC417.12;SPCC1442.16c;SPCC74.01;SPCC1739.15;SPCC126.09;SPCC1919.10c;SPCC1919.14c;SPCC569.05c;SPCC757.04;SPCC1235.12c;SPCC306.06c;SPCC1672.12c;SPCC31H12.06;SPCC1742.01;SPCC645.13;SPCC188.12;SPCC576.05;SPCC126.02c;SPCC1620.12c;SPCP20C8.04;SPCC1884.01;SPCC1235.09;SPCC1235.10c;SPCC553.03;SPCC1682.03c;SPCC970.10c;SPCC1183.01;SPCC1183.10;SPCC1020.09;SPCC645.11c;SPCC23B6.05c;SPCC188.03;SPCC663.12;SPCC191.05c;SPCC74.02c;SPCC1739.03;SPCC1919.06c;SPCC70.03c;SPCC1827.04;SPCC1672.11c;SPCC1183.09c;SPCPB16A4.04c;SPCC4B3.10c;SPCC550.12;SPCC61.01c;SPCC417.05c;SPCC1442.01;SPCC285.14;SPCC1223.08c;SPCC18.04;SPCC1840.08c;SPMIT.06;
