"","haplogroup","chr","p_val"
"1",1,"chromosome_1",1
"2",NA,"chromosome_1",NA
"3",NA,"chromosome_1",NA
"4",NA,"chromosome_1",NA
"5",NA,"chromosome_1",NA
"6",NA,"chromosome_1",NA
"7",1,"chromosome_1",1
"8",2,"chromosome_1",0.3235
"9",2,"chromosome_1",0.3235
"10",3,"chromosome_1",1
"11",3,"chromosome_1",1
"12",3,"chromosome_1",1
"13",3,"chromosome_1",1
"14",4,"chromosome_1",1
"15",5,"chromosome_1",1
"16",6,"chromosome_1",1
"17",7,"chromosome_1",1
"18",7,"chromosome_1",1
"19",8,"chromosome_1",1
"20",9,"chromosome_1",1
"21",9,"chromosome_1",1
"22",9,"chromosome_1",1
"23",10,"chromosome_1",0.326
"24",9,"chromosome_1",1
"25",9,"chromosome_1",1
"26",9,"chromosome_1",1
"27",9,"chromosome_1",1
"28",9,"chromosome_1",1
"29",9,"chromosome_1",1
"30",9,"chromosome_1",1
"31",9,"chromosome_1",1
"32",9,"chromosome_1",1
"33",9,"chromosome_1",1
"34",9,"chromosome_1",1
"35",9,"chromosome_1",1
"36",9,"chromosome_1",1
"37",9,"chromosome_1",1
"38",9,"chromosome_1",1
"39",9,"chromosome_1",1
"40",9,"chromosome_1",1
"41",9,"chromosome_1",1
"42",9,"chromosome_1",1
"43",9,"chromosome_1",1
"44",9,"chromosome_1",1
"45",9,"chromosome_1",1
"46",9,"chromosome_1",1
"47",9,"chromosome_1",1
"48",9,"chromosome_1",1
"49",11,"chromosome_1",1
"50",11,"chromosome_1",1
"51",12,"chromosome_1",1
"52",13,"chromosome_1",0.379
"53",14,"chromosome_1",0.2735
"54",15,"chromosome_1",1
"55",15,"chromosome_1",1
"56",15,"chromosome_1",1
"57",15,"chromosome_1",1
"58",15,"chromosome_1",1
"59",15,"chromosome_1",1
"60",15,"chromosome_1",1
"61",15,"chromosome_1",1
"62",15,"chromosome_1",1
"63",15,"chromosome_1",1
"64",16,"chromosome_1",1
"65",16,"chromosome_1",1
"66",17,"chromosome_1",1
"67",17,"chromosome_1",1
"68",17,"chromosome_1",1
"69",17,"chromosome_1",1
"70",17,"chromosome_1",1
"71",17,"chromosome_1",1
"72",17,"chromosome_1",1
"73",18,"chromosome_1",1
"74",19,"chromosome_1",0.2215
"75",19,"chromosome_1",0.2215
"76",19,"chromosome_1",0.2215
"77",19,"chromosome_1",0.2215
"78",20,"chromosome_1",1
"79",20,"chromosome_1",1
"80",21,"chromosome_1",0.3255
"81",21,"chromosome_1",0.3255
"82",22,"chromosome_1",1
"83",22,"chromosome_1",1
"84",22,"chromosome_1",1
"85",22,"chromosome_1",1
"86",23,"chromosome_1",0.374
"87",24,"chromosome_1",0.3765
"88",25,"chromosome_1",0.4455
"89",26,"chromosome_1",1
"90",26,"chromosome_1",1
"91",26,"chromosome_1",1
"92",26,"chromosome_1",1
"93",26,"chromosome_1",1
"94",26,"chromosome_1",1
"95",26,"chromosome_1",1
"96",26,"chromosome_1",1
"97",27,"chromosome_1",1
"98",27,"chromosome_1",1
"99",27,"chromosome_1",1
"100",28,"chromosome_1",0.4405
"101",29,"chromosome_1",1
"102",29,"chromosome_1",1
"103",29,"chromosome_1",1
"104",29,"chromosome_1",1
"105",30,"chromosome_1",0.213
"106",30,"chromosome_1",0.213
"107",30,"chromosome_1",0.213
"108",30,"chromosome_1",0.213
"109",31,"chromosome_1",0.104
"110",31,"chromosome_1",0.104
"111",31,"chromosome_1",0.104
"112",31,"chromosome_1",0.104
"113",32,"chromosome_1",0.0995
