Category_Name	External_ID	GeneSet_Name	over_represented/under_represented	List_Frequency	Background_Frequency	Corrected_pvalue	Genes_In_Common/Interacting_Gene_Pair
GO Biological Process	GO:0000128;	flocculation	Enriched	13.3333333333333 (6/45)	0.24390243902439 (12/4920)	7.21494e-07	SPBC359.04c;SPBC317.01;SPBC947.04;SPAC186.01;SPCC1742.01;SPAC1F8.06;
GO Biological Process	GO:0098630;	aggregation of unicellular organisms	Enriched	13.3333333333333 (6/45)	0.284552845528455 (14/4920)	1.54204e-06	SPBC359.04c;SPBC317.01;SPBC947.04;SPAC186.01;SPCC1742.01;SPAC1F8.06;
GO Biological Process	GO:0098743;	cell aggregation	Enriched	13.3333333333333 (6/45)	0.284552845528455 (14/4920)	1.54204e-06	SPBC359.04c;SPBC317.01;SPBC947.04;SPAC186.01;SPCC1742.01;SPAC1F8.06;
GO Biological Process	GO:0044260;	cellular macromolecule metabolic process	Underrepresented	15.5555555555556 (7/45)	47.2764227642276 (2326/4920)	0.00384847	SPBP23A10.12;SPAC23H3.15c;SPBC3E7.02c;SPBC317.01;SPAC22F3.02;SPCC1620.04c;SPBC1773.12;
GO Biological Process	GO:0051704;	multi-organism process	Enriched	20 (9/45)	3.61788617886179 (178/4920)	0.00667303	SPBC359.04c;SPBC317.01;SPBC947.04;SPAC186.01;SPAC1F8.05;SPCC1742.01;SPAC1F8.06;SPBC1778.04;SPCC1223.12c;
GO Biological Process	GO:0043170;	macromolecule metabolic process	Underrepresented	17.7777777777778 (8/45)	48.4959349593496 (2386/4920)	0.00782087	SPBP23A10.12;SPAC23H3.15c;SPBC3E7.02c;SPBC317.01;SPAC22F3.02;SPCC1620.04c;SPBC2G2.17c;SPBC1773.12;
GO Cellular Component	GO:0044422;	organelle part	Underrepresented	13.3333333333333 (6/45)	52.2967479674797 (2573/4920)	3.98678e-05	SPBP23A10.12;SPBC317.01;SPAC5D6.09c;SPBC1778.04;SPBC1773.12;SPBC776.16;
GO Cellular Component	GO:0044446;	intracellular organelle part	Underrepresented	13.3333333333333 (6/45)	51.890243902439 (2553/4920)	4.39767e-05	SPBP23A10.12;SPBC317.01;SPAC5D6.09c;SPBC1778.04;SPBC1773.12;SPBC776.16;
GO Cellular Component	GO:0010339;	external side of cell wall	Enriched	11.1111111111111 (5/45)	0.284552845528455 (14/4920)	4.91025e-05	SPBC359.04c;SPBC947.04;SPAC186.01;SPCC1742.01;SPAC1F8.06;
GO Cellular Component	GO:0044426;	cell wall part	Enriched	11.1111111111111 (5/45)	0.32520325203252 (16/4920)	9.6185e-05	SPBC359.04c;SPBC947.04;SPAC186.01;SPCC1742.01;SPAC1F8.06;
GO Cellular Component	GO:0044462;	external encapsulating structure part	Enriched	11.1111111111111 (5/45)	0.32520325203252 (16/4920)	9.6185e-05	SPBC359.04c;SPBC947.04;SPAC186.01;SPCC1742.01;SPAC1F8.06;
GO Cellular Component	GO:0009986;	cell surface	Enriched	17.7777777777778 (8/45)	1.54471544715447 (76/4920)	0.000127589	SPBC359.04c;SPBC947.04;SPAC25H1.09;SPAC186.01;SPBC2G2.17c;SPCC1742.01;SPAC1F8.02c;SPAC1F8.06;
GO Cellular Component	GO:0005618;	cell wall	Enriched	15.5555555555556 (7/45)	1.09756097560976 (54/4920)	0.000166109	SPBC359.04c;SPBC947.04;SPAC186.01;SPBC2G2.17c;SPCC1742.01;SPAC1F8.06;SPCC1223.12c;
GO Cellular Component	GO:0030312;	external encapsulating structure	Enriched	15.5555555555556 (7/45)	1.09756097560976 (54/4920)	0.000166109	SPBC359.04c;SPBC947.04;SPAC186.01;SPBC2G2.17c;SPCC1742.01;SPAC1F8.06;SPCC1223.12c;
GO Cellular Component	GO:0005622;	intracellular	Underrepresented	75.5555555555556 (34/45)	94.979674796748 (4673/4920)	0.00266858	SPAPB24D3.07c;SPBP23A10.12;SPAC4H3.08;SPAC23H3.15c;SPBC3E7.02c;SPBC1773.06c;SPBC317.01;SPBC947.04;SPCC191.11;SPBC359.01;SPACUNK4.17;SPAPB8E5.10;SPAC22F3.02;SPAC1F8.04c;SPAC25H1.09;SPBC1289.14;SPCC1620.04c;SPAC5D6.09c;SPAC139.05;SPAC1751.01c;SPBC1105.13c;SPCC1281.04;SPAC1F8.02c;SPBC1778.04;SPCC132.04c;SPBC776.16;SPBC1773.12;SPCC191.01;SPCC1223.12c;SPAC3G6.07;SPBC19C7.04c;SPAC56F8.12;SPBPB21E7.01c;SPAC1F8.03c;
GO Cellular Component	GO:0044424;	intracellular part	Underrepresented	75.5555555555556 (34/45)	94.979674796748 (4673/4920)	0.00266858	SPAPB24D3.07c;SPBP23A10.12;SPAC4H3.08;SPAC23H3.15c;SPBC3E7.02c;SPBC1773.06c;SPBC317.01;SPBC947.04;SPCC191.11;SPBC359.01;SPACUNK4.17;SPAPB8E5.10;SPAC22F3.02;SPAC1F8.04c;SPAC25H1.09;SPBC1289.14;SPCC1620.04c;SPAC5D6.09c;SPAC139.05;SPAC1751.01c;SPBC1105.13c;SPCC1281.04;SPAC1F8.02c;SPBC1778.04;SPCC132.04c;SPBC776.16;SPBC1773.12;SPCC191.01;SPCC1223.12c;SPAC3G6.07;SPBC19C7.04c;SPAC56F8.12;SPBPB21E7.01c;SPAC1F8.03c;
GO Cellular Component	GO:0032991;	macromolecular complex	Underrepresented	11.1111111111111 (5/45)	41.9105691056911 (2062/4920)	0.00307654	SPBP23A10.12;SPBC317.01;SPCC1620.04c;SPBC776.16;SPBPB21E7.01c;
GO Molecular Function	GO:0050839;	cell adhesion molecule binding	Enriched	11.1111111111111 (5/45)	0.24390243902439 (12/4920)	2.51611e-05	SPBC359.04c;SPBC947.04;SPAC186.01;SPCC1742.01;SPAC1F8.06;
GO Molecular Function	GO:0098631;	protein binding involved in cell adhesion	Enriched	11.1111111111111 (5/45)	0.264227642276423 (13/4920)	3.65486e-05	SPBC359.04c;SPBC947.04;SPAC186.01;SPCC1742.01;SPAC1F8.06;
Gene Expression		Induced Dbr1 deletion	Enriched	42.2222222222222 (19/45)	2.3780487804878 (117/4920)	5.40843e-16	SPBP23A10.12;SPAC4H3.08;SPAC23H3.15c;SPBC3E7.02c;SPBC1773.06c;SPBC947.04;SPCC191.11;SPAPB8E5.10;SPAC22F3.02;SPAC25H1.09;SPBC2G2.17c;SPAC1F8.05;SPAC139.05;SPAC27D7.09c;SPCC132.04c;SPCC191.01;SPAC3G6.07;SPBC19C7.04c;SPBC16E9.16c;
Gene Expression		Induced usp102 mutant	Enriched	20 (9/45)	0.914634146341463 (45/4920)	3.93786e-07	SPAPB24D3.07c;SPAC4H3.08;SPAC23H3.15c;SPBC3E7.02c;SPACUNK4.17;SPAC27D7.09c;SPCC191.01;SPBC19C7.04c;SPBC16E9.16c;
