SPAC977.18	YBL029C-A
SPAC977.05c	YGL258W
SPAC977.05c	YOR387C
SPAC977.08	YIL124W
SPAC977.09c	YMR008C
SPAC977.09c	YMR006C
SPAC977.09c	YOL011W
SPAC977.10	YLR138W
SPAC977.11	YOR390W
SPAC977.11	YPL279C
SPAC977.12	YLR155C
SPAC977.12	YLR157C
SPAC977.12	YLR158C
SPAC977.12	YLR160C
SPAC977.14c	YPL088W
SPAC977.15	YAL049C
SPAC977.16c	YML070W
SPAC977.16c	YFL053W
SPAC977.17	YFL054C
SPAC1F8.01	YHR094C
SPAC1F8.01	YMR011W
SPAC1F8.01	YHR092C
SPAC1F8.01	YHR096C
SPAC1F8.01	YDR343C
SPAC1F8.01	YDR342C
SPAC1F8.01	YJL214W
SPAC1F8.01	YJL219W
SPAC1F8.01	YOL156W
SPAC1F8.01	YEL069C
SPAC1F8.01	YNL318C
SPAC1F8.01	YDL245C
SPAC1F8.01	YJR158W
SPAC1F8.01	YNR072W
SPAC1F8.01	YLR081W
SPAC1F8.01	YDR536W
SPAC1F8.01	YGR289C
SPAC1F8.03c	YHL040C
SPAC1F8.03c	YHL047C
SPAC1F8.03c	YOL158C
SPAC1F8.03c	YKR106W
SPAC1F8.03c	YCL073C
SPAC1F8.03c	YEL065W
SPAC11D3.06	YDR338C
SPAC11D3.06	YHR032W
SPAC11D3.08c	YKL174C
SPAC11D3.08c	YGL077C
SPAC11D3.08c	YDL210W
SPAC11D3.13	YDR533C
SPAC11D3.13	YPL280W
SPAC11D3.13	YOR391C
SPAC11D3.13	YMR322C
SPAC11D3.14c	YKL215C
SPAC11D3.15	YKL215C
SPAC11D3.18c	YGR260W
SPAC5H10.02c	YDR533C
SPAC5H10.02c	YPL280W
SPAC5H10.02c	YOR391C
SPAC5H10.02c	YMR322C
SPAC5H10.03	YKL128C
SPAC5H10.04	YHR179W
SPAC5H10.04	YPL171C
SPAC5H10.06c	YGL256W
SPAC5H10.08c	YIL145C
SPAC5H10.09c	YBR176W
SPAC5H10.10	YHR179W
SPAC5H10.10	YPL171C
SPAC5H10.11	YDR245W
SPAC5H10.11	YJL183W
SPAC5H10.12c	YOR320C
SPAC5H10.13c	YDR245W
SPAC5H10.13c	YJL183W
SPAC13G6.01c	YLR032W
SPAC13G6.02c	YLR441C
SPAC13G6.02c	YML063W
SPAC13G6.03	YJL062W
SPAC13G6.04	YJR135W-A
SPAC13G6.05c	YOR115C
SPAC13G6.06c	YMR189W
SPAC13G6.07c	YPL090C
SPAC13G6.07c	YBR181C
SPAC13G6.08	YGR225W
SPAC13G6.09	YOL022C
SPAC13G6.11c	YMR208W
