"","haplogroup","chr","p_val"
"1",1,"chromosome_1",1
"2",1,"chromosome_1",1
"3",2,"chromosome_1",0.0602
"4",2,"chromosome_1",0.0602
"5",2,"chromosome_1",0.0602
"6",2,"chromosome_1",0.0602
"7",2,"chromosome_1",0.0602
"8",3,"chromosome_1",0.0599
"9",4,"chromosome_1",1
"10",5,"chromosome_1",0.1332
"11",6,"chromosome_1",0.08705
"12",7,"chromosome_1",0.06285
"13",7,"chromosome_1",0.06285
"14",7,"chromosome_1",0.06285
"15",7,"chromosome_1",0.06285
"16",7,"chromosome_1",0.06285
"17",7,"chromosome_1",0.06285
"18",7,"chromosome_1",0.06285
"19",7,"chromosome_1",0.06285
"20",7,"chromosome_1",0.06285
"21",7,"chromosome_1",0.06285
"22",7,"chromosome_1",0.06285
"23",7,"chromosome_1",0.06285
"24",7,"chromosome_1",0.06285
"25",7,"chromosome_1",0.06285
"26",7,"chromosome_1",0.06285
"27",7,"chromosome_1",0.06285
"28",7,"chromosome_1",0.06285
"29",7,"chromosome_1",0.06285
"30",7,"chromosome_1",0.06285
"31",7,"chromosome_1",0.06285
"32",7,"chromosome_1",0.06285
"33",7,"chromosome_1",0.06285
"34",7,"chromosome_1",0.06285
"35",7,"chromosome_1",0.06285
"36",7,"chromosome_1",0.06285
"37",7,"chromosome_1",0.06285
"38",7,"chromosome_1",0.06285
"39",7,"chromosome_1",0.06285
"40",8,"chromosome_1",0.1039
"41",8,"chromosome_1",0.1039
"42",9,"chromosome_1",0.08005
"43",10,"chromosome_1",0.19705
"44",11,"chromosome_1",0.1554
"45",12,"chromosome_1",1
"46",12,"chromosome_1",1
"47",12,"chromosome_1",1
"48",12,"chromosome_1",1
"49",12,"chromosome_1",1
"50",12,"chromosome_1",1
"51",12,"chromosome_1",1
"52",12,"chromosome_1",1
"53",12,"chromosome_1",1
"54",12,"chromosome_1",1
"55",13,"chromosome_1",0.1765
"56",13,"chromosome_1",0.1765
"57",14,"chromosome_1",0.19755
"58",14,"chromosome_1",0.19755
"59",14,"chromosome_1",0.19755
"60",14,"chromosome_1",0.19755
"61",14,"chromosome_1",0.19755
"62",14,"chromosome_1",0.19755
"63",14,"chromosome_1",0.19755
"64",15,"chromosome_1",1
"65",15,"chromosome_1",1
"66",15,"chromosome_1",1
"67",15,"chromosome_1",1
"68",15,"chromosome_1",1
"69",16,"chromosome_1",0.1497
"70",16,"chromosome_1",0.1497
"71",17,"chromosome_1",0.10755
"72",17,"chromosome_1",0.10755
"73",18,"chromosome_1",0.0827
"74",18,"chromosome_1",0.0827
"75",18,"chromosome_1",0.0827
"76",18,"chromosome_1",0.0827
"77",19,"chromosome_1",0.20085
"78",20,"chromosome_1",1
"79",21,"chromosome_1",1
"80",22,"chromosome_1",0.37975
"81",22,"chromosome_1",0.37975
"82",22,"chromosome_1",0.37975
"83",22,"chromosome_1",0.37975
"84",22,"chromosome_1",0.37975
"85",22,"chromosome_1",0.37975
"86",22,"chromosome_1",0.37975
"87",22,"chromosome_1",0.37975
"88",23,"chromosome_1",0.2218
"89",23,"chromosome_1",0.2218
"90",23,"chromosome_1",0.2218
"91",24,"chromosome_1",0.17475
"92",25,"chromosome_1",0.19755
"93",25,"chromosome_1",0.19755
"94",25,"chromosome_1",0.19755
"95",25,"chromosome_1",0.19755
"96",26,"chromosome_1",0.2232
"97",26,"chromosome_1",0.2232
"98",26,"chromosome_1",0.2232
"99",26,"chromosome_1",0.2232
"100",27,"chromosome_1",0.3379
"101",27,"chromosome_1",0.3379
"102",27,"chromosome_1",0.3379
"103",27,"chromosome_1",0.3379
"104",28,"chromosome_1",0.17085
"105",28,"chromosome_1",0.17085
"106",28,"chromosome_1",0.17085
"107",28,"chromosome_1",0.17085
"108",28,"chromosome_1",0.17085
"109",28,"chromosome_1",0.17085
"110",28,"chromosome_1",0.17085
"111",28,"chromosome_1",0.17085
"112",29,"chromosome_1",0.2028
"113",30,"chromosome_1",0.291
"114",30,"chromosome_1",0.291
"115",30,"chromosome_1",0.291
"116",31,"chromosome_1",0.3229
"117",32,"chromosome_1",0.4058
"118",32,"chromosome_1",0.4058
"119",32,"chromosome_1",0.4058
"120",32,"chromosome_1",0.4058
"121",32,"chromosome_1",0.4058
"122",32,"chromosome_1",0.4058
"123",32,"chromosome_1",0.4058
"124",32,"chromosome_1",0.4058
"125",32,"chromosome_1",0.4058
"126",33,"chromosome_1",0.4123
"127",34,"chromosome_1",0.298
"128",34,"chromosome_1",0.298
"129",34,"chromosome_1",0.298
"130",35,"chromosome_1",1
"131",36,"chromosome_1",0.2919
"132",37,"chromosome_1",0.3631
"133",37,"chromosome_1",0.3631
"134",37,"chromosome_1",0.3631
"135",37,"chromosome_1",0.3631
"136",37,"chromosome_1",0.3631
"137",38,"chromosome_1",1
"138",38,"chromosome_1",1
"139",38,"chromosome_1",1
"140",38,"chromosome_1",1
"141",38,"chromosome_1",1
"142",38,"chromosome_1",1
"143",38,"chromosome_1",1
"144",38,"chromosome_1",1
"145",38,"chromosome_1",1
"146",38,"chromosome_1",1
"147",38,"chromosome_1",1
"148",38,"chromosome_1",1
"149",38,"chromosome_1",1
"150",38,"chromosome_1",1
"151",38,"chromosome_1",1
"152",38,"chromosome_1",1
"153",38,"chromosome_1",1
"154",38,"chromosome_1",1
"155",38,"chromosome_1",1
"156",38,"chromosome_1",1
"157",38,"chromosome_1",1
"158",38,"chromosome_1",1
"159",38,"chromosome_1",1
"160",38,"chromosome_1",1
"161",38,"chromosome_1",1
"162",38,"chromosome_1",1
"163",38,"chromosome_1",1
"164",38,"chromosome_1",1
"165",38,"chromosome_1",1
"166",38,"chromosome_1",1
"167",38,"chromosome_1",1
"168",38,"chromosome_1",1
"169",38,"chromosome_1",1
"170",38,"chromosome_1",1
"171",38,"chromosome_1",1
"172",38,"chromosome_1",1
"173",39,"chromosome_1",1
"174",40,"chromosome_1",0.1628
"175",40,"chromosome_1",0.1628
"176",40,"chromosome_1",0.1628
"177",41,"chromosome_1",0.0653
"178",42,"chromosome_1",0.0531
"179",42,"chromosome_1",0.0531
"180",42,"chromosome_1",0.0531
"181",43,"chromosome_1",0.12635
"182",44,"chromosome_1",0.05565
"183",44,"chromosome_1",0.05565
"184",44,"chromosome_1",0.05565
"185",44,"chromosome_1",0.05565
"186",44,"chromosome_1",0.05565
"187",44,"chromosome_1",0.05565
"188",44,"chromosome_1",0.05565
"189",44,"chromosome_1",0.05565
"190",44,"chromosome_1",0.05565
"191",44,"chromosome_1",0.05565
"192",44,"chromosome_1",0.05565
"193",44,"chromosome_1",0.05565
"194",44,"chromosome_1",0.05565
"195",44,"chromosome_1",0.05565
"196",44,"chromosome_1",0.05565
"197",44,"chromosome_1",0.05565
"198",44,"chromosome_1",0.05565
"199",44,"chromosome_1",0.05565
"200",44,"chromosome_1",0.05565
"201",45,"chromosome_1",0.1135
"202",45,"chromosome_1",0.1135
"203",45,"chromosome_1",0.1135
"204",46,"chromosome_1",0.1164
"205",46,"chromosome_1",0.1164
"206",47,"chromosome_1",0.1715
"207",47,"chromosome_1",0.1715
"208",47,"chromosome_1",0.1715
"209",47,"chromosome_1",0.1715
"210",48,"chromosome_1",0.22225
"211",48,"chromosome_1",0.22225
"212",48,"chromosome_1",0.22225
"213",49,"chromosome_1",0.21535
"214",49,"chromosome_1",0.21535
"215",49,"chromosome_1",0.21535
"216",49,"chromosome_1",0.21535
"217",49,"chromosome_1",0.21535
"218",49,"chromosome_1",0.21535
"219",49,"chromosome_1",0.21535
"220",50,"chromosome_1",0.18025
"221",50,"chromosome_1",0.18025
"222",50,"chromosome_1",0.18025
"223",50,"chromosome_1",0.18025
"224",50,"chromosome_1",0.18025
"225",50,"chromosome_1",0.18025
"226",50,"chromosome_1",0.18025
"227",51,"chromosome_1",1
"228",51,"chromosome_1",1
"229",51,"chromosome_1",1
"230",51,"chromosome_1",1
"231",51,"chromosome_1",1
"232",51,"chromosome_1",1
"233",51,"chromosome_1",1
"234",51,"chromosome_1",1
"235",51,"chromosome_1",1
"236",51,"chromosome_1",1
"237",51,"chromosome_1",1
"238",51,"chromosome_1",1
"239",51,"chromosome_1",1
"240",51,"chromosome_1",1
