,gene,correlation,p-value,systematic_names,p-value adj,function,sense function
3423,mbx2,1.0,0.0,SPBC317.01,0.0,"DNA-binding transcription factor, MADS-box Pvg4","DNA-binding transcription factor, MADS-box Pvg4"
4038,pfl3,0.8663587433675611,1.411252762072433e-21,SPBC947.04,4.688887301985658e-18,"cell surface glycoprotein, flocculin Pfl3, DIPS...","cell surface glycoprotein, flocculin Pfl3, DIPS..."
4531,gsf2,0.8376531663930983,5.371881166091558e-19,SPCC1742.01,1.1898716782892802e-15,"cell surface glycoprotein, galactose-specific f...","cell surface glycoprotein, galactose-specific f..."
807,pfl8,0.7025231896782074,2.4409288365138295e-11,SPAC1F8.06,4.054993029658599e-08,"cell surface glycoprotein, flocculin Pfl8","cell surface glycoprotein, flocculin Pfl8"
3533,aat1,0.5922815589571325,1.0361334890034784e-07,SPBC359.03c,0.0001377021406885623,plasma membrane amino acid transmembrane transp...,plasma membrane amino acid transmembrane transp...
5835,SPBC2G2.17c-antisense-1,-0.5866702294155819,1.4606391987223933e-07,SPNCRNA.1601,0.00016176579125850505,"antisense RNA (predicted), possible alternative...",cell wall beta-glucosidase Psu2
4216,grt1,0.5755239149520938,2.835066920862413e-07,SPBPB8B6.04c,0.0002691288527018676,DNA-binding transcription factor Grt1,DNA-binding transcription factor Grt1
2406,dea2,0.5718212009008665,3.514783922597498e-07,SPBC1198.02,0.0002919467395707547,adenine deaminase Dea2,adenine deaminase Dea2
4101,SPBP23A10.11c,0.5627743634767339,5.877582575268686e-07,SPBP23A10.11c,0.00043396151347400465,"circularly permuted 1,3-beta-glucanase","circularly permuted 1,3-beta-glucanase"
4277,SPCC1235.01,-0.5532694583349238,9.926039329551047e-07,SPCC1235.01,0.0006595853134486672,Schizosaccharomyces specific protein,Schizosaccharomyces specific protein
5303,SPNCRNA.1115,-0.547238233385502,1.372693718862872e-06,SPNCRNA.1115,0.0008292317965312531,"intergenic RNA (predicted), possible alternativ...","intergenic RNA (predicted), possible alternativ..."
1565,msw1,0.5450624117265335,1.5406237224187826e-06,SPAC3G9.13c,0.0008346333779647673,mitochondrial tryptophan-tRNA ligase Msw1,mitochondrial tryptophan-tRNA ligase Msw1
3388,psu2,0.5439606058251076,1.6328418229559029e-06,SPBC2G2.17c,0.0008346333779647673,cell wall beta-glucosidase Psu2,cell wall beta-glucosidase Psu2
4269,dfr1,0.5362446081612399,2.439302370561498e-06,SPCC1223.08c,0.001157797446598654,dihydrofolate reductase/ lysophospholipase fusi...,dihydrofolate reductase/ lysophospholipase fusi...
5840,SPNCRNA.1606,-0.5242966751918158,4.454880292543149e-06,SPNCRNA.1606,0.001973511969596615,intergenic RNA (predicted),intergenic RNA (predicted)
99,SPAC11D3.06,0.5207084780700079,5.314547630623964e-06,SPAC11D3.06,0.002207198062843515,MatE family transmembrane transporter,MatE family transmembrane transporter
5320,SPNCRNA.1130,-0.51841813948162,5.941894973555755e-06,SPNCRNA.1130,0.002322581888192823,intergenic RNA (predicted),intergenic RNA (predicted)
1797,mug86,0.5155170439363285,6.836021227040237e-06,SPAC5D6.09c,0.0024350819664181954,plasma membrane acetate transmembrane transporter,plasma membrane acetate transmembrane transporter
3181,SPBC23G7.10c,-0.5151353208382639,6.962612093596045e-06,SPBC23G7.10c,0.0024350819664181954,"NADH-dependent flavin oxidoreductase, implicate...","NADH-dependent flavin oxidoreductase, implicate..."
2248,SPAPB15E9.02c,0.5069193937840161,1.0279674073311955e-05,SPAPB15E9.02c,0.003415421710857897,dubious,dubious
399,rho4,-0.5050960033591632,1.119287825133172e-05,SPAC16A10.04,0.0034843168406420975,Rho family GTPase Rho4,Rho family GTPase Rho4
2194,gor1,-0.5044470740924533,1.1535736718453897e-05,SPACUNK4.10,0.0034843168406420975,glyoxylate reductase,glyoxylate reductase
4789,ipk1,0.48230713440470285,3.115401310486916e-05,SPCC4B3.10c,0.009000800742689372,"inositol 1,3,4,5,6-pentakisphosphate (IP5) kinase","inositol 1,3,4,5,6-pentakisphosphate (IP5) kinase"
275,SPAC144.17c,-0.47967324502805664,3.490492706811253e-05,SPAC144.17c,0.009385531788089919,6-phosphofructo-2-kinase,6-phosphofructo-2-kinase
4387,zta1,-0.47913883269076607,3.5715364421969624e-05,SPCC1442.16c,0.009385531788089919,NADPH quinone oxidoreductase/ARE-binding protein,NADPH quinone oxidoreductase/ARE-binding protein
5462,SPNCRNA.1259,-0.4784899034240561,3.672292347484392e-05,SPNCRNA.1259,0.009385531788089919,"intergenic RNA (predicted), possible alternativ...","intergenic RNA (predicted), possible alternativ..."
4726,sry1,-0.4767721494827652,3.951863720886649e-05,SPCC320.14,0.00972597571307103,serine racemase Sry1,serine racemase Sry1
4029,ecl3,0.4745446196450684,4.343806631074195e-05,SPBC8E4.12c,0.010308783951245723,extender of chronological lifespan protein Ecl3,extender of chronological lifespan protein Ecl3
5696,pof9-antisense-1,0.4720006107569568,4.8353448558139325e-05,SPNCRNA.1471,0.011079609160994338,antisense RNA (predicted),F-box protein Pof9
601,SPAC186.08c,0.4697108244693874,5.321310705691348e-05,SPAC186.08c,0.011786703213106337,L-lactate dehydrogenase,L-lactate dehydrogenase
3041,ulp1,-0.46749627819979384,5.833953158087611e-05,SPBC19G7.09,0.012114568354841305,SUMO deconjugating enzyme Ulp1,SUMO deconjugating enzyme Ulp1
2892,spo6,0.46749627819979384,5.833953158087611e-05,SPBC1778.04,0.012114568354841305,Spo4-Spo6 kinase complex regulatory subunit Spo6,Spo4-Spo6 kinase complex regulatory subunit Spo6
1643,ape4,-0.4628774287132114,7.053368882766115e-05,SPAC4F10.02,0.014202920068479041,aspartyl metalloaminopeptidase Ape4,aspartyl metalloaminopeptidase Ape4
5263,rad2-antisense-1,0.4577241668893384,8.689324594959791e-05,SPNCRNA.1079,0.01698251821573759,"antisense RNA (predicted), possible alternative...",FEN-1 endonuclease Rad2
506,mfs1,0.4567698591441768,9.028253555766153e-05,SPAC17C9.16c,0.017140784250876027,plasma membrane xenobiotic transmembrane transp...,plasma membrane xenobiotic transmembrane transp...
5160,SPMIT.06,0.45407331854810606,0.00010052987681431775,SPMIT.06,0.01855613976197615,mitochondrial DNA binding endonuclease (intron ...,mitochondrial DNA binding endonuclease (intron ...
1214,SPAC26H5.09c,-0.4529908004733366,0.00010493730889798373,SPAC26H5.09c,0.018846173449381134,oxidoreductase involved in NADPH regeneration,oxidoreductase involved in NADPH regeneration
349,glm1,-0.4519453749239552,0.00010936214415078202,SPAC15F9.01c,0.018848344631063628,"Glomulin, ubiquitin-protein transferase inhibit...","Glomulin, ubiquitin-protein transferase inhibit..."
1837,bdf2,-0.45165476963011025,0.00011062233869247276,SPAC631.02,0.018848344631063628,BET family double bromodomain protein Bdf2,BET family double bromodomain protein Bdf2
2826,SPBC1709.16c,-0.45047142802610984,0.00011589326025448438,SPBC1709.16c,0.01925276785977622,aromatic ring-opening dioxygenase,aromatic ring-opening dioxygenase
6625,ace2-antisense-1,-0.44631064625720496,0.00013631801699256053,SPNCRNA.897,0.022093493241843044,antisense RNA (predicted),DNA-binding transcription factor Ace2
634,SPAC1952.08c,-0.4445547200061075,0.00014589228858629733,SPAC1952.08c,0.02308224422990347,human CREG1 ortholog,human CREG1 ortholog
5378,SPCC23B6.02c-antisense-1,0.4425548970970797,0.00015754754559973663,SPNCRNA.1183,0.024346591639773252,antisense RNA (predicted),pre-ribosomal factor
1147,SPAC25B8.10,-0.44104286750391264,0.00016692156538017881,SPAC25B8.10,0.0250779515013388,trans-aconitate 3-methyltransferase,trans-aconitate 3-methyltransferase
814,fmp40,-0.4400503874489444,0.00017335032910582244,SPAC20G4.05c,0.0250779515013388,mitochondrial protein adenylyltransferase SelO,mitochondrial protein adenylyltransferase SelO
5860,SPNCRNA.1626,-0.44001221513913796,0.00017360207209354174,SPNCRNA.1626,0.0250779515013388,antisense RNA (predicted),antisense RNA (predicted)
6025,SPNCRNA.271,0.4390641365014612,0.0001799633502688668,SPNCRNA.271,0.02544375452205574,non-coding RNA (predicted),non-coding RNA (predicted)
4530,wtf21,-0.43825628888804063,0.00018555190172039464,SPCC1739.15,0.025491910357929227,wtf meiotic drive antidote-like Wtf21,wtf meiotic drive antidote-like Wtf21
2056,sul2,-0.4379127380997824,0.00018797646464086261,SPAC869.05c,0.025491910357929227,plasma membrane sulfate transmembrane transport...,plasma membrane sulfate transmembrane transport...
4102,frg1,0.4372638088330724,0.00019263572625563712,SPBP23A10.12,0.025572821745018525,"FRG1 family protein, involved in mRNA splicing","FRG1 family protein, involved in mRNA splicing"
6629,SPNCRNA.900,0.4367675688055884,0.00019626996373151915,SPNCRNA.900,0.025572821745018525,intergenic RNA (predicted),intergenic RNA (predicted)
6449,SPNCRNA.736,0.4321868916288124,0.00023291363372071405,SPNCRNA.736,0.029763674924502787,intergenic RNA (predicted),intergenic RNA (predicted)
3582,SPBC3B8.08,0.4311562392640379,0.00024197864410579285,SPBC3B8.08,0.030157400718014208,Sjogren's syndrome/scleroderma autoantigen 1 fa...,Sjogren's syndrome/scleroderma autoantigen 1 fa...
5079,yop1,-0.43081268847577964,0.0002450714279567746,SPCC830.08c,0.030157400718014208,ER membrane protein DP1/Yop1,ER membrane protein DP1/Yop1
5581,nam2,0.4292476237737145,0.00025962438302430137,SPNCRNA.1366,0.03125839069366612,lncRNA nam2,lncRNA nam2
2308,SPAPB24D3.07c,0.4283696606481658,0.00026813066509239565,SPAPB24D3.07c,0.03125839069366612,Schizosaccharomyces pombe specific protein,Schizosaccharomyces pombe specific protein
5246,SPNCRNA.1063,0.4283696606481658,0.00026813066509239565,SPNCRNA.1063,0.03125839069366612,"intergenic RNA (predicted), possible alternativ...","intergenic RNA (predicted), possible alternativ..."
